Sample_ID,District,Latitude,Longitude,Agro_Ecological_Zone,Soil_Order_Classification,pH,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Sand,Clay,Silt
SL_SOIL_00035,Batticaloa,7.97021,81.009494,Dry Zone,Vertisols,5.91,1.241,23.83,168.26,1.82,67.74,23.03,9.23
SL_SOIL_00036,Puttalam,7.686263,80.049265,Dry Zone,Alfisols,6.61,0.427,10.45,136.96,1.03,73.42,19.01,7.57
SL_SOIL_00037,Mannar,9.188094,80.079697,Dry Zone,Alfisols,6.89,0.773,9.75,130.65,0.95,73.47,14.07,12.46
SL_SOIL_00038,Monaragala,7.00363,81.33526,Intermediate Zone,Alfisols,6.19,0.997,11.36,142.11,1.62,66.12,28.14,5.74
SL_SOIL_00039,Anuradhapura,8.136355,80.893113,Dry Zone,Alfisols,7.17,1.187,13.55,145.73,1.45,77.97,16.26,5.77
SL_SOIL_00040,Kegalle,7.119617,80.29288,Wet Zone,Ultisols,5.11,1.292,9.7,114.79,1.52,52.21,32.91,14.88
SL_SOIL_00041,Kalutara,6.675034,80.156482,Wet Zone,Ultisols,5.8,1.449,22.57,134.78,2.35,51.01,35.31,13.68
SL_SOIL_00042,Matale,7.590275,80.75232,Intermediate Zone,Alfisols,5.29,1.282,11.58,144.68,1.44,52.4,28.57,19.03
SL_SOIL_00043,Puttalam,8.038426,79.839235,Dry Zone,Alfisols,6.43,0.769,3.0,122.89,1.08,75.52,18.41,6.08
SL_SOIL_00044,Galle,5.99996,80.113881,Wet Zone,Ultisols,5.84,1.671,18.59,120.52,2.76,49.21,31.07,19.71
SL_SOIL_00045,Polonnaruwa,8.163678,80.982943,Dry Zone,Vertisols,6.79,0.826,11.64,130.65,1.0,50.15,17.02,32.83
SL_SOIL_00046,Hambantota,6.102822,80.572825,Dry Zone,Alfisols,6.07,1.222,6.63,119.21,1.37,73.24,9.54,17.22
SL_SOIL_00047,Galle,6.099907,80.226583,Wet Zone,Ultisols,5.54,1.241,7.48,134.66,1.9,59.69,25.93,14.38
SL_SOIL_00048,Kurunegala,7.856137,80.266877,Intermediate Zone,Alfisols,5.52,0.849,12.34,131.64,1.19,53.67,19.91,26.42
SL_SOIL_00049,Kandy,7.241221,80.597998,Wet Zone,Ultisols,5.04,1.452,9.29,142.12,2.5,52.35,28.02,19.63
SL_SOIL_00050,Kegalle,7.13828,80.240179,Wet Zone,Ultisols,5.1,1.499,19.68,123.02,2.56,45.7,36.77,17.53
SL_SOIL_00051,Vavuniya,8.902986,80.418029,Dry Zone,Alfisols,6.38,1.181,11.24,145.97,1.12,65.7,23.13,11.17
SL_SOIL_00052,Kurunegala,7.42134,80.39149,Intermediate Zone,Alfisols,6.29,0.913,15.26,147.37,1.39,51.17,27.87,20.96
SL_SOIL_00053,Hambantota,6.124296,80.574887,Dry Zone,Alfisols,6.18,0.92,14.67,101.52,1.14,68.55,16.1,15.36
SL_SOIL_00054,Polonnaruwa,8.089994,80.849369,Dry Zone,Vertisols,6.29,0.891,13.66,129.46,1.15,61.93,20.88,17.18
SL_SOIL_00055,Gampaha,7.195875,80.059912,Wet Zone,Ultisols,6.05,1.241,11.69,124.15,1.7,62.74,15.16,22.09
SL_SOIL_00056,Anuradhapura,8.196484,80.776142,Dry Zone,Alfisols,6.43,0.758,4.59,125.36,0.89,68.18,17.99,13.84
SL_SOIL_00057,Batticaloa,7.568943,81.413258,Dry Zone,Vertisols,6.9,0.956,15.89,152.12,1.42,56.21,23.41,20.37
SL_SOIL_00058,Galle,6.039584,80.328223,Wet Zone,Ultisols,5.2,1.261,15.71,111.87,1.48,52.5,33.49,14.01
SL_SOIL_00059,Mannar,8.910303,79.861274,Dry Zone,Alfisols,7.15,0.766,10.33,145.66,0.68,70.07,18.94,11.0
SL_SOIL_00060,Matara,5.983027,80.682025,Wet Zone,Ultisols,5.94,1.292,14.47,104.05,1.69,58.19,34.73,7.08
SL_SOIL_00061,Batticaloa,7.61574,81.408812,Dry Zone,Vertisols,6.58,1.119,11.54,173.17,0.82,71.73,17.48,10.79
SL_SOIL_00062,Kalutara,6.500802,80.144715,Wet Zone,Ultisols,5.25,1.18,22.21,125.35,1.64,48.29,24.84,26.87
SL_SOIL_00063,Vavuniya,8.98747,80.404937,Dry Zone,Alfisols,6.91,0.913,9.9,125.6,1.08,56.02,19.49,24.49
SL_SOIL_00064,Trincomalee,8.557413,80.734442,Dry Zone,Alfisols,6.61,1.123,15.57,137.21,1.08,66.53,18.14,15.33
SL_SOIL_00065,Kandy,7.325119,80.636754,Wet Zone,Ultisols,5.51,1.356,13.1,132.28,1.42,46.5,38.25,15.25
SL_SOIL_00066,Kurunegala,7.798992,80.518017,Intermediate Zone,Alfisols,6.28,0.816,13.02,122.7,1.01,60.57,27.43,12.0
SL_SOIL_00067,Matara,5.933101,80.545563,Wet Zone,Ultisols,5.11,1.425,11.8,111.84,2.66,48.25,27.02,24.73
SL_SOIL_00068,Kandy,7.324224,80.733388,Wet Zone,Ultisols,5.73,1.453,8.26,156.87,1.91,51.92,36.33,11.74
SL_SOIL_00069,Gampaha,7.172601,79.952163,Wet Zone,Ultisols,5.54,1.068,12.12,99.01,1.3,52.63,18.13,29.24
SL_SOIL_00070,Nuwara Eliya,6.858983,80.881729,Up Country Wet Zone,Inceptisols,4.46,1.43,14.88,155.06,2.95,44.94,32.75,22.31
SL_SOIL_00071,Badulla,6.945645,81.048175,Up Country Intermediate Zone,Inceptisols,6.05,1.566,18.34,129.17,2.9,45.36,33.08,21.56
SL_SOIL_00072,Jaffna,9.599001,79.810891,Dry Zone,Alfisols,7.21,0.57,5.96,178.25,0.7,64.41,8.89,26.7
SL_SOIL_00073,Kandy,7.365699,80.724127,Wet Zone,Ultisols,5.68,1.837,16.11,121.36,2.48,49.63,28.65,21.72
SL_SOIL_00074,Badulla,7.164321,81.041595,Up Country Intermediate Zone,Inceptisols,4.86,1.595,11.35,133.23,1.92,47.32,32.06,20.62
SL_SOIL_00075,Kurunegala,7.709387,80.302519,Intermediate Zone,Alfisols,5.98,0.859,8.29,142.29,1.49,64.04,18.81,17.15
SL_SOIL_00076,Mannar,9.018233,79.831677,Dry Zone,Alfisols,7.32,0.649,6.61,161.05,0.82,74.67,10.67,14.66
SL_SOIL_00077,Gampaha,7.126155,79.885184,Wet Zone,Ultisols,5.54,1.074,18.74,107.29,1.27,52.28,23.05,24.68
SL_SOIL_00078,Jaffna,9.743458,79.711766,Dry Zone,Alfisols,8.24,0.595,12.88,196.15,0.6,68.82,6.69,24.49
SL_SOIL_00079,Kandy,7.323058,80.589002,Wet Zone,Ultisols,5.81,1.586,21.58,129.03,2.37,48.11,29.4,22.49
SL_SOIL_00080,Vavuniya,8.985529,80.354032,Dry Zone,Alfisols,6.5,0.838,12.36,138.13,0.96,61.03,24.03,14.94
SL_SOIL_00081,Ampara,7.296684,81.726118,Dry Zone,Vertisols,6.67,0.955,12.78,133.46,1.08,60.05,17.03,22.92
SL_SOIL_00082,Batticaloa,7.563193,81.016706,Dry Zone,Vertisols,7.39,1.149,14.05,167.85,1.61,64.14,27.53,8.33
SL_SOIL_00083,Matara,6.081064,80.57315,Wet Zone,Ultisols,5.81,1.486,13.47,112.88,2.04,53.93,27.71,18.36
SL_SOIL_00084,Vavuniya,8.818679,80.635928,Dry Zone,Alfisols,6.53,0.917,16.74,154.06,1.26,67.24,19.51,13.24
SL_SOIL_00085,Monaragala,7.03014,81.348717,Intermediate Zone,Alfisols,6.19,0.827,9.74,121.12,1.09,62.57,23.16,14.26
SL_SOIL_00086,Kegalle,7.301179,80.244579,Wet Zone,Ultisols,5.4,1.385,14.84,140.41,2.18,35.93,31.94,32.13
SL_SOIL_00087,Matara,6.123566,80.611226,Wet Zone,Ultisols,5.05,1.239,6.68,137.05,1.46,53.36,35.79,10.85
SL_SOIL_00088,Polonnaruwa,8.194418,80.912864,Dry Zone,Vertisols,6.02,0.613,9.86,136.75,1.1,48.22,20.03,31.75
SL_SOIL_00089,Ampara,7.185877,81.559152,Dry Zone,Vertisols,6.8,1.346,17.8,161.08,1.44,53.41,21.05,25.54
SL_SOIL_00090,Mullaitivu,9.229057,80.591209,Dry Zone,Alfisols,6.92,1.033,14.46,162.51,0.94,62.47,23.24,14.28
SL_SOIL_00091,Kurunegala,7.644438,80.577905,Intermediate Zone,Alfisols,5.94,1.139,22.48,116.34,1.11,55.65,25.61,18.74
SL_SOIL_00092,Batticaloa,7.82595,81.49945,Dry Zone,Vertisols,6.54,1.065,15.72,147.78,1.29,49.46,22.89,27.64
SL_SOIL_00093,Polonnaruwa,7.899583,81.099298,Dry Zone,Vertisols,6.06,1.031,15.17,132.63,1.3,66.97,22.23,10.79
SL_SOIL_00094,Ratnapura,6.806336,80.715848,Wet Zone,Ultisols,5.24,1.656,12.83,151.18,2.81,49.91,24.47,25.63
SL_SOIL_00095,Kegalle,7.287004,80.311294,Wet Zone,Ultisols,4.66,1.478,21.86,133.95,2.5,43.67,33.54,22.79
SL_SOIL_00096,Mullaitivu,9.000075,80.787689,Dry Zone,Alfisols,6.79,1.142,7.72,121.46,0.84,76.49,15.08,8.43
SL_SOIL_00097,Hambantota,6.047374,80.658702,Dry Zone,Alfisols,6.3,0.708,10.0,103.49,0.93,72.38,19.41,8.2
SL_SOIL_00098,Batticaloa,7.519043,81.371981,Dry Zone,Vertisols,6.48,1.039,13.13,142.53,1.04,54.87,16.86,28.27
SL_SOIL_00099,Mullaitivu,9.211988,80.823116,Dry Zone,Alfisols,6.42,1.024,13.12,167.06,1.06,57.74,8.04,34.21
SL_SOIL_00100,Colombo,6.884585,79.925623,Wet Zone,Ultisols,5.89,0.996,7.83,105.75,1.49,58.57,19.91,21.51
SL_SOIL_00101,Kegalle,7.14693,80.545712,Wet Zone,Ultisols,4.96,1.42,15.31,93.29,1.42,42.11,34.64,23.25
SL_SOIL_00102,Galle,6.035462,80.318469,Wet Zone,Ultisols,5.75,1.287,12.52,123.1,1.23,46.94,23.22,29.84
SL_SOIL_00103,Hambantota,6.263245,81.048046,Dry Zone,Alfisols,6.35,0.72,9.3,111.35,1.2,57.59,16.71,25.7
SL_SOIL_00104,Ratnapura,6.705885,80.306555,Wet Zone,Ultisols,5.26,1.562,16.31,123.69,2.78,44.91,33.33,21.76
SL_SOIL_00105,Colombo,6.803784,80.004902,Wet Zone,Ultisols,5.97,1.367,12.31,95.8,1.89,59.45,27.16,13.39
SL_SOIL_00106,Mannar,8.897665,79.979403,Dry Zone,Alfisols,6.98,0.691,7.27,154.19,0.96,73.61,12.94,13.45
SL_SOIL_00107,Matara,5.906452,80.588323,Wet Zone,Ultisols,5.47,1.154,11.76,132.33,1.85,55.15,28.29,16.57
SL_SOIL_00108,Ratnapura,6.707918,80.448676,Wet Zone,Ultisols,5.32,1.744,18.15,128.27,1.92,49.71,40.58,9.71
SL_SOIL_00109,Kilinochchi,9.358126,80.273642,Dry Zone,Alfisols,7.29,0.857,9.15,145.3,1.18,68.01,17.21,14.78
SL_SOIL_00110,Puttalam,8.13618,79.906839,Dry Zone,Alfisols,6.55,1.12,12.69,122.49,1.13,74.85,8.9,16.25
SL_SOIL_00111,Trincomalee,8.484752,80.74078,Dry Zone,Alfisols,6.26,0.84,13.5,154.6,1.32,61.01,30.05,8.94
SL_SOIL_00112,Matara,6.061864,80.660939,Wet Zone,Ultisols,5.05,1.193,25.61,127.27,2.29,56.06,35.22,8.72
SL_SOIL_00113,Kalutara,6.405837,80.018171,Wet Zone,Ultisols,5.29,1.259,21.5,118.85,2.1,50.23,29.53,20.24
SL_SOIL_00114,Kalutara,6.560876,80.186516,Wet Zone,Ultisols,5.77,1.698,16.47,122.5,2.21,39.62,37.42,22.96
SL_SOIL_00115,Colombo,6.822963,79.902271,Wet Zone,Ultisols,5.32,1.253,17.76,124.41,1.36,55.79,18.77,25.43
SL_SOIL_00116,Matale,7.662361,80.609644,Intermediate Zone,Alfisols,5.34,1.092,12.46,100.92,1.5,55.28,26.46,18.26
SL_SOIL_00117,Jaffna,9.649168,80.072368,Dry Zone,Alfisols,7.05,0.568,12.35,147.01,0.83,66.37,10.36,23.27
SL_SOIL_00118,Galle,6.029761,80.203879,Wet Zone,Ultisols,5.5,1.378,14.55,121.86,1.92,43.97,30.56,25.46
SL_SOIL_00119,Hambantota,6.010826,80.942928,Dry Zone,Alfisols,6.19,0.995,4.86,108.75,1.03,57.27,18.14,24.59
SL_SOIL_00120,Galle,6.029019,80.256742,Wet Zone,Ultisols,4.96,1.577,12.59,121.43,2.18,42.33,27.57,30.09
SL_SOIL_00121,Hambantota,6.06341,80.98488,Dry Zone,Alfisols,6.11,1.029,15.93,112.28,0.66,63.14,20.74,16.12
SL_SOIL_00122,Matara,6.044744,80.453652,Wet Zone,Ultisols,5.73,1.118,19.87,125.85,2.31,45.32,22.85,31.83
SL_SOIL_00123,Mannar,8.906399,79.899834,Dry Zone,Alfisols,7.82,0.879,11.95,161.52,0.88,75.45,11.01,13.54
SL_SOIL_00124,Gampaha,7.159622,79.945923,Wet Zone,Ultisols,5.59,0.846,19.69,110.83,1.02,59.07,26.19,14.75
SL_SOIL_00125,Colombo,6.944676,79.820931,Wet Zone,Ultisols,5.26,1.015,9.63,114.36,1.23,57.91,31.95,10.14
SL_SOIL_00126,Ampara,7.120177,81.473614,Dry Zone,Vertisols,6.68,0.901,9.33,163.1,1.26,58.06,23.88,18.06
SL_SOIL_00127,Monaragala,7.245059,81.487247,Intermediate Zone,Alfisols,6.07,1.203,9.24,136.22,1.44,57.53,19.05,23.42
SL_SOIL_00128,Monaragala,7.151579,81.541949,Intermediate Zone,Alfisols,5.92,0.963,13.23,122.98,1.51,58.8,24.41,16.79
SL_SOIL_00129,Ratnapura,6.869137,80.343878,Wet Zone,Ultisols,4.85,1.683,16.61,130.38,2.94,40.27,33.04,26.69
SL_SOIL_00130,Matale,7.470851,80.551542,Intermediate Zone,Alfisols,5.54,1.205,8.88,130.91,1.58,60.68,23.48,15.84
SL_SOIL_00131,Kalutara,6.681136,80.295297,Wet Zone,Ultisols,5.23,1.506,21.32,108.81,1.86,56.04,27.69,16.27
SL_SOIL_00132,Mannar,8.877814,80.046166,Dry Zone,Alfisols,7.19,0.957,16.3,139.63,0.98,73.62,5.0,21.38
SL_SOIL_00133,Matara,6.098266,80.69531,Wet Zone,Ultisols,5.13,1.096,13.87,110.94,0.96,47.25,29.57,23.18
SL_SOIL_00134,Badulla,6.92252,80.964138,Up Country Intermediate Zone,Inceptisols,4.85,1.389,14.51,145.32,2.21,50.78,41.25,7.97
SL_SOIL_00135,Kalutara,6.70222,79.996301,Wet Zone,Ultisols,5.52,1.36,8.6,121.81,1.93,47.81,25.45,26.74
SL_SOIL_00136,Colombo,6.82194,79.903965,Wet Zone,Ultisols,5.79,1.091,3.41,102.72,1.65,55.53,30.46,14.01
SL_SOIL_00137,Kalutara,6.563793,80.093748,Wet Zone,Ultisols,5.65,1.316,12.94,142.8,2.12,54.78,32.29,12.93
SL_SOIL_00138,Matale,7.503841,80.550493,Intermediate Zone,Alfisols,5.44,1.114,19.71,128.43,2.32,55.77,22.27,21.95
SL_SOIL_00139,Batticaloa,7.75649,81.168836,Dry Zone,Vertisols,6.99,1.135,15.78,140.74,1.48,64.6,16.82,18.57
SL_SOIL_00140,Vavuniya,8.69687,80.329201,Dry Zone,Alfisols,6.99,1.152,16.29,137.23,1.41,66.58,17.93,15.5
SL_SOIL_00141,Kalutara,6.496077,80.168632,Wet Zone,Ultisols,5.47,1.357,18.75,124.43,1.5,51.0,31.52,17.48
SL_SOIL_00142,Colombo,6.80571,79.933742,Wet Zone,Ultisols,6.19,0.976,17.87,113.68,1.92,53.56,29.58,16.86
SL_SOIL_00143,Matale,7.745169,80.630123,Intermediate Zone,Alfisols,6.0,1.357,13.31,126.81,1.94,48.3,25.53,26.17
SL_SOIL_00144,Monaragala,6.642998,81.134355,Intermediate Zone,Alfisols,5.45,0.641,12.83,147.96,1.07,60.26,24.83,14.91
SL_SOIL_00145,Vavuniya,8.88356,80.697514,Dry Zone,Alfisols,6.99,0.73,15.93,141.01,0.91,54.26,18.82,26.93
SL_SOIL_00146,Galle,6.060018,80.220713,Wet Zone,Ultisols,5.45,1.282,15.6,143.82,1.87,48.32,31.21,20.46
SL_SOIL_00147,Hambantota,6.176298,81.033129,Dry Zone,Alfisols,7.25,0.69,11.16,122.27,0.82,66.8,11.95,21.26
SL_SOIL_00148,Batticaloa,7.831681,81.070933,Dry Zone,Vertisols,7.42,1.019,11.87,146.77,1.64,65.41,27.3,7.29
SL_SOIL_00149,Batticaloa,7.926463,81.069494,Dry Zone,Vertisols,6.81,1.127,20.38,149.71,1.79,59.23,29.17,11.6
SL_SOIL_00150,Jaffna,9.685085,79.965555,Dry Zone,Alfisols,7.98,0.864,13.82,173.91,1.03,71.49,21.42,7.1
SL_SOIL_00151,Mullaitivu,9.268562,80.95947,Dry Zone,Alfisols,7.2,0.948,19.36,145.62,1.08,57.91,18.36,23.73
SL_SOIL_00152,Puttalam,7.995077,80.166478,Dry Zone,Alfisols,6.78,1.212,13.5,133.16,1.09,74.22,7.07,18.7
SL_SOIL_00153,Galle,6.068129,80.194556,Wet Zone,Ultisols,4.4,1.344,11.98,133.62,2.21,43.57,32.25,24.18
SL_SOIL_00154,Trincomalee,8.580197,80.769657,Dry Zone,Alfisols,6.95,0.752,12.79,123.34,1.25,68.39,17.82,13.78
SL_SOIL_00155,Anuradhapura,8.17809,80.44733,Dry Zone,Alfisols,6.11,0.929,7.86,146.93,1.21,71.76,15.32,12.92
SL_SOIL_00156,Kandy,7.270592,80.566191,Wet Zone,Ultisols,4.86,1.58,20.05,117.21,2.25,49.25,31.2,19.55
SL_SOIL_00157,Matale,7.445963,80.551151,Intermediate Zone,Alfisols,6.54,1.213,13.75,125.14,1.92,43.07,29.04,27.89
SL_SOIL_00158,Monaragala,6.660977,81.292431,Intermediate Zone,Alfisols,5.79,1.061,15.81,132.17,1.02,52.14,22.42,25.45
SL_SOIL_00159,Galle,6.057715,80.178048,Wet Zone,Ultisols,5.6,1.484,21.67,139.35,2.26,35.89,28.15,35.96
SL_SOIL_00160,Mullaitivu,9.025003,80.663107,Dry Zone,Alfisols,6.79,1.159,9.94,176.16,0.79,60.15,21.29,18.56
SL_SOIL_00161,Batticaloa,7.556422,81.35786,Dry Zone,Vertisols,6.64,0.872,13.1,121.58,1.3,64.27,28.14,7.6
SL_SOIL_00162,Kilinochchi,9.404884,80.634841,Dry Zone,Alfisols,7.06,1.066,16.58,174.39,1.45,48.49,20.12,31.39
SL_SOIL_00163,Kandy,7.213445,80.554417,Wet Zone,Ultisols,4.92,1.175,13.9,137.85,1.6,50.6,31.94,17.46
SL_SOIL_00164,Mullaitivu,9.280346,80.920553,Dry Zone,Alfisols,7.05,0.653,11.04,155.35,0.66,59.03,17.94,23.03
SL_SOIL_00165,Galle,5.977039,80.310527,Wet Zone,Ultisols,4.75,1.489,12.08,117.87,2.41,50.32,36.87,12.8
SL_SOIL_00166,Puttalam,7.791884,80.113838,Dry Zone,Alfisols,6.32,0.942,11.32,99.55,1.11,77.46,14.98,7.56
SL_SOIL_00167,Badulla,7.095497,80.957194,Up Country Intermediate Zone,Inceptisols,5.51,1.573,15.04,136.6,1.81,43.94,33.61,22.45
SL_SOIL_00168,Gampaha,7.014328,79.902377,Wet Zone,Ultisols,6.18,1.384,14.18,128.98,1.93,52.99,25.92,21.09
SL_SOIL_00169,Jaffna,9.648516,79.943606,Dry Zone,Alfisols,6.94,0.782,9.5,161.71,0.78,74.58,12.22,13.2
SL_SOIL_00170,Mullaitivu,9.202674,80.920801,Dry Zone,Alfisols,7.27,0.98,11.02,161.85,1.15,73.05,13.24,13.71
SL_SOIL_00171,Kegalle,7.300925,80.501871,Wet Zone,Ultisols,5.6,1.264,14.97,142.31,1.91,40.8,26.88,32.32
SL_SOIL_00172,Polonnaruwa,7.840675,81.028788,Dry Zone,Vertisols,6.22,1.07,12.92,163.07,1.56,64.31,19.32,16.37
SL_SOIL_00173,Nuwara Eliya,6.944499,80.895295,Up Country Wet Zone,Inceptisols,5.31,1.457,9.82,161.63,3.09,35.27,41.35,23.38
SL_SOIL_00174,Mannar,8.900356,79.830169,Dry Zone,Alfisols,7.23,0.546,9.07,173.41,1.05,67.3,19.59,13.11
SL_SOIL_00175,Mannar,9.046888,80.065442,Dry Zone,Alfisols,7.02,0.75,20.57,159.49,0.57,64.04,15.29,20.67
SL_SOIL_00176,Anuradhapura,8.103031,80.420878,Dry Zone,Alfisols,6.6,0.733,9.7,113.17,0.85,60.58,17.87,21.54
SL_SOIL_00177,Kilinochchi,9.322358,80.376956,Dry Zone,Alfisols,6.93,0.813,8.55,154.83,0.7,67.4,23.66,8.95
SL_SOIL_00178,Monaragala,7.086443,81.006331,Intermediate Zone,Alfisols,5.94,1.021,11.57,131.68,1.58,67.64,23.15,9.2
SL_SOIL_00179,Kegalle,7.098178,80.388069,Wet Zone,Ultisols,5.51,1.172,9.37,125.38,1.74,55.27,27.17,17.56
SL_SOIL_00180,Galle,6.024502,80.25637,Wet Zone,Ultisols,5.89,1.156,17.81,116.61,1.85,38.27,28.37,33.36
SL_SOIL_00181,Colombo,6.879709,80.011817,Wet Zone,Ultisols,5.94,1.01,10.66,121.56,1.85,51.66,33.52,14.82
SL_SOIL_00182,Colombo,6.911814,79.830187,Wet Zone,Ultisols,5.37,0.713,21.55,104.97,1.49,58.37,18.73,22.9
SL_SOIL_00183,Kegalle,7.327099,80.549131,Wet Zone,Ultisols,5.0,1.118,10.96,121.59,1.42,45.76,24.79,29.44
SL_SOIL_00184,Kegalle,7.238662,80.424133,Wet Zone,Ultisols,5.12,1.547,23.87,138.77,2.29,51.87,24.18,23.96
SL_SOIL_00185,Anuradhapura,8.242459,80.380007,Dry Zone,Alfisols,6.02,0.668,5.03,113.51,0.8,72.78,20.18,7.04
SL_SOIL_00186,Mullaitivu,9.102565,80.963688,Dry Zone,Alfisols,6.23,0.81,19.25,151.21,1.06,67.9,8.19,23.91
SL_SOIL_00187,Hambantota,6.299892,80.806783,Dry Zone,Alfisols,6.69,0.714,15.59,103.45,0.63,67.07,20.96,11.97
SL_SOIL_00188,Kalutara,6.748883,80.0994,Wet Zone,Ultisols,5.64,1.413,13.26,121.88,2.03,44.87,19.8,35.33
SL_SOIL_00189,Galle,6.075688,80.309863,Wet Zone,Ultisols,5.72,1.515,11.98,133.91,2.63,43.97,20.1,35.93
SL_SOIL_00190,Nuwara Eliya,6.86312,80.762559,Up Country Wet Zone,Inceptisols,4.62,1.385,17.69,162.49,2.71,47.67,41.27,11.06
