Sample_ID,District,Latitude,Longitude,Agro_Ecological_Zone,Soil_Order_Classification,pH,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Sand,Clay,Silt,pH_scaled,Nitrogen_scaled,Phosphorus_scaled,Potassium_scaled,Organic_Carbon_scaled,Sand_scaled,Clay_scaled,Silt_scaled
SL_SOIL_00011,Kilinochchi,9.512943,80.532654,Dry Zone,Alfisols,6.39,0.761,9.13,150.01,0.72,68.91,19.58,11.51,0.4076642563874788,-1.1401236635686458,-0.9430665593520847,0.768922220789809,-1.2526365538446704,1.0342144690937036,-0.4740321539620912,-0.9735868122088632
SL_SOIL_00012,Ratnapura,6.680634,80.584395,Wet Zone,Ultisols,5.11,1.476,22.79,109.01,2.55,32.01,36.52,31.47,-1.1896879751351908,1.1250310800739423,2.017886422438873,-1.4038475067199787,1.4696261827291215,-2.4113935557511126,1.5241624492702706,1.780150359414987
SL_SOIL_00013,Polonnaruwa,8.038737,81.179251,Dry Zone,Vertisols,6.12,0.906,19.36,130.42,1.56,57.89,25.2,16.91,0.07072277005066602,-0.6807566176551139,1.2743967644928271,-0.2692377538910876,-0.003073330499323052,0.005200907202379543,0.18888718902290716,-0.22858777780160913
SL_SOIL_00014,Kandy,7.308291,80.704861,Wet Zone,Ultisols,4.89,1.639,13.38,148.31,2.16,57.84,28.72,13.43,-1.4642328899281505,1.6414230006526023,-0.021833018165293264,0.6788317686735501,0.8894718290330679,0.000532061640259461,0.6040964572270341,-0.7086982666418395
SL_SOIL_00015,Matara,5.996553,80.597126,Wet Zone,Ultisols,5.54,1.278,17.2,145.38,1.4,60.53,27.17,12.3,-0.653077459858044,0.4977574587575334,0.8061933647367167,0.5235582247319965,-0.24108537304129415,0.25171595288233395,0.4212628306030581,-0.8645962127307648
SL_SOIL_00016,Ratnapura,6.707772,80.731324,Wet Zone,Ultisols,4.62,1.419,27.99,149.14,3.28,40.12,38.67,21.21,-1.8011743762649632,0.9444523103010368,3.145042755185065,0.722817107059723,2.555556126826864,-1.6541068055751922,1.7777703829744957,0.3646521940412044
SL_SOIL_00017,Kalutara,6.585054,80.239071,Wet Zone,Ultisols,4.88,1.429,17.22,122.06,1.69,57.85,31.7,10.45,-1.4767122042369212,0.976132796226108,0.8105285814011249,-0.7122708007686925,0.19031145406602815,0.0014658307526833447,0.9556088490589372,-1.1198273634073244
SL_SOIL_00018,Badulla,6.860243,80.926031,Up Country Intermediate Zone,Inceptisols,5.49,1.266,17.56,129.73,1.52,47.67,39.56,12.77,-0.7154740314018981,0.459740875647448,0.8842272646960683,-0.30580387857356933,-0.06257634113481583,-0.9491111256950193,1.8827522718101983,-0.799753704180504
SL_SOIL_00019,Polonnaruwa,8.12906,81.191886,Dry Zone,Vertisols,5.92,1.24,13.6,161.99,1.12,55.66,23.17,21.17,-0.17886351612475143,0.37737161224226284,0.025854365143199224,1.4037949362914506,-0.657606447489743,-0.2030296048681883,-0.05056588326526809,0.3591336826752249
SL_SOIL_00020,Gampaha,7.203178,80.062051,Wet Zone,Ultisols,5.57,1.354,13.54,114.64,1.79,47.45,26.19,26.36,-0.6156395169317311,0.7385291517880744,0.012848715149973825,-1.1054891270643665,0.3390689806547601,-0.9696540461683487,0.3056647957053181,1.0751605324110853
SL_SOIL_00021,Ratnapura,6.661337,80.732522,Wet Zone,Ultisols,4.93,1.51,14.9,137.69,2.48,47.9,31.15,20.95,-1.414315632693067,1.2327447322191842,0.3076434483297474,0.11603141486491685,1.3654959141170095,-0.927634436109266,0.8907324009020422,0.3287818701623364
SL_SOIL_00022,Mannar,9.004654,79.801604,Dry Zone,Alfisols,7.06,0.794,3.45,142.09,0.78,76.16,9.99,13.85,1.2437783150751265,-1.0355780600159108,-2.1742680920440796,0.3492067026952359,-1.1633820378914312,1.711197075601154,-1.605241495461403,-0.6507538972990532
SL_SOIL_00023,Nuwara Eliya,7.033251,80.819031,Up Country Wet Zone,Inceptisols,4.88,1.687,17.02,120.3,2.51,31.61,45.58,22.81,-1.4767122042369212,1.793489333092944,0.7671764147570408,-0.8055409159008202,1.4101231720936287,-2.448744320248075,2.592854486182029,0.5853926486803905
SL_SOIL_00024,Gampaha,7.117321,79.982918,Wet Zone,Ultisols,6.17,1.238,16.34,117.91,1.97,61.93,23.03,15.04,0.1331193415945201,0.37103551505724863,0.6197790481671542,-0.9321974926995616,0.6068325285144772,0.3824436286217035,-0.06707988825065957,-0.4865781841611584
SL_SOIL_00025,Polonnaruwa,8.116416,80.981216,Dry Zone,Vertisols,6.47,1.063,11.39,160.87,1.36,62.13,20.22,17.65,0.5074987708576457,-0.18337298863149687,-0.4531870762739322,1.3444412266619146,-0.3005883836767866,0.4011190108701852,-0.39853955974315897,-0.12649531753098564
SL_SOIL_00026,Colombo,6.83675,79.810586,Wet Zone,Ultisols,6.25,1.423,11.8,100.29,1.25,66.44,22.68,10.88,0.23295385606468708,0.9571245046710654,-0.3643151346535593,-1.865958531692792,-0.4642216629243917,0.8035734983249586,-0.10836490071413828,-1.0605033662230428
SL_SOIL_00027,Mannar,9.164085,79.99171,Dry Zone,Alfisols,7.61,0.615,10.66,155.45,0.85,79.54,14.03,6.43,1.9301406020575247,-1.6026587580746847,-0.6114224845248399,1.0572116675618393,-1.059251769279319,2.0268110356004905,-1.1286944944543937,-1.6744377556882801
SL_SOIL_00028,Badulla,6.898514,81.091738,Up Country Intermediate Zone,Inceptisols,5.46,1.889,20.69,134.15,2.32,41.38,30.82,27.8,-0.752911974328211,2.4334351487793815,1.5626886726759883,-0.07156870307129373,1.1274838715750384,-1.536451897409759,0.8518065320079055,1.2738269415863535
SL_SOIL_00029,Mannar,9.076485,79.980912,Dry Zone,Alfisols,7.4,0.64,11.22,150.41,0.83,63.39,21.18,15.43,1.6680750015733365,-1.5234575432620068,-0.4900364179214038,0.7901199742289292,-1.0890032745970655,0.5187739190356178,-0.2853006684147606,-0.4327726983428566
SL_SOIL_00030,Kegalle,7.317568,80.307118,Wet Zone,Ultisols,4.95,1.589,12.01,132.41,2.7,43.93,31.81,24.26,-1.3893570040755248,1.4830205710272464,-0.31879535967727096,-0.16377893053146572,1.6927624726122197,-1.2983407737416215,0.968584138690316,0.7854386856971536
SL_SOIL_00031,Trincomalee,8.871192,80.759857,Dry Zone,Alfisols,7.13,0.736,8.2,118.83,0.59,68.51,12.93,18.56,1.3311335152365227,-1.2193248783813238,-1.144654134247077,-0.8834426597895858,-1.4460213384100218,0.9968637045967417,-1.2584473907681832,-0.000949183954948348
SL_SOIL_00032,Jaffna,9.640744,80.187687,Dry Zone,Alfisols,7.05,1.013,12.44,156.92,1.05,65.77,20.04,14.19,1.2312990007663558,-0.3417754182568528,-0.22558820139248978,1.135113411450605,-0.7617367161018552,0.7410109677925458,-0.4197718518672336,-0.6038465506882261
SL_SOIL_00033,Ampara,7.087014,81.40157,Dry Zone,Vertisols,6.44,1.14,14.74,163.26,1.42,53.51,20.68,25.81,0.47006082793133397,0.06056675299155095,0.2729617150144799,1.4710978034606552,-0.21133386772354776,-0.4037899640393631,-0.34427925764830136,0.999281001128865
SL_SOIL_00034,Batticaloa,7.595363,81.208237,Dry Zone,Vertisols,6.32,1.017,10.21,157.64,1.36,69.1,23.79,7.11,0.32030905622608347,-0.32910322388682434,-0.7089648594740295,1.1732693676410206,-0.3005883836767866,1.051956082229761,0.022567567384322165,-1.580623062466626
SL_SOIL_00035,Batticaloa,7.97021,81.009494,Dry Zone,Vertisols,5.91,1.241,23.83,168.26,1.82,67.74,23.03,9.23,-0.19134283043352204,0.3805396608347703,2.2433176889881112,1.7360697214496539,0.38369623863137964,0.9249634829400875,-0.06707988825065957,-1.2881419600697037
SL_SOIL_00036,Puttalam,7.686263,80.049265,Dry Zone,Alfisols,6.61,0.427,10.45,136.96,1.03,73.42,19.01,7.57,0.6822091711804386,-2.1982518934660225,-0.6569422595011287,0.07734551483852359,-0.7914882214196016,1.4553443387969596,-0.5412677456883273,-1.5171601817578597
SL_SOIL_00037,Mannar,9.188094,80.079697,Dry Zone,Alfisols,6.89,0.773,9.75,130.65,0.95,73.47,14.07,12.46,1.0316299718260218,-1.1021070804585604,-0.8086748427554236,-0.25704904566359277,-0.9104942426905872,1.4600131843590796,-1.1239762073157102,-0.8425221672668461
SL_SOIL_00038,Monaragala,7.00363,81.33526,Intermediate Zone,Alfisols,6.19,0.997,11.36,142.11,1.62,66.12,28.14,5.74,0.1580779702120624,-0.3924641957369664,-0.45968990127054504,0.35026659036719243,0.0861811854539161,0.7736928867273891,0.535681293716127,-1.769632076751429
SL_SOIL_00039,Anuradhapura,8.136355,80.893113,Dry Zone,Alfisols,7.17,1.187,13.55,145.73,1.45,77.97,16.26,5.77,1.3810507724716063,0.2094650368393859,0.01501632348217838,0.5421062589912261,-0.1667066097469282,1.8802092849499108,-0.8656499864728016,-1.7654931932269444
SL_SOIL_00040,Kegalle,7.119617,80.29288,Wet Zone,Ultisols,5.11,1.292,9.7,114.79,1.52,52.21,32.91,14.88,-1.1896879751351908,0.542110139052633,-0.8195128844164448,-1.0975399695246961,-0.06257634113481583,-0.5251799486544919,1.0983370350041055,-0.5086522296250767
SL_SOIL_00041,Kalutara,6.675034,80.156482,Wet Zone,Ultisols,5.8,1.449,22.57,134.78,2.35,51.01,35.31,13.68,-0.32861528783000193,1.0394937680762504,1.9701990391303805,-0.038182241404680156,1.1721111295516582,-0.6372322421453804,1.3814342633251018,-0.6742075706044667
SL_SOIL_00042,Matale,7.590275,80.75232,Intermediate Zone,Alfisols,5.29,1.282,11.58,144.68,1.44,52.4,28.57,19.03,-0.9650603175773156,0.5104296531275618,-0.4120025179620522,0.48646215621353733,-0.1815823624058014,-0.5074383355184348,0.5864028804569721,0.063893324595313
SL_SOIL_00043,Puttalam,8.038426,79.839235,Dry Zone,Alfisols,6.43,0.769,3.0,122.89,1.08,75.52,18.41,6.08,0.4575815136225622,-1.1147792748285887,-2.271810466993269,-0.6682854623825188,-0.7171094581252357,1.6514358524060135,-0.6120420527685764,-1.7227247301406021
SL_SOIL_00044,Galle,5.99996,80.113881,Wet Zone,Ultisols,5.84,1.671,18.59,120.52,2.76,49.21,31.07,19.71,-0.27869803059491843,1.74280055561283,1.1074909229131027,-0.7938821515093044,1.7820169885654582,-0.8053106823817127,0.8812958266246759,0.15770801781696717
SL_SOIL_00045,Polonnaruwa,8.163678,80.982943,Dry Zone,Vertisols,6.79,0.826,11.64,130.65,1.0,50.15,17.02,32.83,0.9068368287383136,-0.9342005050556834,-0.3989968679688268,-0.25704904566359277,-0.8361154793962212,-0.7175363858138504,-0.7760025308378198,1.9677797458582953
SL_SOIL_00046,Hambantota,6.102822,80.572825,Dry Zone,Alfisols,6.07,1.222,6.63,119.21,1.37,73.24,9.54,17.22,0.008326198506811933,0.3203467375771347,-1.4849686424031387,-0.8633047940224221,-0.2857126310179134,1.4385364947733257,-1.6583222257715897,-0.18581931471526694
SL_SOIL_00047,Galle,6.099907,80.226583,Wet Zone,Ultisols,5.54,1.241,7.48,134.66,1.9,59.69,25.93,14.38,-0.653077459858044,0.3805396608347703,-1.3007219341657803,-0.04454156743641636,0.5027022599023648,0.1732793474387118,0.27499592930387673,-0.5776336216998226
SL_SOIL_00048,Kurunegala,7.856137,80.266877,Intermediate Zone,Alfisols,5.52,0.849,12.34,131.64,1.19,53.67,19.91,26.42,-0.6780360884755864,-0.8613353874280196,-0.24726428471453185,-0.20458460590177205,-0.5534761788776309,-0.38884965824057766,-0.43510628506795407,1.0834382994600553
SL_SOIL_00049,Kandy,7.241221,80.597998,Wet Zone,Ultisols,5.04,1.452,9.29,142.12,2.5,52.35,28.02,19.63,-1.2770431752965872,1.0489979138537715,-0.9083848260368177,0.35079653420317,1.395247419434756,-0.5121071810805549,0.5215264323000771,0.14667099508500758
SL_SOIL_00050,Kegalle,7.13828,80.240179,Wet Zone,Ultisols,5.1,1.499,19.68,123.02,2.56,45.7,36.77,17.53,-1.2021672894439623,1.1978961977016063,1.343760231123362,-0.6613961925148051,1.484501935387995,-1.133063640842561,1.553651743887041,-0.14305085162892425
SL_SOIL_00051,Vavuniya,8.902986,80.418029,Dry Zone,Alfisols,6.38,1.181,11.24,145.97,1.12,65.7,23.13,11.17,0.39518494207870813,0.19045674528434317,-0.48570120125699545,0.5548249110546986,-0.657606447489743,0.734474584005578,-0.05528417040395167,-1.0204941588196903
SL_SOIL_00052,Kurunegala,7.42134,80.39149,Intermediate Zone,Alfisols,6.29,0.913,15.26,147.37,1.39,51.17,27.87,20.96,0.2828711132997706,-0.658580277507564,0.385677348289099,0.6290170480916185,-0.2559611257001673,-0.622291936346595,0.5038328555300151,0.33016149800383154
SL_SOIL_00053,Hambantota,6.124296,80.574887,Dry Zone,Alfisols,6.18,0.92,14.67,101.52,1.14,68.55,16.1,15.36,0.1455986559032907,-0.6364039373600142,0.2577884566890503,-1.800775439867499,-0.6278549421719969,1.0005987810464372,-0.8845231350275345,-0.44243009323332105
SL_SOIL_00054,Polonnaruwa,8.089994,80.849369,Dry Zone,Vertisols,6.29,0.891,13.66,129.46,1.15,61.93,20.88,17.18,0.2828711132997706,-0.7282773465427207,0.038860015136424626,-0.3201123621449743,-0.6129791895131237,0.3824436286217035,-0.32068782195488515,-0.19133782608124647
SL_SOIL_00055,Gampaha,7.195875,80.059912,Wet Zone,Ultisols,6.05,1.241,11.69,124.15,1.7,62.74,15.16,22.09,-0.016632430110730366,0.3805396608347703,-0.3881588263078059,-0.6015125390492909,0.20518720672490134,0.45807892672805334,-0.9954028827865914,0.4860594440927568
SL_SOIL_00056,Anuradhapura,8.196484,80.776142,Dry Zone,Alfisols,6.43,0.758,4.59,125.36,0.89,68.18,17.99,13.84,0.4575815136225622,-1.1496278093461672,-1.9271607421727988,-0.5373893348959535,-0.9997487586438262,0.9660493238867476,-0.6615840677247509,-0.652133525140548
SL_SOIL_00057,Batticaloa,7.568943,81.413258,Dry Zone,Vertisols,6.9,0.956,15.89,152.12,1.42,56.21,23.41,20.37,1.0441092861347936,-0.5223541880297583,0.5222366732179647,0.8807403701811671,-0.21133386772354776,-0.1516723036848641,-0.022256160433168703,0.24876345535563157
SL_SOIL_00058,Galle,6.039584,80.328223,Wet Zone,Ultisols,5.2,1.261,15.71,111.87,1.48,52.5,33.49,14.01,-1.0773741463562532,0.44390063268491203,0.48321972323828893,-1.2522835696302714,-0.1220793517703086,-0.49810064439419394,1.1667521985150133,-0.6286798518351345
SL_SOIL_00059,Mannar,8.910303,79.861274,Dry Zone,Alfisols,7.15,0.766,10.33,145.66,0.68,70.07,18.94,11.0,1.3560921438540652,-1.12428342060611,-0.6829535594875791,0.5383966521393805,-1.312139564480163,1.1425316861348955,-0.549524748181023,-1.043947832125104
SL_SOIL_00060,Matara,5.983027,80.682025,Wet Zone,Ultisols,5.94,1.292,14.47,104.05,1.69,58.19,34.73,7.08,-0.15390488750720913,0.542110139052633,0.21443629004496617,-1.6666996493650656,0.19031145406602815,0.03321398057510136,1.313019099814194,-1.5847619459911106
SL_SOIL_00061,Batticaloa,7.61574,81.408812,Dry Zone,Vertisols,6.58,1.119,11.54,173.17,0.82,71.73,17.48,10.79,0.6447712282541256,-0.005962267451098201,-0.42067295129086923,1.9962721449148502,-1.1038790272559387,1.297537358797292,-0.7217422287429622,-1.0729200167964972
SL_SOIL_00062,Kalutara,6.500802,80.144715,Wet Zone,Ultisols,5.25,1.18,22.21,125.35,1.64,48.29,24.84,26.87,-1.014977574812399,0.1872886966918357,1.8921651391710288,-0.5379192787319318,0.11593269077166217,-0.8912174407247273,0.14642260477475785,1.1455215523273263
SL_SOIL_00063,Vavuniya,8.98747,80.404937,Dry Zone,Alfisols,6.91,0.913,9.9,125.6,1.08,56.02,19.49,24.49,1.056588600443564,-0.658580277507564,-0.7761607177723603,-0.524670682832482,-0.7171094581252357,-0.16941391682092122,-0.4846483000241285,0.8171701260515362
SL_SOIL_00064,Trincomalee,8.557413,80.734442,Dry Zone,Alfisols,6.61,1.123,15.57,137.21,1.08,66.53,18.14,15.33,0.6822091711804386,0.006709926918930276,0.4528732065874298,0.09059411073797352,-0.7171094581252357,0.8119774203367756,-0.6438904909546883,-0.4465689767578057
SL_SOIL_00065,Kandy,7.325119,80.636754,Wet Zone,Ultisols,5.51,1.356,13.1,132.28,1.42,46.5,38.25,15.25,-0.690515402784357,0.7448652489730887,-0.08252605146701154,-0.17066820039917946,-0.21133386772354776,-1.0583621118486357,1.7282283680183212,-0.45760599948976505
SL_SOIL_00066,Kurunegala,7.798992,80.518017,Intermediate Zone,Alfisols,6.28,0.816,13.02,122.7,1.01,60.57,27.43,12.0,0.27039179899099997,-0.9658809909807546,-0.09986691812464528,-0.6783543952661006,-0.821239726737348,0.2554510293320301,0.45193169700449903,-0.9059850479756124
SL_SOIL_00067,Matara,5.933101,80.545563,Wet Zone,Ultisols,5.11,1.425,11.8,111.84,2.66,48.25,27.02,24.73,-1.1896879751351908,0.9634606018560795,-0.3643151346535593,-1.2538734011382056,1.633259461976727,-0.8949525171744235,0.4035692538329956,0.8502811942474144
SL_SOIL_00068,Kandy,7.324224,80.733388,Wet Zone,Ultisols,5.73,1.453,8.26,156.87,1.91,51.92,36.33,11.74,-0.4159704879913972,1.052165962446279,-1.1316484842538517,1.1324636922707159,0.517578012561238,-0.5522592529147898,1.5017505853615245,-0.9418553718544802
SL_SOIL_00069,Gampaha,7.172601,79.952163,Wet Zone,Ultisols,5.54,1.068,12.12,99.01,1.3,52.63,18.13,29.24,-0.653077459858044,-0.16753274566896093,-0.29495166802302475,-1.9337913426979758,-0.3898428996300258,-0.4859616459326808,-0.6450700627393594,1.472493350761621
SL_SOIL_00070,Nuwara Eliya,6.858983,80.881729,Up Country Wet Zone,Inceptisols,4.46,1.43,14.88,155.06,2.95,44.94,32.75,22.31,-2.000843405205297,0.9793008448186148,0.30330823166533905,1.036543857958698,2.0646562890840494,-1.2040300933867907,1.0794638864493729,0.5164112566056448
SL_SOIL_00071,Badulla,6.945645,81.048175,Up Country Intermediate Zone,Inceptisols,6.05,1.566,18.34,129.17,2.9,45.36,33.08,21.56,-0.016632430110730366,1.410155453399583,1.0533007146079973,-0.3354807333883373,1.990277525789683,-1.1648117906649795,1.1183897553435096,0.41293916849352613
SL_SOIL_00072,Jaffna,9.599001,79.810891,Dry Zone,Alfisols,7.21,0.57,5.96,178.25,0.7,64.41,8.89,26.7,1.4309680297066898,-1.745220944737505,-1.6301984006608212,2.2654836135916736,-1.2823880591624168,0.6140183685028725,-1.7349943917751927,1.1220678790219125
SL_SOIL_00073,Kandy,7.365699,80.724127,Wet Zone,Ultisols,5.68,1.837,16.11,121.36,2.48,49.63,28.65,21.72,-0.4783670595352524,2.2686966219690112,0.5699240565264572,-0.7493668692871525,1.3654959141170095,-0.7660923796599016,0.5958394547343384,0.4350132139574448
SL_SOIL_00074,Badulla,7.164321,81.041595,Up Country Intermediate Zone,Inceptisols,4.86,1.595,11.35,133.23,1.92,47.32,32.06,20.62,-1.5016708328544623,1.502028862582289,-0.46185750960274924,-0.12032353598127032,0.5324537652201112,-0.9817930446298618,0.9980734333070869,0.28325415139300447
SL_SOIL_00075,Kurunegala,7.709387,80.302519,Intermediate Zone,Alfisols,5.98,0.859,8.29,142.29,1.49,64.04,18.81,17.15,-0.10398763027212564,-0.8296549015029485,-1.1251456592572393,0.35980557941479524,-0.10720359911143541,0.5794689113431828,-0.564859181381744,-0.19547670960573138
SL_SOIL_00076,Mannar,9.018233,79.831677,Dry Zone,Alfisols,7.32,0.649,6.61,161.05,0.82,74.67,10.67,14.66,1.5682404871031697,-1.4949451059294427,-1.4893038590675471,1.3539802157095189,-1.1038790272559387,1.572065477849968,-1.5250306141037875,-0.539004042137965
SL_SOIL_00077,Gampaha,7.126155,79.885184,Wet Zone,Ultisols,5.54,1.074,18.74,107.29,1.27,52.28,23.05,24.68,-0.653077459858044,-0.1485244541139182,1.1400050478961656,-1.4949978465081941,-0.43447015760664537,-0.5186435648675234,-0.06472074468131798,0.8433830550399397
SL_SOIL_00078,Jaffna,9.743458,79.711766,Dry Zone,Alfisols,8.24,0.595,12.88,196.15,0.6,68.82,6.69,24.49,2.7163374035100887,-1.6660197299248272,-0.13021343477550404,3.214083079992289,-1.4311455857511486,1.0258105470818868,-1.9945001844027719,0.8171701260515362
SL_SOIL_00079,Kandy,7.323058,80.589002,Wet Zone,Ultisols,5.81,1.586,21.58,129.03,2.37,48.11,29.4,22.49,-0.3161359735212313,1.4735164252497253,1.7556058142421627,-0.34289994709202853,1.2018626348694046,-0.9080252847483605,0.6843073385846495,0.5412445577525532
SL_SOIL_00080,Vavuniya,8.985529,80.354032,Dry Zone,Alfisols,6.5,0.838,12.36,138.13,0.96,61.03,24.03,14.94,0.5449367137839586,-0.8961839219455979,-0.24292906805012351,0.1393489436479486,-0.895618490031714,0.2984044085035374,0.05087729021642197,-0.5003744625761075
SL_SOIL_00081,Ampara,7.296684,81.726118,Dry Zone,Vertisols,6.67,0.955,12.78,133.46,1.08,60.05,17.03,22.92,0.7570850570330632,-0.5255222366222654,-0.1518895180975465,-0.10813482775377542,-0.7171094581252357,0.20689503548597823,-0.7748229590531488,0.600568554936835
SL_SOIL_00082,Batticaloa,7.563193,81.016706,Dry Zone,Vertisols,7.39,1.149,14.05,167.85,1.61,64.14,27.53,8.33,1.655595687264565,0.08907919032411538,0.12339674009238914,1.7143420241745562,0.07130543279504292,0.5888066024674229,0.46372741485120733,-1.4123084658042462
SL_SOIL_00083,Matara,6.081064,80.57315,Wet Zone,Ultisols,5.81,1.486,13.47,112.88,2.04,53.93,27.71,18.36,-0.3161359735212313,1.1567115659990135,-0.002324543175455358,-1.1987592421964943,0.7109627971265896,-0.36457166131755203,0.484959706975282,-0.02854174078484655
SL_SOIL_00084,Vavuniya,8.818679,80.635928,Dry Zone,Alfisols,6.53,0.917,16.74,154.06,1.26,67.24,19.51,13.24,0.5823746567102716,-0.6459080831375356,0.7064833814553225,0.9835494743608985,-0.4493459102655185,0.878275027318884,-0.48228915645478654,-0.7349111956302429
SL_SOIL_00085,Monaragala,7.03014,81.348717,Intermediate Zone,Alfisols,6.19,0.827,9.74,121.12,1.09,62.57,23.16,14.26,0.1580779702120624,-0.9310324564631762,-0.8108424510876278,-0.7620855213506241,-0.7022337054663625,0.442204851816844,-0.05174545504993909,-0.5941891557977617
SL_SOIL_00086,Kegalle,7.301179,80.244579,Wet Zone,Ultisols,5.4,1.385,14.84,140.41,2.18,35.93,31.94,32.13,-0.8277878601808357,0.8367386581557947,0.294637798336522,0.260176138250932,0.9192233343508143,-2.045356063680877,0.9839185718910369,1.8712057969536517
SL_SOIL_00087,Matara,6.123566,80.611226,Wet Zone,Ultisols,5.05,1.239,6.68,137.05,1.46,53.36,35.79,10.85,-1.2645638609878165,0.3742035636497561,-1.4741306007421178,0.08211500936232574,-0.151830857088055,-0.417796500725724,1.4380537089893006,-1.0646422497475276
SL_SOIL_00088,Polonnaruwa,8.194418,80.912864,Dry Zone,Vertisols,6.02,0.613,9.86,136.75,1.1,48.22,20.03,31.75,-0.05407037303704326,-1.608994855259699,-0.7848311511011773,0.06621669428298523,-0.6873579528074893,-0.8977538245116957,-0.4209514236519042,1.8187799389768446
SL_SOIL_00089,Ampara,7.185877,81.559152,Dry Zone,Vertisols,6.8,1.346,17.8,161.08,1.44,53.41,21.05,25.54,0.9193161430470843,0.7131847630480175,0.9362498646689699,1.355570047217453,-0.1815823624058014,-0.41312765516360395,-0.30063510161548107,0.9620310494085024
SL_SOIL_00090,Mullaitivu,9.229057,80.591209,Dry Zone,Alfisols,6.92,1.033,14.46,162.51,0.94,62.47,23.24,14.28,1.0690679147523348,-0.2784144464067104,0.212268681712762,1.4313520157623054,-0.9253699953494604,0.43286716069260317,-0.04230888077257277,-0.5914299001147719
SL_SOIL_00091,Kurunegala,7.644438,80.577905,Intermediate Zone,Alfisols,5.94,1.139,22.48,116.34,1.11,55.65,25.61,18.74,-0.15390488750720913,0.05739870439904418,1.9506905641405425,-1.0153986749481068,-0.6724822001486161,-0.2039633739806122,0.2372496321944106,0.023884117191960083
SL_SOIL_00092,Batticaloa,7.82595,81.49945,Dry Zone,Vertisols,6.54,1.065,15.72,147.78,1.29,49.46,22.89,27.64,0.5948539710190421,-0.17703689144648263,0.4853873315704931,0.6507447453667161,-0.404718652288899,-0.781966454571111,-0.08359389323605106,1.2517528961224347
