date,temperature_avg_c,rainfall_mm,humidity_percent,district,forecast_month
2026-08-01,25.389673,3.3635395,79.20095,Badulla,8
2026-09-01,25.775398,3.860102,79.213165,Badulla,9
2026-10-01,25.304258,7.4516335,83.40256,Badulla,10
2026-11-01,24.235424,9.581171,87.71141,Badulla,11
2026-12-01,23.578625,7.8669453,88.713455,Badulla,12
2026-01-01,26.15533,5.1939616,80.42289,Batticaloa,1
2026-02-01,26.86512,3.320846,78.26903,Batticaloa,2
2026-03-01,28.237623,3.2486715,76.78982,Batticaloa,3
2026-04-01,29.043348,4.451833,77.393036,Batticaloa,4
2026-05-01,29.032719,4.6523957,78.19961,Batticaloa,5
2026-06-01,28.51261,2.803253,76.946594,Batticaloa,6
2026-07-01,28.411142,2.178731,73.86702,Batticaloa,7
2026-08-01,28.655964,2.2454116,72.71879,Batticaloa,8
2026-09-01,28.74716,2.9063823,74.6992,Batticaloa,9
2026-10-01,28.223337,7.662778,78.796814,Batticaloa,10
2026-11-01,27.286959,10.890584,82.18839,Batticaloa,11
2026-12-01,26.687635,8.128953,81.85819,Batticaloa,12
2026-01-01,25.401838,3.9781578,83.00084,Colombo,1
2026-02-01,25.906311,3.659389,79.504036,Colombo,2
2026-03-01,27.087309,4.4255977,79.50615,Colombo,3
2026-04-01,27.248714,6.9302473,83.89908,Colombo,4
2026-05-01,27.012447,9.295919,86.541115,Colombo,5
2026-06-01,26.527512,6.632972,87.06391,Colombo,6
2026-07-01,26.077147,3.9259725,85.35556,Colombo,7
2026-08-01,26.079916,3.1967177,83.713135,Colombo,8
2026-09-01,26.609629,4.9970417,83.79359,Colombo,9
2026-10-01,26.4924,10.090209,84.852486,Colombo,10
2026-11-01,26.170687,11.133129,86.05982,Colombo,11
2026-12-01,25.898695,6.7293053,84.926216,Colombo,12
2026-01-01,26.301178,4.869764,80.43866,Galle,1
2026-02-01,26.603422,3.7590754,79.252655,Galle,2
2026-03-01,27.601347,4.321891,79.76093,Galle,3
2026-04-01,28.274164,7.0104585,81.89683,Galle,4
2026-05-01,28.307816,9.396869,83.768074,Galle,5
2026-06-01,27.912344,8.17446,83.97996,Galle,6
2026-07-01,27.182165,4.8075395,82.84081,Galle,7
2026-08-01,27.025776,3.624682,82.07474,Galle,8
2026-09-01,27.487844,5.1063757,82.62113,Galle,9
2026-10-01,27.501781,9.564188,82.80845,Galle,10
2026-11-01,27.242407,11.611486,83.40606,Galle,11
2026-12-01,27.049242,9.225933,82.266525,Galle,12
2026-01-01,25.396841,4.225191,82.33095,Gampaha,1
2026-02-01,26.070084,3.77722,79.09834,Gampaha,2
2026-03-01,27.196703,4.620882,79.63347,Gampaha,3
2026-04-01,27.538944,7.9566407,83.169655,Gampaha,4
2026-05-01,27.166063,10.300171,85.918816,Gampaha,5
2026-06-01,26.439121,7.7147107,86.86602,Gampaha,6
2026-07-01,25.945564,4.3189907,85.6415,Gampaha,7
2026-08-01,26.004122,3.8238406,84.709526,Gampaha,8
2026-09-01,26.557112,5.9603777,84.69699,Gampaha,9
2026-10-01,26.443233,11.194775,85.4183,Gampaha,10
2026-11-01,26.214247,11.758017,85.75572,Gampaha,11
2026-12-01,25.728378,7.904933,84.33266,Gampaha,12
2026-01-01,25.78647,5.809977,83.42597,Hambantota,1
2026-02-01,26.227098,3.9016414,80.93335,Hambantota,2
2026-03-01,27.530937,4.083218,80.16351,Hambantota,3
2026-04-01,28.254622,6.858449,82.74426,Hambantota,4
2026-05-01,28.148708,9.813613,85.08933,Hambantota,5
2026-06-01,27.687546,8.188323,84.84976,Hambantota,6
2026-07-01,26.772512,4.600058,83.02782,Hambantota,7
2026-08-01,26.737375,3.778855,81.77375,Hambantota,8
2026-09-01,27.301678,4.7225075,81.78618,Hambantota,9
2026-10-01,27.42657,9.067065,83.58159,Hambantota,10
2026-11-01,26.913544,11.799081,85.11184,Hambantota,11
2026-12-01,26.752138,9.246819,84.34319,Hambantota,12
2026-01-01,25.855867,2.9536412,79.53076,Jaffna,1
2026-02-01,26.876236,2.6253932,77.70414,Jaffna,2
2026-03-01,28.533058,2.2724545,76.27456,Jaffna,3
2026-04-01,29.494305,2.4931927,77.3815,Jaffna,4
2026-05-01,29.5452,2.8252544,78.473305,Jaffna,5
2026-06-01,28.981554,1.7021813,77.821465,Jaffna,6
2026-07-01,28.712337,1.5208895,76.660706,Jaffna,7
2026-08-01,28.618927,1.7890142,76.82238,Jaffna,8
2026-09-01,28.413885,2.4685931,78.69589,Jaffna,9
2026-10-01,27.52514,8.1409025,80.508514,Jaffna,10
2026-11-01,27.1305,10.378568,82.087006,Jaffna,11
2026-12-01,26.249147,5.7966805,80.445,Jaffna,12
2026-01-01,25.694857,5.040107,82.48725,Kalutara,1
2026-02-01,26.112356,4.1635895,80.40603,Kalutara,2
2026-03-01,27.230518,4.7756047,80.54716,Kalutara,3
2026-04-01,27.667425,8.042882,83.54364,Kalutara,4
2026-05-01,27.45932,10.538188,86.29216,Kalutara,5
2026-06-01,26.949657,8.719682,86.88985,Kalutara,6
2026-07-01,26.375227,5.3616652,85.61463,Kalutara,7
2026-08-01,26.30652,4.392557,84.64685,Kalutara,8
2026-09-01,26.72127,6.156646,85.024994,Kalutara,9
2026-10-01,26.733503,10.879853,85.36583,Kalutara,10
2026-11-01,26.563078,12.054115,86.087555,Kalutara,11
2026-12-01,26.260906,9.062074,84.4918,Kalutara,12
2026-01-01,23.029993,5.3736157,89.77218,Kandy,1
2026-02-01,24.16952,3.811585,85.87705,Kandy,2
2026-03-01,25.66497,3.8808925,81.730804,Kandy,3
2026-04-01,26.297632,4.7209196,81.86795,Kandy,4
2026-05-01,25.87382,6.044774,83.84763,Kandy,5
2026-06-01,25.295778,4.4221773,84.5559,Kandy,6
2026-07-01,24.99161,3.2903492,84.16871,Kandy,7
2026-08-01,25.24553,2.9895525,83.224655,Kandy,8
2026-09-01,25.635416,3.6118698,82.88049,Kandy,9
2026-10-01,25.23934,8.902277,84.6169,Kandy,10
2026-11-01,24.164486,10.289244,89.34854,Kandy,11
2026-12-01,23.466702,7.674761,89.535614,Kandy,12
2026-01-01,22.795858,5.379213,90.02352,Kegalle,1
2026-02-01,24.026457,3.9466763,85.92252,Kegalle,2
2026-03-01,25.713081,4.0655456,82.008606,Kegalle,3
2026-04-01,26.284481,4.949488,82.20215,Kegalle,4
2026-05-01,25.97951,5.9434853,83.93219,Kegalle,5
2026-06-01,25.349024,4.837428,84.21739,Kegalle,6
2026-07-01,25.04177,3.6979408,83.60887,Kegalle,7
2026-08-01,25.291235,3.7004075,82.90188,Kegalle,8
2026-09-01,25.528938,4.426079,83.249855,Kegalle,9
2026-10-01,25.433401,9.22986,86.14273,Kegalle,10
2026-11-01,24.506413,12.086611,89.89727,Kegalle,11
2026-12-01,23.513304,9.067775,90.32652,Kegalle,12
2026-01-01,26.175442,3.863589,79.54101,Kilinochchi,1
2026-02-01,26.873703,2.7148995,77.470894,Kilinochchi,2
2026-03-01,28.266106,2.6132998,76.17774,Kilinochchi,3
2026-04-01,29.056376,3.0630395,77.06886,Kilinochchi,4
2026-05-01,29.165613,3.5804222,78.081856,Kilinochchi,5
2026-06-01,28.766998,2.2897458,77.8206,Kilinochchi,6
2026-07-01,28.570868,1.781392,76.537994,Kilinochchi,7
2026-08-01,28.578234,1.8816074,76.50108,Kilinochchi,8
2026-09-01,28.57427,2.638706,78.06006,Kilinochchi,9
2026-10-01,27.787346,7.585445,79.67629,Kilinochchi,10
2026-11-01,27.083912,10.3702,82.14901,Kilinochchi,11
2026-12-01,26.559122,6.826408,81.04093,Kilinochchi,12
2026-01-01,23.182392,5.6021194,89.566345,Kurunegala,1
2026-02-01,24.070349,3.9136972,85.41713,Kurunegala,2
2026-03-01,25.698606,3.5382056,81.63175,Kurunegala,3
2026-04-01,26.425014,4.3350096,82.14296,Kurunegala,4
2026-05-01,26.072851,5.209076,83.86812,Kurunegala,5
2026-06-01,25.465439,3.9452915,84.48578,Kurunegala,6
2026-07-01,25.152767,3.0720406,83.63835,Kurunegala,7
2026-08-01,25.42718,2.8661413,82.38932,Kurunegala,8
2026-09-01,25.848068,3.449466,82.33755,Kurunegala,9
2026-10-01,25.31635,8.563603,83.916885,Kurunegala,10
2026-11-01,24.465906,10.232193,88.782036,Kurunegala,11
2026-12-01,23.761541,7.7434196,89.02905,Kurunegala,12
2026-01-01,25.371342,2.6599112,82.20914,Mannar,1
2026-02-01,26.443796,2.3827968,77.70891,Mannar,2
2026-03-01,28.17957,2.5665772,74.77542,Mannar,3
2026-04-01,29.125547,3.0723286,76.53075,Mannar,4
2026-05-01,29.21041,3.8645658,78.140076,Mannar,5
2026-06-01,28.553268,1.9638271,78.36778,Mannar,6
2026-07-01,28.162455,1.0413753,76.51157,Mannar,7
2026-08-01,28.19428,1.0796361,75.8981,Mannar,8
2026-09-01,28.330938,1.9154376,77.55273,Mannar,9
2026-10-01,27.562565,7.49527,79.88072,Mannar,10
2026-11-01,26.84744,10.537973,83.55984,Mannar,11
2026-12-01,25.915178,6.4882455,82.76032,Mannar,12
2026-01-01,22.946623,5.460421,89.77014,Matale,1
2026-02-01,24.107382,3.8764834,85.425285,Matale,2
2026-03-01,25.805058,3.6004555,81.74757,Matale,3
2026-04-01,26.404255,3.9370425,81.95742,Matale,4
2026-05-01,26.039024,5.1349163,83.57018,Matale,5
2026-06-01,25.634556,3.8733392,84.01407,Matale,6
2026-07-01,25.384483,3.2873294,83.029564,Matale,7
2026-08-01,25.565702,3.2771091,81.9814,Matale,8
2026-09-01,25.763922,4.0693684,82.51887,Matale,9
2026-10-01,25.315536,8.913857,84.79667,Matale,10
2026-11-01,24.369019,11.139524,88.723015,Matale,11
2026-12-01,23.54264,8.565486,89.51253,Matale,12
2026-01-01,25.863865,4.7484694,82.67737,Matara,1
2026-02-01,26.15121,3.7917075,80.22918,Matara,2
2026-03-01,27.35315,4.0392785,79.818,Matara,3
2026-04-01,28.0262,5.7582636,82.275566,Matara,4
2026-05-01,27.96299,9.10045,85.22701,Matara,5
2026-06-01,27.451164,8.462907,86.12856,Matara,6
2026-07-01,26.779203,5.1937995,84.5453,Matara,7
2026-08-01,26.62661,4.1215844,82.92845,Matara,8
2026-09-01,26.948772,4.4587326,82.77,Matara,9
2026-10-01,27.11884,8.512037,83.45035,Matara,10
2026-11-01,26.840305,11.624816,85.465805,Matara,11
2026-12-01,26.514502,9.2905655,84.668076,Matara,12
2026-01-01,23.093483,6.661914,88.94951,Monaragala,1
2026-02-01,23.99715,5.006598,85.461266,Monaragala,2
2026-03-01,25.192463,4.222475,82.21351,Monaragala,3
2026-04-01,25.603945,5.2177663,82.3915,Monaragala,4
2026-05-01,25.21796,5.9529734,84.100784,Monaragala,5
2026-06-01,24.932663,4.4196916,83.99121,Monaragala,6
2026-07-01,24.963596,3.949982,82.02589,Monaragala,7
2026-08-01,25.2352,3.8007421,80.53887,Monaragala,8
2026-09-01,25.491486,4.4774723,81.01587,Monaragala,9
2026-10-01,24.771755,8.025919,85.10575,Monaragala,10
2026-11-01,23.700377,9.843414,88.78038,Monaragala,11
2026-12-01,23.332523,8.369104,88.98513,Monaragala,12
2026-01-01,26.06513,3.823,82.05705,Mullaitivu,1
2026-02-01,26.73172,3.1181757,79.43908,Mullaitivu,2
2026-03-01,28.248539,3.1700165,77.0803,Mullaitivu,3
2026-04-01,28.829115,3.7263343,77.42289,Mullaitivu,4
2026-05-01,28.763739,4.3209863,78.3256,Mullaitivu,5
2026-06-01,28.269102,2.8690305,77.8381,Mullaitivu,6
2026-07-01,28.109846,2.059311,76.993546,Mullaitivu,7
2026-08-01,28.19405,2.0737169,77.305405,Mullaitivu,8
2026-09-01,28.218775,2.8565493,79.464836,Mullaitivu,9
2026-10-01,27.784756,5.790058,82.12388,Mullaitivu,10
2026-11-01,26.97066,8.241907,83.1439,Mullaitivu,11
2026-12-01,26.62853,5.139076,82.39313,Mullaitivu,12
2026-01-01,23.841833,4.499457,91.676,Nuwara Eliya,1
2026-02-01,24.710085,2.864987,89.61014,Nuwara Eliya,2
2026-03-01,26.288317,3.220599,87.208176,Nuwara Eliya,3
2026-04-01,26.52319,7.373364,86.12541,Nuwara Eliya,4
2026-05-01,25.702692,12.752518,87.73352,Nuwara Eliya,5
2026-06-01,25.247051,13.560833,89.601,Nuwara Eliya,6
2026-07-01,24.983837,12.517304,90.013275,Nuwara Eliya,7
2026-08-01,25.052937,12.1823225,90.07888,Nuwara Eliya,8
2026-09-01,25.338764,13.057857,90.26484,Nuwara Eliya,9
2026-10-01,25.588486,13.087456,90.50505,Nuwara Eliya,10
2026-11-01,25.429848,11.154004,90.57251,Nuwara Eliya,11
2026-12-01,25.174782,8.250892,90.484535,Nuwara Eliya,12
2026-01-01,23.912037,3.5909688,87.35874,Polonnaruwa,1
2026-02-01,24.99117,2.7075746,82.316376,Polonnaruwa,2
2026-03-01,27.445322,3.0554063,75.9963,Polonnaruwa,3
2026-04-01,28.09054,4.2247458,76.62122,Polonnaruwa,4
2026-05-01,28.003162,4.6039567,77.85377,Polonnaruwa,5
2026-06-01,27.642403,2.7391286,75.4196,Polonnaruwa,6
2026-07-01,27.529943,1.5347142,73.11689,Polonnaruwa,7
2026-08-01,27.709875,1.4472616,72.58626,Polonnaruwa,8
2026-09-01,27.860954,1.9380054,75.98713,Polonnaruwa,9
2026-10-01,27.268032,5.750332,81.87014,Polonnaruwa,10
2026-11-01,25.444456,10.234429,85.70959,Polonnaruwa,11
2026-12-01,24.74462,8.522623,85.37383,Polonnaruwa,12
2026-01-01,25.608496,4.584244,79.462074,Puttalam,1
2026-02-01,26.460426,3.0964646,75.606476,Puttalam,2
2026-03-01,28.022879,3.1803913,73.92936,Puttalam,3
2026-04-01,28.401394,4.5347986,77.51361,Puttalam,4
2026-05-01,28.252602,7.001707,81.04588,Puttalam,5
2026-06-01,27.746965,5.4093027,81.348946,Puttalam,6
2026-07-01,27.302034,3.3065405,79.6,Puttalam,7
2026-08-01,27.549324,2.7011728,78.48408,Puttalam,8
2026-09-01,27.790686,4.1546006,80.23501,Puttalam,9
2026-10-01,27.257391,10.766764,82.03808,Puttalam,10
2026-11-01,26.923914,13.884512,84.31516,Puttalam,11
2026-12-01,26.30307,10.150146,82.64067,Puttalam,12
2026-01-01,24.262133,4.108839,87.33852,Ratnapura,1
2026-02-01,25.262514,3.153706,83.29757,Ratnapura,2
2026-03-01,26.391829,3.3948398,81.94563,Ratnapura,3
2026-04-01,26.74043,5.397924,84.411606,Ratnapura,4
2026-05-01,26.403034,8.714762,85.96285,Ratnapura,5
2026-06-01,25.909195,7.708613,87.405136,Ratnapura,6
2026-07-01,25.496382,4.6205893,87.41033,Ratnapura,7
2026-08-01,25.555023,4.064112,86.171555,Ratnapura,8
2026-09-01,25.802511,5.459072,85.07511,Ratnapura,9
2026-10-01,25.631077,9.389838,85.33436,Ratnapura,10
2026-11-01,25.269732,9.743889,87.2047,Ratnapura,11
2026-12-01,25.07134,6.6539755,85.66729,Ratnapura,12
2026-01-01,25.330088,4.5793686,80.92756,Trincomalee,1
2026-02-01,26.004992,2.914995,79.34782,Trincomalee,2
2026-03-01,26.786491,2.9774206,77.797905,Trincomalee,3
2026-04-01,27.248465,3.6724033,78.585655,Trincomalee,4
2026-05-01,27.174255,3.667558,78.817154,Trincomalee,5
2026-06-01,26.942299,2.6920805,77.43553,Trincomalee,6
2026-07-01,27.077229,2.4668162,75.01002,Trincomalee,7
2026-08-01,27.173576,2.3978896,74.36699,Trincomalee,8
2026-09-01,27.076801,2.8016438,76.68258,Trincomalee,9
2026-10-01,26.759018,4.5111823,79.46531,Trincomalee,10
2026-11-01,25.901129,6.97184,81.62714,Trincomalee,11
2026-12-01,25.966215,4.922538,81.01132,Trincomalee,12
2026-01-01,25.260431,6.1424084,83.963455,Vavuniya,1
2026-02-01,25.877941,3.9992836,79.71377,Vavuniya,2
2026-03-01,27.391483,3.7059612,75.49621,Vavuniya,3
2026-04-01,28.42027,4.934408,76.06181,Vavuniya,4
2026-05-01,28.356327,5.39609,77.88361,Vavuniya,5
2026-06-01,27.887083,3.3736079,75.42582,Vavuniya,6
2026-07-01,27.728153,1.9537042,71.643906,Vavuniya,7
2026-08-01,28.081512,1.8529048,69.433876,Vavuniya,8
2026-09-01,28.403217,2.9726696,71.5973,Vavuniya,9
2026-10-01,27.714874,7.975424,80.345055,Vavuniya,10
2026-11-01,26.208134,11.364556,85.65463,Vavuniya,11
2026-12-01,25.754921,9.36142,84.67754,Vavuniya,12
