date,district,latitude,longitude,temperature_avg_c,temperature_max_c,temperature_min_c,rainfall_mm,humidity_percent,solar_radiation_mj_m2_day,wind_speed_m_s
2000-03-13,Ampara,7.2917,81.672,28.09,31.04,25.72,0.25,76.06,24.59,3.21
2000-03-14,Ampara,7.2917,81.672,28.35,31.03,26.32,0.14,76.81,22.58,4.06
2000-03-15,Ampara,7.2917,81.672,28.23,31.36,26.15,0.42,74.16,15.89,2.71
2000-03-16,Ampara,7.2917,81.672,28.5,30.78,26.86,0.58,69.05,22.54,2.19
2000-03-17,Ampara,7.2917,81.672,28.52,30.87,27.18,0.0,71.04,23.04,2.48
2000-03-18,Ampara,7.2917,81.672,28.25,30.39,26.73,0.0,70.22,22.94,3.39
2000-03-19,Ampara,7.2917,81.672,27.7,30.0,26.26,0.0,72.97,27.15,2.94
2000-03-20,Ampara,7.2917,81.672,27.36,29.72,25.51,0.0,69.13,24.67,3.07
2000-03-21,Ampara,7.2917,81.672,27.36,29.72,25.36,0.0,67.81,25.46,3.05
2000-03-22,Ampara,7.2917,81.672,28.1,30.42,26.26,0.02,67.9,23.13,3.91
2000-03-23,Ampara,7.2917,81.672,27.34,28.6,26.15,1.13,80.27,16.65,3.77
2000-03-24,Ampara,7.2917,81.672,26.78,29.08,25.1,3.09,78.26,19.46,3.27
2000-03-25,Ampara,7.2917,81.672,27.6,29.95,25.79,0.82,77.37,20.89,3.21
2000-03-26,Ampara,7.2917,81.672,27.94,29.59,26.82,0.66,78.49,22.12,3.71
2000-03-27,Ampara,7.2917,81.672,27.36,28.48,26.36,1.39,82.4,17.22,4.46
2000-03-28,Ampara,7.2917,81.672,27.61,28.77,26.42,1.17,81.41,17.19,4.21
2000-03-29,Ampara,7.2917,81.672,28.34,29.87,27.27,2.19,78.57,21.7,4.92
2000-03-30,Ampara,7.2917,81.672,28.29,30.87,26.44,1.0,74.15,17.64,3.67
2000-03-31,Ampara,7.2917,81.672,28.15,31.4,25.53,0.01,66.65,22.84,3.15
2000-04-01,Ampara,7.2917,81.672,29.02,32.09,26.51,9.86,67.83,23.41,2.02
2000-04-02,Ampara,7.2917,81.672,28.88,31.82,26.48,12.04,70.88,22.52,3.07
2000-04-03,Ampara,7.2917,81.672,28.44,30.25,27.07,0.18,77.81,18.86,2.45
2000-04-04,Ampara,7.2917,81.672,27.26,28.62,26.42,0.48,78.14,21.12,1.55
2000-04-05,Ampara,7.2917,81.672,27.75,29.65,26.24,1.26,78.26,18.47,2.15
2000-04-06,Ampara,7.2917,81.672,28.36,30.71,26.77,8.42,78.37,21.11,2.61
2000-04-07,Ampara,7.2917,81.672,27.84,29.27,26.97,6.55,81.6,20.63,2.19
2000-04-08,Ampara,7.2917,81.672,27.86,29.36,26.84,1.49,79.76,23.7,2.31
2000-04-09,Ampara,7.2917,81.672,28.72,31.29,26.78,0.0,72.17,22.35,1.98
2000-04-10,Ampara,7.2917,81.672,29.33,32.42,26.98,0.0,73.42,23.76,2.9
2000-04-11,Ampara,7.2917,81.672,29.64,31.93,27.69,0.0,73.72,17.59,2.67
2000-04-12,Ampara,7.2917,81.672,29.69,32.35,27.68,0.0,71.75,22.82,3.07
2000-04-13,Ampara,7.2917,81.672,29.97,32.85,27.68,0.0,70.47,23.47,2.75
2000-04-14,Ampara,7.2917,81.672,29.97,32.91,27.67,0.0,70.75,23.84,3.49
2000-04-15,Ampara,7.2917,81.672,29.76,32.79,27.7,0.0,72.57,23.35,3.51
2000-04-16,Ampara,7.2917,81.672,29.44,32.97,27.34,0.1,69.05,22.71,2.92
2000-04-17,Ampara,7.2917,81.672,28.95,32.0,26.88,0.08,71.21,24.59,2.75
2000-04-18,Ampara,7.2917,81.672,29.4,32.36,27.1,1.05,71.58,21.66,3.45
2000-04-19,Ampara,7.2917,81.672,29.04,31.66,27.18,9.79,72.8,20.8,2.27
2000-04-20,Ampara,7.2917,81.672,29.31,32.3,26.75,2.24,71.7,22.93,2.78
2000-04-21,Ampara,7.2917,81.672,29.35,32.36,27.36,0.69,73.04,20.0,2.62
2000-04-22,Ampara,7.2917,81.672,29.31,31.77,27.49,0.04,73.45,23.84,2.58
2000-04-23,Ampara,7.2917,81.672,29.52,32.17,27.13,0.01,71.28,23.38,3.25
2000-04-24,Ampara,7.2917,81.672,30.2,34.12,26.64,4.42,63.05,17.81,2.59
2000-04-25,Ampara,7.2917,81.672,30.39,34.75,27.02,3.37,68.97,24.75,3.21
2000-04-26,Ampara,7.2917,81.672,30.74,34.07,27.97,0.02,67.82,24.68,3.22
2000-04-27,Ampara,7.2917,81.672,30.9,33.52,28.42,0.02,66.7,25.05,2.15
2000-04-28,Ampara,7.2917,81.672,30.79,33.75,28.36,0.01,68.47,25.37,3.41
2000-04-29,Ampara,7.2917,81.672,30.72,33.72,28.51,0.0,69.06,25.41,3.49
2000-04-30,Ampara,7.2917,81.672,30.76,33.63,28.4,0.01,67.72,24.63,2.27
2000-05-01,Ampara,7.2917,81.672,30.49,33.23,28.56,0.0,69.1,22.86,3.17
2000-05-02,Ampara,7.2917,81.672,29.88,31.51,28.49,0.0,73.72,21.75,2.47
2000-05-03,Ampara,7.2917,81.672,30.26,32.62,28.12,0.0,63.4,16.62,2.79
2000-05-04,Ampara,7.2917,81.672,30.16,32.83,28.38,0.0,65.88,21.25,3.34
2000-05-05,Ampara,7.2917,81.672,30.28,33.1,27.95,0.0,71.23,20.74,3.52
2000-05-06,Ampara,7.2917,81.672,29.68,32.32,27.7,0.05,72.27,20.3,2.49
2000-05-07,Ampara,7.2917,81.672,29.07,31.27,27.33,0.01,73.28,22.34,1.69
2000-05-08,Ampara,7.2917,81.672,30.21,33.34,27.81,0.0,65.86,23.49,3.08
2000-05-09,Ampara,7.2917,81.672,30.06,32.82,28.51,0.0,73.17,22.04,3.19
2000-05-10,Ampara,7.2917,81.672,29.95,32.31,28.33,0.0,74.53,21.82,3.8
2000-05-11,Ampara,7.2917,81.672,29.17,32.34,27.14,4.99,76.49,22.75,2.69
2000-05-12,Ampara,7.2917,81.672,29.7,32.66,27.62,1.52,69.9,22.83,1.95
2000-05-13,Ampara,7.2917,81.672,30.63,33.82,27.76,0.01,70.16,24.44,3.25
2000-05-14,Ampara,7.2917,81.672,31.98,36.14,28.38,0.0,62.7,24.81,3.75
2000-05-15,Ampara,7.2917,81.672,32.14,36.52,28.99,0.0,62.37,23.77,3.02
2000-05-16,Ampara,7.2917,81.672,31.68,35.26,28.5,0.04,62.49,25.23,2.88
2000-05-17,Ampara,7.2917,81.672,31.61,35.6,28.61,0.03,62.42,23.87,2.67
2000-05-18,Ampara,7.2917,81.672,32.02,35.55,28.7,0.05,62.2,24.79,3.91
2000-05-19,Ampara,7.2917,81.672,31.39,34.68,28.65,0.04,62.74,22.75,4.27
2000-05-20,Ampara,7.2917,81.672,31.1,34.16,28.26,0.0,64.86,23.23,3.62
2000-05-21,Ampara,7.2917,81.672,31.54,35.29,28.38,0.0,63.15,24.05,2.91
2000-05-22,Ampara,7.2917,81.672,31.24,34.08,29.16,0.0,63.71,23.5,3.63
2000-05-23,Ampara,7.2917,81.672,31.72,34.86,28.92,0.01,61.6,21.0,3.44
2000-05-24,Ampara,7.2917,81.672,31.08,34.26,28.81,7.17,67.35,22.83,3.56
2000-05-25,Ampara,7.2917,81.672,30.46,33.35,27.78,1.88,68.3,21.29,2.76
2000-05-26,Ampara,7.2917,81.672,30.02,32.68,27.7,0.04,70.97,19.7,3.18
2000-05-27,Ampara,7.2917,81.672,29.61,32.13,27.61,0.02,70.09,23.12,3.02
2000-05-28,Ampara,7.2917,81.672,28.81,29.9,27.68,0.02,70.48,23.34,2.24
2000-05-29,Ampara,7.2917,81.672,30.33,33.83,27.47,0.01,64.56,21.4,4.64
2000-05-30,Ampara,7.2917,81.672,28.76,30.94,27.46,10.64,72.57,20.52,3.48
2000-05-31,Ampara,7.2917,81.672,28.9,30.42,27.4,8.27,72.24,14.12,4.73
2000-06-01,Ampara,7.2917,81.672,29.12,31.16,27.4,0.07,67.86,15.5,4.78
2000-06-02,Ampara,7.2917,81.672,30.15,33.22,27.59,0.05,65.42,17.23,5.25
2000-06-03,Ampara,7.2917,81.672,29.98,33.03,27.66,0.0,66.16,21.61,6.37
2000-06-04,Ampara,7.2917,81.672,29.99,32.97,27.58,0.09,65.39,19.56,7.17
2000-06-05,Ampara,7.2917,81.672,30.4,33.38,27.99,0.28,64.34,19.8,7.71
2000-06-06,Ampara,7.2917,81.672,30.01,32.71,27.73,4.94,65.2,16.2,6.46
2000-06-07,Ampara,7.2917,81.672,29.49,31.91,27.29,0.01,69.48,16.27,4.04
2000-06-08,Ampara,7.2917,81.672,28.06,28.88,27.22,0.01,70.1,21.13,2.38
2000-06-09,Ampara,7.2917,81.672,29.16,31.63,26.5,0.04,65.82,22.0,3.42
2000-06-10,Ampara,7.2917,81.672,29.17,31.72,27.05,3.68,72.03,21.14,3.77
2000-06-11,Ampara,7.2917,81.672,27.98,30.99,26.53,8.32,76.81,22.06,4.2
2000-06-12,Ampara,7.2917,81.672,28.36,31.27,26.32,4.12,72.26,12.25,5.34
2000-06-13,Ampara,7.2917,81.672,28.19,30.53,26.44,0.05,70.18,20.32,5.7
2000-06-14,Ampara,7.2917,81.672,28.89,32.49,26.35,0.18,68.04,22.76,5.6
2000-06-15,Ampara,7.2917,81.672,29.63,33.25,26.59,0.01,66.67,23.84,4.51
2000-06-16,Ampara,7.2917,81.672,29.8,33.12,26.71,0.0,66.65,22.41,3.67
2000-06-17,Ampara,7.2917,81.672,29.67,33.07,27.23,0.0,66.88,22.8,5.78
2000-06-18,Ampara,7.2917,81.672,29.33,32.43,26.94,0.0,65.76,21.89,6.03
2000-06-19,Ampara,7.2917,81.672,29.71,33.27,26.83,0.09,65.26,23.55,5.38
2000-06-20,Ampara,7.2917,81.672,29.97,33.66,26.75,1.44,66.35,20.42,4.31
2000-06-21,Ampara,7.2917,81.672,29.81,33.19,27.09,6.81,68.36,21.82,2.8
2000-06-22,Ampara,7.2917,81.672,29.6,32.56,27.23,2.87,71.3,21.47,3.52
2000-06-23,Ampara,7.2917,81.672,29.44,32.12,27.08,1.0,72.31,23.02,3.59
2000-06-24,Ampara,7.2917,81.672,29.14,31.29,26.99,0.38,73.96,21.78,2.9
2000-06-25,Ampara,7.2917,81.672,28.82,30.79,27.27,0.27,69.25,20.71,2.09
2000-06-26,Ampara,7.2917,81.672,29.88,32.99,26.97,0.11,63.45,20.85,3.48
2000-06-27,Ampara,7.2917,81.672,28.66,30.88,27.05,1.33,70.14,18.96,5.3
2000-06-28,Ampara,7.2917,81.672,28.76,31.5,26.59,0.25,67.64,16.06,5.98
2000-06-29,Ampara,7.2917,81.672,29.64,33.15,26.83,0.25,66.09,18.41,5.61
2000-06-30,Ampara,7.2917,81.672,28.99,31.72,27.01,0.69,68.21,17.31,5.51
2000-07-01,Ampara,7.2917,81.672,28.79,32.0,26.26,0.18,68.29,19.5,6.56
2000-07-02,Ampara,7.2917,81.672,29.11,32.91,26.69,0.0,67.78,21.81,7.52
2000-07-03,Ampara,7.2917,81.672,29.56,33.2,26.93,0.0,64.21,21.96,7.62
2000-07-04,Ampara,7.2917,81.672,29.33,32.58,26.93,0.01,63.09,21.79,7.71
2000-07-05,Ampara,7.2917,81.672,29.53,32.55,27.06,0.3,67.5,21.22,6.98
2000-07-06,Ampara,7.2917,81.672,29.07,32.37,26.95,10.56,69.44,22.38,6.98
2000-07-07,Ampara,7.2917,81.672,29.27,32.32,26.71,0.61,67.7,19.64,7.16
2000-07-08,Ampara,7.2917,81.672,29.29,32.25,27.2,0.09,67.01,19.56,8.27
2000-07-09,Ampara,7.2917,81.672,29.14,32.69,26.55,0.01,63.09,18.71,6.28
2000-07-10,Ampara,7.2917,81.672,29.54,32.92,26.71,0.0,65.08,23.49,5.62
2000-07-11,Ampara,7.2917,81.672,29.4,32.69,26.86,0.0,64.47,22.58,4.53
2000-07-12,Ampara,7.2917,81.672,29.66,33.01,26.54,0.0,65.03,22.47,4.65
2000-07-13,Ampara,7.2917,81.672,29.86,33.53,26.69,0.0,62.08,22.2,4.64
2000-07-14,Ampara,7.2917,81.672,30.31,33.9,26.6,0.0,57.98,20.85,3.15
2000-07-15,Ampara,7.2917,81.672,30.44,33.83,27.4,0.0,63.32,24.18,3.58
2000-07-16,Ampara,7.2917,81.672,29.95,32.85,27.28,0.0,62.27,22.57,3.6
2000-07-17,Ampara,7.2917,81.672,29.92,33.44,27.07,0.0,64.73,23.21,4.49
2000-07-18,Ampara,7.2917,81.672,30.25,33.88,26.97,0.0,64.36,24.29,5.71
2000-07-19,Ampara,7.2917,81.672,30.33,34.41,26.91,0.0,60.65,23.73,3.01
2000-07-20,Ampara,7.2917,81.672,29.49,32.58,26.74,1.54,66.08,23.15,3.41
2000-07-21,Ampara,7.2917,81.672,29.52,32.48,27.17,0.03,67.57,23.23,3.92
2000-07-22,Ampara,7.2917,81.672,29.57,32.09,27.32,3.68,68.24,22.25,3.03
2000-07-23,Ampara,7.2917,81.672,28.93,31.44,26.93,4.17,70.7,23.76,4.14
2000-07-24,Ampara,7.2917,81.672,29.01,31.85,26.95,7.56,72.73,24.28,2.73
2000-07-25,Ampara,7.2917,81.672,29.56,33.18,26.37,0.92,68.54,22.34,3.28
2000-07-26,Ampara,7.2917,81.672,29.75,34.01,26.83,0.13,63.52,23.97,3.0
2000-07-27,Ampara,7.2917,81.672,29.55,33.28,26.6,5.91,65.35,23.68,2.98
2000-07-28,Ampara,7.2917,81.672,29.52,32.62,26.59,0.65,67.4,23.6,4.15
2000-07-29,Ampara,7.2917,81.672,29.1,32.31,26.61,59.25,72.03,22.63,3.74
2000-07-30,Ampara,7.2917,81.672,28.92,31.5,26.49,6.49,72.34,19.81,3.03
2000-07-31,Ampara,7.2917,81.672,26.45,27.12,25.73,1.03,81.37,18.37,1.13
2000-08-01,Ampara,7.2917,81.672,27.31,29.35,25.93,1.0,76.34,16.76,1.69
2000-08-02,Ampara,7.2917,81.672,28.63,31.36,26.17,0.17,71.93,15.72,2.38
2000-08-03,Ampara,7.2917,81.672,27.77,29.28,26.67,0.03,77.71,19.15,2.66
2000-08-04,Ampara,7.2917,81.672,28.46,30.99,26.22,0.69,75.37,19.81,2.63
2000-08-05,Ampara,7.2917,81.672,28.61,31.86,26.33,0.27,76.13,20.47,5.71
2000-08-06,Ampara,7.2917,81.672,28.57,31.07,26.81,0.31,74.03,20.42,7.37
2000-08-07,Ampara,7.2917,81.672,29.2,32.28,27.03,0.02,67.87,17.15,6.39
2000-08-08,Ampara,7.2917,81.672,28.61,31.91,26.17,4.6,68.83,21.37,6.81
2000-08-09,Ampara,7.2917,81.672,27.8,30.47,25.94,2.81,72.03,17.11,7.16
2000-08-10,Ampara,7.2917,81.672,28.21,31.36,25.8,0.22,68.47,21.7,6.5
2000-08-11,Ampara,7.2917,81.672,28.6,32.03,25.82,0.2,67.34,23.09,5.42
2000-08-12,Ampara,7.2917,81.672,28.36,31.57,26.3,0.0,74.32,22.56,4.28
2000-08-13,Ampara,7.2917,81.672,28.23,30.56,26.39,0.03,74.29,20.02,2.14
2000-08-14,Ampara,7.2917,81.672,26.99,28.77,25.87,7.7,78.32,12.0,2.67
2000-08-15,Ampara,7.2917,81.672,28.03,30.86,25.6,1.15,76.02,20.98,2.94
2000-08-16,Ampara,7.2917,81.672,29.08,33.16,25.91,0.15,67.73,23.47,2.78
2000-08-17,Ampara,7.2917,81.672,29.23,32.82,26.17,0.04,68.66,23.28,4.01
2000-08-18,Ampara,7.2917,81.672,28.97,32.14,26.6,0.53,70.08,20.19,4.84
2000-08-19,Ampara,7.2917,81.672,28.78,31.32,26.78,0.06,69.03,20.12,5.02
2000-08-20,Ampara,7.2917,81.672,29.09,32.69,26.56,0.0,66.76,20.89,6.57
2000-08-21,Ampara,7.2917,81.672,29.1,32.05,26.86,0.16,67.78,17.6,6.25
2000-08-22,Ampara,7.2917,81.672,28.73,32.12,26.47,11.23,71.19,22.53,6.67
2000-08-23,Ampara,7.2917,81.672,29.31,33.0,26.7,6.83,67.31,19.6,7.46
2000-08-24,Ampara,7.2917,81.672,28.91,31.67,26.94,3.35,68.89,20.3,7.72
2000-08-25,Ampara,7.2917,81.672,28.61,31.39,26.79,9.97,71.41,14.1,6.06
2000-08-26,Ampara,7.2917,81.672,28.49,31.6,26.35,0.5,73.91,13.68,4.21
2000-08-27,Ampara,7.2917,81.672,28.72,31.54,26.46,0.28,71.75,17.48,4.15
2000-08-28,Ampara,7.2917,81.672,28.32,30.94,26.22,0.36,73.67,18.14,4.1
2000-08-29,Ampara,7.2917,81.672,28.4,30.93,26.3,0.23,72.93,23.73,3.05
2000-08-30,Ampara,7.2917,81.672,29.18,32.68,26.01,0.0,67.92,24.87,3.54
2000-08-31,Ampara,7.2917,81.672,29.47,33.61,26.33,0.0,66.89,22.85,2.77
2000-09-01,Ampara,7.2917,81.672,29.59,33.79,26.39,0.0,67.58,17.63,2.22
2000-09-02,Ampara,7.2917,81.672,29.59,33.05,26.91,0.0,68.42,23.6,2.76
2000-09-03,Ampara,7.2917,81.672,29.74,33.85,26.59,0.0,65.53,23.34,2.7
2000-09-04,Ampara,7.2917,81.672,29.8,34.16,26.67,0.0,66.46,23.67,2.53
2000-09-05,Ampara,7.2917,81.672,29.7,33.48,26.91,0.14,68.36,19.63,2.77
2000-09-06,Ampara,7.2917,81.672,29.48,33.18,26.99,0.06,69.68,22.13,2.62
2000-09-07,Ampara,7.2917,81.672,29.14,32.26,26.87,0.0,73.34,22.72,5.14
2000-09-08,Ampara,7.2917,81.672,28.65,31.4,26.51,0.32,75.31,22.31,5.2
2000-09-09,Ampara,7.2917,81.672,28.5,30.67,26.51,0.27,75.74,22.72,3.37
2000-09-10,Ampara,7.2917,81.672,29.21,33.24,26.46,0.15,70.12,24.5,2.86
2000-09-11,Ampara,7.2917,81.672,29.13,32.33,26.79,0.14,69.28,24.61,3.08
2000-09-12,Ampara,7.2917,81.672,28.89,31.9,26.46,22.38,69.9,21.93,2.03
2000-09-13,Ampara,7.2917,81.672,28.29,31.24,25.73,5.95,76.1,21.54,2.49
2000-09-14,Ampara,7.2917,81.672,28.76,31.66,26.1,0.4,73.83,19.4,3.19
2000-09-15,Ampara,7.2917,81.672,28.72,32.53,26.1,5.02,72.83,23.87,2.82
2000-09-16,Ampara,7.2917,81.672,28.89,32.66,26.05,1.49,71.71,21.89,2.99
2000-09-17,Ampara,7.2917,81.672,29.17,32.25,27.0,0.5,70.97,22.33,2.78
2000-09-18,Ampara,7.2917,81.672,27.92,29.96,26.53,6.66,77.08,15.48,2.32
2000-09-19,Ampara,7.2917,81.672,27.8,30.64,26.21,3.78,77.7,18.52,1.72
2000-09-20,Ampara,7.2917,81.672,28.25,30.67,26.63,0.26,76.04,19.07,2.47
2000-09-21,Ampara,7.2917,81.672,27.68,29.78,26.16,5.0,77.9,14.31,2.78
2000-09-22,Ampara,7.2917,81.672,27.87,30.38,26.24,0.86,76.21,18.53,2.92
2000-09-23,Ampara,7.2917,81.672,26.86,27.73,26.19,0.22,86.04,21.86,2.35
2000-09-24,Ampara,7.2917,81.672,27.24,29.64,26.13,17.55,81.67,12.2,2.84
2000-09-25,Ampara,7.2917,81.672,27.72,29.86,26.01,2.98,80.12,16.98,3.86
2000-09-26,Ampara,7.2917,81.672,28.18,30.55,26.58,0.17,79.21,18.31,5.39
2000-09-27,Ampara,7.2917,81.672,28.44,31.18,26.33,0.14,76.06,20.35,3.32
2000-09-28,Ampara,7.2917,81.672,28.32,31.14,26.47,0.05,73.07,24.1,2.04
2000-09-29,Ampara,7.2917,81.672,28.56,31.81,26.37,0.1,72.84,22.99,1.95
2000-09-30,Ampara,7.2917,81.672,28.11,30.51,26.35,0.32,73.39,9.99,3.41
2000-10-01,Ampara,7.2917,81.672,27.63,30.32,25.78,0.24,74.05,14.36,2.6
2000-10-02,Ampara,7.2917,81.672,27.42,29.8,26.14,0.19,75.96,15.91,2.19
2000-10-03,Ampara,7.2917,81.672,27.92,30.66,25.86,0.24,72.83,21.98,2.07
2000-10-04,Ampara,7.2917,81.672,27.14,28.86,26.2,7.03,78.89,23.01,0.98
2000-10-05,Ampara,7.2917,81.672,27.64,30.01,25.68,8.15,75.73,14.22,2.94
2000-10-06,Ampara,7.2917,81.672,26.95,28.86,25.47,1.24,79.53,11.85,3.56
2000-10-07,Ampara,7.2917,81.672,27.74,30.38,25.54,1.35,73.96,19.25,1.7
2000-10-08,Ampara,7.2917,81.672,28.48,31.72,26.45,2.26,72.79,19.09,1.8
