District,Season,Crop,Year,Cultivated Area,Production
Ampara,Maha,Tea,2018,109.26,3191.48
Ampara,Maha,Tea,2018,93.56,2513.34
Ampara,Maha,Tomato,2018,59.02,772.16
Ampara,Maha,Watermelon,2018,108.08,2167.99
Ampara,Maha,Watermelon,2018,175.76,3048.27
Ampara,Maha,Watermelon,2018,121.87,2399.99
Ampara,Maha,Watermelon,2018,83.38,1872.29
Ampara,Maha,Yam,2018,88.81,1292.93
Ampara,Yala,Banana,2018,198.07,5527.73
Ampara,Yala,Beans,2018,47.56,474.0
Ampara,Yala,Beans,2018,70.71,632.78
Ampara,Yala,Big Onion,2018,50.0,461.01
Ampara,Yala,Big Onion,2018,56.71,671.79
Ampara,Yala,Cassava,2018,160.89,3782.07
Ampara,Yala,Chilli,2018,74.34,574.98
Ampara,Yala,Coconut,2018,172.58,5174.58
Ampara,Yala,Cucumber,2018,75.14,1014.74
Ampara,Yala,Ginger,2018,78.68,1227.91
Ampara,Yala,Groundnut,2018,49.81,470.46
Ampara,Yala,Leeks,2018,73.17,879.01
Ampara,Yala,Leeks,2018,49.43,540.35
Ampara,Yala,Long Bean,2018,82.26,1091.21
Ampara,Yala,Maize,2018,96.48,1767.17
Ampara,Yala,Okra,2018,45.91,369.2
Ampara,Yala,Okra,2018,71.54,646.66
Ampara,Yala,Papaya,2018,126.84,3464.31
Ampara,Yala,Red Onion,2018,51.99,514.58
Ampara,Yala,Snake Gourd,2018,76.32,771.69
Ampara,Yala,Taro,2018,45.05,627.6
Ampara,Yala,Tea,2018,116.68,2529.3
Ampara,Yala,Tomato,2018,55.3,762.49
Ampara,Yala,Turmeric,2018,52.69,631.13
Ampara,Yala,Watermelon,2018,100.4,2049.9
Ampara,Yala,Watermelon,2018,89.66,1687.6
Anuradhapura,Maha,Banana,2018,222.24,7040.25
Anuradhapura,Maha,Banana,2018,209.33,4988.61
Anuradhapura,Maha,Banana,2018,312.34,9349.28
Anuradhapura,Maha,Banana,2018,263.39,8329.2
Anuradhapura,Maha,Banana,2018,212.38,5860.56
Anuradhapura,Maha,Banana,2018,201.49,7216.44
Anuradhapura,Maha,Banana,2018,222.66,7165.54
Anuradhapura,Maha,Banana,2018,179.83,5049.95
Anuradhapura,Maha,Banana,2018,174.96,7208.73
Anuradhapura,Maha,Beans,2018,50.28,527.65
Anuradhapura,Maha,Beans,2018,51.68,513.89
Anuradhapura,Maha,Beans,2018,78.44,857.95
Anuradhapura,Maha,Big Onion,2018,98.56,943.38
Anuradhapura,Maha,Bitter Gourd,2018,54.28,525.54
Anuradhapura,Maha,Carrot,2018,120.72,1910.63
Anuradhapura,Maha,Carrot,2018,52.41,730.83
Anuradhapura,Maha,Chilli,2018,79.47,573.32
Anuradhapura,Maha,Coconut,2018,197.99,5798.39
Anuradhapura,Maha,Cucumber,2018,74.51,1003.78
Anuradhapura,Maha,Leeks,2018,83.28,1083.75
Anuradhapura,Maha,Leeks,2018,55.87,623.02
Anuradhapura,Maha,Leeks,2018,65.59,784.4
Anuradhapura,Maha,Leeks,2018,67.24,722.94
Anuradhapura,Maha,Okra,2018,53.22,513.72
Anuradhapura,Maha,Pepper,2018,41.09,194.73
Anuradhapura,Maha,Pineapple,2018,139.47,3222.04
Anuradhapura,Maha,Potato,2018,61.3,1197.41
Anuradhapura,Maha,Rice,2018,160.01,3733.33
Anuradhapura,Maha,Sesame,2018,35.03,183.44
Anuradhapura,Maha,Snake Gourd,2018,67.6,693.28
Anuradhapura,Maha,Soybean,2018,48.79,479.83
Anuradhapura,Maha,Tomato,2018,82.08,1091.47
Anuradhapura,Maha,Watermelon,2018,143.31,2791.3
Anuradhapura,Yala,Banana,2018,220.96,6767.59
Anuradhapura,Yala,Banana,2018,257.98,9087.61
Anuradhapura,Yala,Big Onion,2018,56.66,604.13
Anuradhapura,Yala,Carrot,2018,78.89,1208.72
Anuradhapura,Yala,Cassava,2018,118.28,2946.85
Anuradhapura,Yala,Coconut,2018,154.79,5597.96
Anuradhapura,Yala,Cowpea,2018,36.93,267.77
Anuradhapura,Yala,Ginger,2018,64.85,683.41
Anuradhapura,Yala,Ginger,2018,100.57,1298.23
Anuradhapura,Yala,Groundnut,2018,68.74,664.74
Anuradhapura,Yala,Leeks,2018,66.11,672.67
Anuradhapura,Yala,Leeks,2018,66.49,848.38
Anuradhapura,Yala,Leeks,2018,77.29,853.21
Anuradhapura,Yala,Long Bean,2018,51.63,500.21
Anuradhapura,Yala,Mango,2018,128.63,2659.8
Anuradhapura,Yala,Pineapple,2018,79.45,2226.09
Anuradhapura,Yala,Ridge Gourd,2018,43.57,469.81
Anuradhapura,Yala,Ridge Gourd,2018,46.39,362.09
Anuradhapura,Yala,Snake Gourd,2018,36.36,389.44
Anuradhapura,Yala,Sweet Potato,2018,98.39,1138.1
Anuradhapura,Yala,Sweet Potato,2018,104.53,1301.59
Anuradhapura,Yala,Watermelon,2018,317.86,7227.11
Anuradhapura,Yala,Watermelon,2018,156.75,3108.16
Anuradhapura,Yala,Watermelon,2018,180.67,3477.87
Anuradhapura,Yala,Watermelon,2018,217.28,4258.07
Anuradhapura,Yala,Watermelon,2018,151.94,2876.87
Badulla,Maha,Banana,2018,124.01,3848.94
Badulla,Maha,Banana,2018,179.02,6849.34
Badulla,Maha,Banana,2018,171.41,6354.23
Badulla,Maha,Beans,2018,83.08,778.0
Badulla,Maha,Beans,2018,69.71,661.1
Badulla,Maha,Beans,2018,67.57,843.03
Badulla,Maha,Carrot,2018,115.37,1803.69
Badulla,Maha,Carrot,2018,86.97,1469.18
Badulla,Maha,Chilli,2018,41.51,343.97
Badulla,Maha,Coconut,2018,187.6,6162.23
Badulla,Maha,Cucumber,2018,75.5,1306.0
Badulla,Maha,Ginger,2018,64.15,883.52
Badulla,Maha,Green Gram,2018,32.11,237.79
Badulla,Maha,Green Gram,2018,99.07,855.44
Badulla,Maha,Green Gram,2018,42.57,302.12
Badulla,Maha,Leeks,2018,77.81,848.96
Badulla,Maha,Leeks,2018,80.26,846.35
Badulla,Maha,Papaya,2018,138.92,3412.4
Badulla,Maha,Papaya,2018,191.21,6162.32
Badulla,Maha,Pumpkin,2018,77.79,1129.62
Badulla,Maha,Red Onion,2018,56.42,553.19
Badulla,Maha,Sesame,2018,40.76,279.74
Badulla,Maha,Sweet Potato,2018,80.03,1425.79
Badulla,Maha,Sweet Potato,2018,113.15,1303.07
Badulla,Maha,Tea,2018,224.56,5613.98
Badulla,Maha,Tomato,2018,103.14,1361.31
Badulla,Maha,Turmeric,2018,54.75,605.34
Badulla,Maha,Watermelon,2018,148.52,3367.35
Badulla,Maha,Watermelon,2018,128.93,2229.34
Badulla,Maha,Watermelon,2018,159.28,3305.06
Badulla,Maha,Yam,2018,89.67,1039.12
Badulla,Yala,Ash Plantain,2018,134.72,4049.09
Badulla,Yala,Banana,2018,118.09,4469.98
Badulla,Yala,Banana,2018,137.06,3959.04
Badulla,Yala,Banana,2018,116.71,3758.18
Badulla,Yala,Beans,2018,53.91,557.85
Badulla,Yala,Beans,2018,74.07,725.62
Badulla,Yala,Carrot,2018,82.01,1262.65
Badulla,Yala,Carrot,2018,109.39,1836.75
Badulla,Yala,Carrot,2018,72.73,1091.91
Badulla,Yala,Chilli,2018,44.51,346.43
Badulla,Yala,Chilli,2018,35.6,270.48
Badulla,Yala,Cinnamon,2018,21.21,94.97
Badulla,Yala,Coconut,2018,140.57,4582.26
Badulla,Yala,Cucumber,2018,94.47,1537.41
Badulla,Yala,Maize,2018,81.85,1233.79
Badulla,Yala,Papaya,2018,119.5,3108.63
Badulla,Yala,Pepper,2018,34.75,191.54
Badulla,Yala,Potato,2018,117.89,2362.38
Badulla,Yala,Potato,2018,90.55,1687.61
Badulla,Yala,Red Onion,2018,71.25,790.75
Badulla,Yala,Sesame,2018,44.69,203.32
Badulla,Yala,Snake Gourd,2018,72.32,591.66
Badulla,Yala,Snake Gourd,2018,98.24,1085.09
Badulla,Yala,Tea,2018,199.0,5096.02
Badulla,Yala,Tomato,2018,100.06,1376.37
Badulla,Yala,Watermelon,2018,114.71,2489.98
Batticaloa,Maha,Ash Plantain,2018,132.72,4519.42
Batticaloa,Maha,Banana,2018,116.64,3383.36
Batticaloa,Maha,Banana,2018,145.12,5770.69
Batticaloa,Maha,Banana,2018,144.07,4078.32
Batticaloa,Maha,Beans,2018,77.91,661.83
Batticaloa,Maha,Big Onion,2018,55.9,572.45
Batticaloa,Maha,Carrot,2018,65.96,977.64
Batticaloa,Maha,Carrot,2018,73.03,1071.4
Batticaloa,Maha,Carrot,2018,98.26,1811.22
Batticaloa,Maha,Cauliflower,2018,98.0,1521.78
Batticaloa,Maha,Cauliflower,2018,67.05,806.2
Batticaloa,Maha,Chilli,2018,43.21,249.29
Batticaloa,Maha,Chilli,2018,70.11,436.02
Batticaloa,Maha,Cowpea,2018,66.97,449.31
Batticaloa,Maha,Groundnut,2018,47.81,389.99
Batticaloa,Maha,Leeks,2018,67.46,827.35
Batticaloa,Maha,Papaya,2018,109.49,3681.09
Batticaloa,Maha,Pepper,2018,30.64,151.69
Batticaloa,Maha,Pineapple,2018,114.84,2685.83
Batticaloa,Maha,Pumpkin,2018,102.56,1933.79
Batticaloa,Maha,Pumpkin,2018,78.35,1023.55
Batticaloa,Maha,Pumpkin,2018,73.9,1144.34
Batticaloa,Maha,Sesame,2018,31.28,188.61
Batticaloa,Maha,Sweet Potato,2018,81.49,1053.48
Batticaloa,Maha,Turmeric,2018,43.24,455.92
Batticaloa,Maha,Watermelon,2018,118.4,2119.51
Batticaloa,Maha,Watermelon,2018,144.17,2771.52
Batticaloa,Maha,Yam,2018,72.07,974.65
Batticaloa,Maha,Yam,2018,80.81,1166.74
Batticaloa,Yala,Ash Plantain,2018,205.22,6166.81
Batticaloa,Yala,Banana,2018,143.24,4488.05
Batticaloa,Yala,Banana,2018,159.6,5485.09
Batticaloa,Yala,Black Gram,2018,26.01,182.93
Batticaloa,Yala,Brinjal,2018,118.06,1106.73
Batticaloa,Yala,Carrot,2018,60.98,1076.64
Batticaloa,Yala,Carrot,2018,67.49,1094.82
Batticaloa,Yala,Chilli,2018,42.89,353.89
Batticaloa,Yala,Chilli,2018,66.31,521.91
Batticaloa,Yala,Chilli,2018,48.11,366.0
Batticaloa,Yala,Cinnamon,2018,17.38,96.26
Batticaloa,Yala,Cinnamon,2018,22.02,84.48
Batticaloa,Yala,Cinnamon,2018,27.17,134.06
Batticaloa,Yala,Coconut,2018,164.09,4593.23
Batticaloa,Yala,Green Gram,2018,47.23,361.8
Batticaloa,Yala,Leeks,2018,46.23,543.49
Batticaloa,Yala,Leeks,2018,87.32,980.81
Batticaloa,Yala,Leeks,2018,78.02,817.79
Batticaloa,Yala,Leeks,2018,60.1,626.27
Batticaloa,Yala,Leeks,2018,62.66,619.15
Batticaloa,Yala,Long Bean,2018,64.54,557.56
Batticaloa,Yala,Okra,2018,58.4,542.32
Batticaloa,Yala,Okra,2018,47.24,463.22
Batticaloa,Yala,Papaya,2018,85.66,2294.37
Batticaloa,Yala,Pineapple,2018,92.24,1818.38
Batticaloa,Yala,Red Onion,2018,39.86,452.05
Batticaloa,Yala,Red Onion,2018,44.36,483.38
Batticaloa,Yala,Ridge Gourd,2018,88.32,880.12
Batticaloa,Yala,Sesame,2018,30.94,182.62
Batticaloa,Yala,Soybean,2018,77.24,852.43
Batticaloa,Yala,Turmeric,2018,62.39,668.97
Colombo,Maha,Ash Plantain,2018,128.43,4453.62
Colombo,Maha,Banana,2018,212.12,7485.4
Colombo,Maha,Banana,2018,175.03,6451.92
Colombo,Maha,Banana,2018,244.05,7204.68
Colombo,Maha,Beans,2018,113.8,792.18
Colombo,Maha,Big Onion,2018,73.32,851.58
Colombo,Maha,Bitter Gourd,2018,41.11,389.0
Colombo,Maha,Cabbage,2018,71.59,950.92
Colombo,Maha,Carrot,2018,78.76,1203.42
Colombo,Maha,Carrot,2018,98.89,1563.52
Colombo,Maha,Chilli,2018,77.0,535.76
Colombo,Maha,Cinnamon,2018,44.8,163.67
Colombo,Maha,Coconut,2018,107.42,3228.11
Colombo,Maha,Cowpea,2018,43.74,292.21
Colombo,Maha,Cowpea,2018,53.76,386.09
Colombo,Maha,Ginger,2018,80.92,1116.18
Colombo,Maha,Leeks,2018,102.42,1313.28
Colombo,Maha,Leeks,2018,69.01,747.57
Colombo,Maha,Leeks,2018,81.82,981.58
Colombo,Maha,Mango,2018,125.72,3028.96
Colombo,Maha,Red Onion,2018,71.96,740.58
Colombo,Maha,Red Onion,2018,106.56,995.58
Colombo,Maha,Rice,2018,98.16,2166.14
Colombo,Maha,Sesame,2018,56.35,298.17
Colombo,Maha,Tea,2018,121.15,2770.58
Colombo,Maha,Tea,2018,182.92,4132.63
Colombo,Maha,Turmeric,2018,61.92,597.11
Colombo,Maha,Watermelon,2018,181.29,3784.3
Colombo,Maha,Watermelon,2018,173.03,3202.97
Colombo,Maha,Watermelon,2018,109.26,1939.17
Colombo,Maha,Yam,2018,108.12,1173.35
Colombo,Maha,Yam,2018,121.1,1282.06
Colombo,Yala,Ash Plantain,2018,222.04,6684.41
Colombo,Yala,Banana,2018,209.48,5925.02
Colombo,Yala,Banana,2018,138.25,4232.22
Colombo,Yala,Banana,2018,260.11,8333.36
Colombo,Yala,Banana,2018,178.5,7267.73
Colombo,Yala,Beans,2018,47.26,432.75
Colombo,Yala,Beans,2018,88.57,856.17
Colombo,Yala,Big Onion,2018,60.9,674.77
Colombo,Yala,Black Gram,2018,55.92,452.8
Colombo,Yala,Brinjal,2018,59.44,806.17
Colombo,Yala,Brinjal,2018,76.31,909.71
Colombo,Yala,Carrot,2018,60.23,1053.58
Colombo,Yala,Carrot,2018,78.03,1312.62
Colombo,Yala,Chilli,2018,75.63,623.94
Colombo,Yala,Chilli,2018,50.71,369.56
Colombo,Yala,Chilli,2018,54.47,411.65
Colombo,Yala,Chilli,2018,54.79,395.77
Colombo,Yala,Coconut,2018,176.32,5065.84
Colombo,Yala,Coconut,2018,188.04,6133.33
Colombo,Yala,Cucumber,2018,94.11,1618.41
Colombo,Yala,Green Gram,2018,49.24,360.4
Colombo,Yala,Groundnut,2018,55.42,537.48
Colombo,Yala,Groundnut,2018,58.55,653.67
Colombo,Yala,Leeks,2018,72.11,722.04
Colombo,Yala,Leeks,2018,82.22,787.38
Colombo,Yala,Leeks,2018,66.1,753.43
Colombo,Yala,Long Bean,2018,88.44,774.26
Colombo,Yala,Papaya,2018,217.36,6644.6
Colombo,Yala,Pumpkin,2018,149.76,2584.46
Colombo,Yala,Soybean,2018,95.25,917.45
Colombo,Yala,Sweet Potato,2018,99.18,1099.51
Colombo,Yala,Turmeric,2018,88.61,995.63
Colombo,Yala,Turmeric,2018,61.65,602.54
Colombo,Yala,Watermelon,2018,76.25,2148.82
Galle,Maha,Ash Plantain,2018,153.42,3513.08
Galle,Maha,Banana,2018,120.73,3895.41
Galle,Maha,Cabbage,2018,70.49,975.58
Galle,Maha,Carrot,2018,52.27,816.42
Galle,Maha,Carrot,2018,64.1,871.09
Galle,Maha,Carrot,2018,65.62,1019.55
Galle,Maha,Cassava,2018,108.75,2872.79
Galle,Maha,Cauliflower,2018,96.76,1125.48
Galle,Maha,Chilli,2018,48.86,398.48
Galle,Maha,Chilli,2018,42.65,361.32
Galle,Maha,Coconut,2018,212.88,7405.2
Galle,Maha,Cucumber,2018,75.9,1152.9
Galle,Maha,Groundnut,2018,57.28,558.37
Galle,Maha,Groundnut,2018,61.23,594.28
Galle,Maha,Leeks,2018,74.0,1064.32
Galle,Maha,Leeks,2018,66.43,816.61
Galle,Maha,Leeks,2018,67.22,1112.17
Galle,Maha,Maize,2018,78.74,1310.75
Galle,Maha,Maize,2018,68.35,1122.45
Galle,Maha,Mango,2018,110.42,2933.28
Galle,Maha,Pepper,2018,38.51,179.34
Galle,Maha,Pineapple,2018,105.72,2632.65
Galle,Maha,Potato,2018,94.96,2044.14
Galle,Maha,Ridge Gourd,2018,61.84,594.89
Galle,Maha,Sesame,2018,55.44,293.02
Galle,Maha,Sesame,2018,34.06,161.72
Galle,Maha,Sesame,2018,25.17,110.86
Galle,Maha,Snake Gourd,2018,38.4,418.81
Galle,Maha,Soybean,2018,54.98,415.12
Galle,Maha,Tea,2018,120.66,3500.54
Galle,Maha,Tea,2018,95.63,2113.66
Galle,Maha,Turmeric,2018,63.99,573.74
Galle,Maha,Watermelon,2018,89.86,2088.25
Galle,Maha,Watermelon,2018,152.25,3098.33
Galle,Maha,Watermelon,2018,118.7,2536.87
Galle,Maha,Yam,2018,50.01,547.64
Galle,Yala,Banana,2018,225.99,7092.74
Galle,Yala,Beans,2018,59.88,570.35
Galle,Yala,Beans,2018,67.68,519.26
Galle,Yala,Carrot,2018,59.18,735.84
Galle,Yala,Cassava,2018,141.29,3100.11
Galle,Yala,Cassava,2018,128.3,2924.69
Galle,Yala,Cauliflower,2018,51.84,641.57
Galle,Yala,Chilli,2018,33.3,277.52
Galle,Yala,Chilli,2018,33.03,269.15
Galle,Yala,Coconut,2018,105.44,3676.77
Galle,Yala,Coconut,2018,143.34,4471.07
Galle,Yala,Coconut,2018,137.17,4243.6
Galle,Yala,Cucumber,2018,67.59,1062.14
Galle,Yala,Leeks,2018,45.07,525.05
Galle,Yala,Pumpkin,2018,102.66,2009.88
Galle,Yala,Pumpkin,2018,87.66,1406.73
Galle,Yala,Pumpkin,2018,86.76,1426.3
Galle,Yala,Pumpkin,2018,66.9,939.8
Galle,Yala,Rice,2018,103.46,2229.95
Galle,Yala,Sesame,2018,42.98,227.98
Galle,Yala,Taro,2018,54.06,683.91
Galle,Yala,Watermelon,2018,93.27,1745.71
Galle,Yala,Watermelon,2018,105.52,2056.52
Galle,Yala,Yam,2018,91.45,1118.52
Galle,Yala,Yam,2018,64.75,979.39
Gampaha,Maha,Ash Plantain,2018,199.91,5076.4
Gampaha,Maha,Banana,2018,267.16,9179.14
Gampaha,Maha,Banana,2018,312.25,9561.25
Gampaha,Maha,Banana,2018,216.99,7069.42
Gampaha,Maha,Beans,2018,104.22,1031.28
Gampaha,Maha,Beans,2018,78.48,850.06
Gampaha,Maha,Bitter Gourd,2018,132.69,1157.42
Gampaha,Maha,Bitter Gourd,2018,100.0,942.08
Gampaha,Maha,Bitter Gourd,2018,100.4,883.27
Gampaha,Maha,Brinjal,2018,114.11,1459.54
Gampaha,Maha,Brinjal,2018,112.08,1554.4
Gampaha,Maha,Cabbage,2018,120.21,1924.38
Gampaha,Maha,Cabbage,2018,125.52,1865.17
Gampaha,Maha,Carrot,2018,130.17,2385.56
Gampaha,Maha,Carrot,2018,87.71,1622.95
Gampaha,Maha,Cassava,2018,183.89,4514.13
Gampaha,Maha,Cauliflower,2018,105.75,1156.14
Gampaha,Maha,Cauliflower,2018,107.85,1230.03
Gampaha,Maha,Cauliflower,2018,106.48,1256.02
Gampaha,Maha,Chilli,2018,66.46,525.91
Gampaha,Maha,Chilli,2018,96.88,724.08
Gampaha,Maha,Chilli,2018,95.51,749.93
Gampaha,Maha,Chilli,2018,58.06,507.05
Gampaha,Maha,Coconut,2018,306.47,8037.55
Gampaha,Maha,Coconut,2018,377.1,12178.99
Gampaha,Maha,Cowpea,2018,83.43,673.03
Gampaha,Maha,Ginger,2018,102.38,1077.11
Gampaha,Maha,Green Gram,2018,83.4,542.03
Gampaha,Maha,Leeks,2018,154.26,1866.71
Gampaha,Maha,Leeks,2018,147.18,1799.51
Gampaha,Maha,Leeks,2018,148.46,1830.49
Gampaha,Maha,Long Bean,2018,57.58,451.41
Gampaha,Maha,Maize,2018,83.84,1462.18
Gampaha,Maha,Maize,2018,160.36,3066.22
Gampaha,Maha,Papaya,2018,136.22,3464.93
Gampaha,Maha,Pepper,2018,54.25,313.04
Gampaha,Maha,Pineapple,2018,202.76,4005.29
Gampaha,Maha,Pineapple,2018,237.71,6098.35
Gampaha,Maha,Potato,2018,118.66,2617.06
Gampaha,Maha,Pumpkin,2018,150.9,1951.71
Gampaha,Maha,Pumpkin,2018,146.03,2423.89
Gampaha,Maha,Sesame,2018,123.03,677.47
Gampaha,Maha,Taro,2018,102.45,1368.13
Gampaha,Maha,Taro,2018,114.18,1296.26
Gampaha,Maha,Watermelon,2018,159.82,3248.32
Gampaha,Maha,Watermelon,2018,125.86,2581.27
Gampaha,Maha,Yam,2018,121.32,2164.65
Gampaha,Yala,Ash Plantain,2018,236.08,7444.34
Gampaha,Yala,Banana,2018,228.75,7954.71
Gampaha,Yala,Beans,2018,126.26,1195.25
Gampaha,Yala,Beans,2018,115.11,1141.47
Gampaha,Yala,Beans,2018,69.71,794.33
Gampaha,Yala,Big Onion,2018,89.3,1058.73
Gampaha,Yala,Bitter Gourd,2018,101.69,1035.88
Gampaha,Yala,Brinjal,2018,89.02,1022.15
Gampaha,Yala,Cabbage,2018,183.33,2932.21
Gampaha,Yala,Carrot,2018,71.35,1303.81
Gampaha,Yala,Carrot,2018,108.85,1718.62
Gampaha,Yala,Carrot,2018,73.98,1240.51
Gampaha,Yala,Cassava,2018,142.18,3525.4
Gampaha,Yala,Cinnamon,2018,41.92,209.88
Gampaha,Yala,Cinnamon,2018,38.02,172.93
Gampaha,Yala,Cinnamon,2018,24.75,109.48
Gampaha,Yala,Coconut,2018,383.69,13074.37
Gampaha,Yala,Cowpea,2018,65.64,577.98
Gampaha,Yala,Green Gram,2018,59.83,419.24
Gampaha,Yala,Green Gram,2018,75.63,497.91
Gampaha,Yala,Groundnut,2018,73.9,644.34
Gampaha,Yala,Groundnut,2018,100.78,1068.39
Gampaha,Yala,Leeks,2018,96.58,1206.63
Gampaha,Yala,Maize,2018,219.41,3764.18
Gampaha,Yala,Maize,2018,133.98,2526.87
Gampaha,Yala,Mango,2018,194.67,5659.74
Gampaha,Yala,Papaya,2018,229.54,6821.76
Gampaha,Yala,Papaya,2018,185.24,5452.4
Gampaha,Yala,Rice,2018,148.44,3145.25
Gampaha,Yala,Sesame,2018,66.58,506.08
Gampaha,Yala,Tea,2018,170.36,4993.44
Gampaha,Yala,Turmeric,2018,88.45,886.73
Gampaha,Yala,Turmeric,2018,108.97,1024.72
Gampaha,Yala,Watermelon,2018,139.7,2017.27
Gampaha,Yala,Watermelon,2018,145.85,2946.46
Gampaha,Yala,Yam,2018,103.99,1496.36
Gampaha,Yala,Yam,2018,120.21,1534.96
Hambantota,Maha,Banana,2018,144.06,5612.42
Hambantota,Maha,Banana,2018,355.58,11091.66
Hambantota,Maha,Beans,2018,81.6,791.05
Hambantota,Maha,Black Gram,2018,64.62,444.2
Hambantota,Maha,Brinjal,2018,103.97,1268.29
Hambantota,Maha,Cabbage,2018,89.85,1128.98
Hambantota,Maha,Carrot,2018,121.55,1912.76
Hambantota,Maha,Carrot,2018,154.42,1749.73
Hambantota,Maha,Carrot,2018,144.18,2842.9
Hambantota,Maha,Carrot,2018,80.84,1225.1
Hambantota,Maha,Carrot,2018,120.58,1799.32
Hambantota,Maha,Cauliflower,2018,103.35,1151.35
Hambantota,Maha,Chilli,2018,93.77,718.37
Hambantota,Maha,Chilli,2018,69.41,461.43
Hambantota,Maha,Cinnamon,2018,48.12,214.83
Hambantota,Maha,Cinnamon,2018,37.03,149.06
Hambantota,Maha,Coconut,2018,148.12,4141.97
Hambantota,Maha,Coconut,2018,182.56,6286.57
Hambantota,Maha,Green Gram,2018,93.47,696.15
Hambantota,Maha,Green Gram,2018,70.8,504.13
Hambantota,Maha,Leeks,2018,85.17,889.35
Hambantota,Maha,Leeks,2018,98.22,928.54
Hambantota,Maha,Maize,2018,94.01,1718.59
Hambantota,Maha,Okra,2018,94.79,791.59
Hambantota,Maha,Pineapple,2018,163.01,3466.23
Hambantota,Maha,Pineapple,2018,163.21,4387.29
Hambantota,Maha,Potato,2018,118.25,2534.25
Hambantota,Maha,Pumpkin,2018,112.56,1692.07
Hambantota,Maha,Rice,2018,80.48,1495.61
Hambantota,Maha,Rice,2018,92.7,2103.37
Hambantota,Maha,Ridge Gourd,2018,120.42,1142.78
Hambantota,Maha,Ridge Gourd,2018,83.55,991.65
Hambantota,Maha,Ridge Gourd,2018,100.06,1037.3
Hambantota,Maha,Snake Gourd,2018,100.95,864.41
Hambantota,Maha,Turmeric,2018,90.12,833.35
Hambantota,Maha,Watermelon,2018,186.64,3633.22
Hambantota,Maha,Watermelon,2018,237.39,4440.73
Hambantota,Maha,Watermelon,2018,209.66,5324.63
Hambantota,Maha,Watermelon,2018,231.72,5048.14
Hambantota,Yala,Beans,2018,63.73,528.95
Hambantota,Yala,Beans,2018,100.87,1092.31
Hambantota,Yala,Beans,2018,74.27,740.45
Hambantota,Yala,Big Onion,2018,61.7,676.91
Hambantota,Yala,Black Gram,2018,62.08,460.96
Hambantota,Yala,Carrot,2018,122.88,1806.47
Hambantota,Yala,Carrot,2018,110.33,1571.18
Hambantota,Yala,Carrot,2018,127.77,2046.75
Hambantota,Yala,Carrot,2018,88.99,988.72
Hambantota,Yala,Carrot,2018,94.8,1901.09
Hambantota,Yala,Cassava,2018,235.88,4893.78
Hambantota,Yala,Chilli,2018,59.13,503.33
Hambantota,Yala,Chilli,2018,54.72,509.06
Hambantota,Yala,Coconut,2018,182.65,4628.84
Hambantota,Yala,Coconut,2018,193.47,6719.67
Hambantota,Yala,Cowpea,2018,58.24,478.6
Hambantota,Yala,Cucumber,2018,100.35,1670.2
Hambantota,Yala,Groundnut,2018,84.95,972.62
Hambantota,Yala,Leeks,2018,77.19,930.89
Hambantota,Yala,Long Bean,2018,49.81,458.41
Hambantota,Yala,Okra,2018,98.62,623.7
Hambantota,Yala,Pepper,2018,37.74,174.59
Hambantota,Yala,Pepper,2018,51.42,305.83
Hambantota,Yala,Pumpkin,2018,159.74,2742.04
Hambantota,Yala,Sesame,2018,34.13,201.58
