N,P,K,temperature,humidity,ph,rainfall
35,47,30,30.509,51.132,6.659,849.301
89,53,49,25.087,64.8,6.521,536.154
33,53,31,26.251,69.455,7.007,848.882
71,52,18,25.10787449,55.97732754,5.790770202999999,78.16077693
29,52,34,24.676,78.349,6.607,825.225
94,46,89,28.553,63.352,6.073,1007.893
50,26,35,27.045,68.476,6.204,700.387
76,48,117,26.154,86.684,6.361,836.908
54,40,57,28.205,83.915,6.236,1219.577
30,37,43,25.917,65.646,6.292,832.551
47,40,40,24.174,62.598,6.27,594.239
43,59,33,27.8,59.9,6.2,54.4
43,39,24,30.599,55.801,6.594,631.117
26,45,43,20.699,55.61,6.333,687.66
32,31,37,29.248,60.52,5.913,911.334
31,40,22,29.40889385,86.16063492,6.365513634,53.35486977
38,34,125,29.12,75.372,6.336,705.179
90,44,43,20.38,57.855,6.685,130.185
75,40,42,21.278,50.088,6.579,566.759
73,35,94,26.963,76.874,5.511,1187.834
28,43,25,26.458,65.699,6.127,551.085
26,22,29,27.826,56.447,5.849,469.745
32,34,25,24.954,59.313,6.401,655.023
23,49,29,26.538,51.379,7.031,620.169
27,45,49,27.56,68.438,6.232,765.559
46,29,24,28.12,49.114,6.67,576.952
18,50,37,28.746,54.295,6.183,731.968
76,33,37,17.46,49.694,6.459,779.424
31,56,56,29.401,63.237,5.928,697.726
105,66,148,19.528,76.125,5.571,584.631
36,23,19,30.876,52.771,7.189,388.992
38,28,29,28.17,57.365,5.975,426.899
107,99,89,19.148,66.885,5.35,790.569
50,32,40,25.98,58.756,5.447,687.045
42,36,29,25.035,44.268,6.212,583.416
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737
28,37,41,25.418,68.281,6.193,546.723
36,32,36,28.185,56.476,6.596,533.736
83,39,36,28.119,67.335,6.028,116.264
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484
43,48,29,20.601,69.237,5.685,141.554
14,48,21,29.24598976,84.80084105,6.991242362,53.43228915
36,43,35,28.744,51.013,5.654,353.706
55,30,49,29.4,65.9,6.1,123.0
121,74,109,16.661,69.725,5.228,655.802
35,41,18,28.70562673,81.59200689,6.705008503999999,59.87065439
36,32,40,30.251,49.562,6.492,433.289
30,37,25,29.89129144,80.14487166,7.120032489,54.7960127
87,34,90,25.149,77.647,5.935,1167.798
66,41,52,23.191,64.419,6.571,633.457
65,34,78,27.047,63.599,6.409,991.095
78,60,48,30.2,62.3,6.7,170.5
31,53,27,20.7,72.5,5.5,160.3
78,55,93,29.359,78.173,6.424,1457.475
49,22,29,29.932,59.442,6.353,475.02
72,28,40,28.176,40.666,6.457,582.572
47,39,37,24.487,61.3,6.224,663.458
66,53,19,23.09348056,60.11593810000001,6.033550195,65.49730729
74,47,114,29.245,77.683,6.09,1622.094
81,54,26,20.1,74.7,6.5,120.5
19,40,32,30.275,65.322,6.519,526.558
48,21,37,26.533,52.597,6.235,430.587
76,29,23,25.9,72.2,5.5,95.4
77,63,115,26.818,72.429,5.465,1468.126
114,67,131,16.882,65.661,5.71,612.108
57,49,107,29.259,67.464,6.437,1327.671
92,48,38,21.765,58.28,6.127,780.021
34,35,22,25.958,72.937,6.668,609.165
105,73,124,18.447,73.132,5.192,678.914
68,38,52,20.564,53.246,6.892,826.995
113,71,157,16.217,71.733,5.571,753.197
18,33,29,27.116,60.2,6.444,749.253
55,61,35,25.362,73.126,6.49,145.916
34,28,39,25.009,65.474,6.779,729.919
41,34,27,27.382,55.152,6.158,471.905
34,49,38,31.8,81.5,6.1,150.1
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352
86,45,41,22.941,48.916,6.068,425.074
69,30,77,27.894,72.901,6.005,874.253
64,44,104,24.036,66.404,6.065,1013.87
51,30,31,26.558,64.55,5.972,597.8
103,83,122,23.276,81.307,6.091,562.731
40,57,29,28.123,59.142,6.283,55.583
66,29,37,18.275,58.762,6.296,624.319
10,37,22,28.7275267,89.12760359,7.069747813999999,58.52974279
79,35,49,29.4,84.0,7.2,68.5
25,52,44,25.021,58.911,6.901,529.309
74,30,67,22.725,59.107,6.476,793.848
91,41,25,19.515,63.825,6.884,506.881
30,42,30,23.388,65.306,6.051,823.34
98,35,18,23.79746068,74.82913698,6.252797547999999,91.76337172
39,28,29,29.451,47.967,6.254,548.023
79,62,43,22.0,79.5,6.7,84.2
17,31,35,24.295,59.998,5.968,716.815
30,43,30,24.685,65.552,6.484,615.236
70,47,17,24.612911800000006,70.4162444,6.600827017,104.1626147
68,45,55,32.0,61.7,6.1,82.6
33,41,44,25.65,54.112,5.677,810.806
56,33,28,25.566,59.895,6.412,739.338
71,34,27,27.99,51.813,7.588,401.981
84,30,31,19.661,56.193,5.671,497.157
30,44,33,25.593,66.858,6.878,958.683
65,44,81,24.51,65.449,6.289,1136.714
44,52,34,22.3,78.9,7.4,143.8
2,47,15,29.86860065,85.99127934,6.401455706,58.41394143
28,23,33,27.833,47.929,6.572,372.857
32,38,33,30.373,51.3,6.718,559.649
73,51,47,27.6,61.8,6.0,81.4
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431
37,51,32,25.758,71.85,6.973,508.409
57,56,46,29.4,83.2,7.0,107.4
9,48,22,27.77076285,87.09979549,6.402926221,49.50812624
123,87,124,16.004,62.24,5.348,881.652
130,77,123,20.629,61.648,5.076,701.374
69,52,76,29.683,75.028,6.173,1250.28
36,43,21,28.36319404,84.8593608,7.140437859,52.93031105
50,47,22,27.3,57.1,6.9,63.7
139,106,165,19.621,64.689,5.39,752.145
63,31,34,22.83,57.072,7.331,530.593
13,57,25,28.30041493,86.20681554,6.86308576,50.47333854
27,29,30,24.289,69.616,6.672,626.459
44,50,40,24.382,56.012,6.101,82.658
45,38,27,27.208,53.632,5.692,658.874
48,40,30,28.977,54.785,7.199,466.301
37,28,30,27.098,64.748,6.042,678.728
31,30,31,29.025,55.504,6.418,783.073
17,58,20,28.06642822,85.91625451,6.42937879,39.23831035
58,32,85,21.671,81.551,5.858,864.857
36,43,22,27.82684262,87.16679147,6.3898821660000005,58.37249772
52,22,23,29.398,50.208,6.882,420.788
47,43,50,26.1,56.4,6.4,54.2
54,26,20,25.2,57.5,6.8,55.2
38,50,55,28.666,50.613,6.792,912.719
84,44,98,25.161,75.672,5.418,1246.153
79,35,56,30.3,68.4,6.1,161.2
67,36,35,27.919,60.356,7.458,649.825
54,27,95,27.017,81.873,5.259,1015.111
63,39,28,26.9,61.4,7.3,94.5
59,54,55,31.2,61.1,6.6,158.3
4,36,22,27.60887393,86.13316408,7.012740397000001,43.80041104
64,55,43,18.853,65.058,6.476,498.53
39,39,50,27.932,68.064,6.729,782.502
45,49,47,20.3,61.0,5.7,127.7
29,54,31,28.257,57.873,5.962,816.277
29,50,37,26.437,62.848,7.233,799.324
23,41,27,31.767,59.324,6.763,825.525
46,33,27,25.223,53.345,6.193,750.685
100,108,105,18.648,70.46,5.624,867.739
47,43,36,29.7,66.3,6.6,127.2
55,40,50,28.9,73.7,6.8,139.3
51,56,34,21.7,57.3,5.8,148.0
35,25,25,25.751,52.729,6.736,608.141
43,33,21,31.83,45.801,7.458,731.219
129,77,142,20.278,73.993,5.176,1140.595
58,25,26,24.871,46.186,6.874,586.041
77,37,102,25.996,80.773,6.254,1484.497
37,37,31,25.02,60.921,5.933,556.573
20,34,32,22.236,71.925,6.728,799.969
115,68,147,18.172,78.892,5.533,809.46
62,54,51,17.081,57.937,5.88,463.9
121,76,155,21.301,62.368,5.29,1107.415
27,45,41,28.801,63.549,6.411,533.187
32,35,45,29.305,60.95,6.675,629.631
49,58,44,28.2,66.1,5.8,105.5
31,31,25,25.741,60.68,6.618,545.025
81,37,34,28.347,66.534,6.135,111.637
84,31,24,17.066,53.049,6.33,767.0
73,55,26,25.9,58.7,6.0,147.1
46,32,34,26.146,58.922,7.258,674.888
67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001
33,30,30,23.414,65.021,5.457,734.496
53,51,46,21.16,79.987,6.757,75.451
34,43,37,26.321,60.132,5.901,470.044
14,37,15,27.96235681,83.97586797,6.581351374,48.9366954
29,38,21,29.81,73.717,6.938,682.783
73,45,21,24.60532218,73.58868502,6.636803222999999,96.59195302
39,24,26,27.742,57.346,6.899,661.81
36,37,26,27.99,59.443,6.339,439.947
139,89,122,19.809,72.36,5.845,858.645
65,44,28,26.803,43.799,6.566,656.725
76,36,47,27.3,73.7,5.8,140.2
63,67,64,27.796,76.489,6.737,1211.077
25,43,46,23.678,67.526,6.372,630.788
35,28,91,23.064,80.845,5.764,1038.454
72,37,65,23.155,82.837,6.138,755.989
66,41,97,26.932,67.186,5.873,1307.661
57,24,39,22.434,69.754,6.7,123.225
77,56,126,25.199,65.017,6.623,957.56
37,57,38,25.209,61.808,6.821,799.372
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157
30,44,16,29.73013036,82.89166381,6.442335592999999,50.91511275
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473
59,55,113,27.673,79.705,5.362,755.993
23,40,37,25.33,66.551,5.206,730.525
44,48,24,21.0,69.7,5.8,142.5
52,45,136,23.214,75.226,6.166,646.863
111,102,120,16.131,70.351,5.74,745.185
32,40,48,27.065,54.672,6.531,556.761
31,36,34,32.657,53.568,6.601,514.081
63,36,30,28.3,56.4,6.1,68.2
37,26,35,27.248,51.575,6.041,372.613
88,33,45,24.21,62.507,5.555,136.326
70,52,52,27.748,73.527,6.731,53.636
33,43,28,31.378,52.79,6.058,717.658
60,34,130,26.935,70.411,5.775,1326.084
41,51,80,23.056,64.885,5.483,874.627
25,38,47,27.032,66.896,6.457,747.902
68,63,42,26.3,73.1,7.0,59.3
60,31,39,22.1,79.7,7.4,76.2
82,57,39,28.069,59.9,6.747,55.938
24,47,35,27.553,54.722,6.731,916.772
37,37,26,27.764,62.767,6.054,355.709
81,28,76,27.978,76.208,5.605,910.443
44,22,31,25.93,54.363,7.25,690.545
51,40,31,28.138,59.375,6.29,602.777
26,48,46,27.429,69.08,6.085,870.693
46,25,29,29.339,58.222,5.223,703.344
50,46,50,19.966,57.605,6.725,760.493
41,45,90,23.394,67.709,6.487,822.677
60,46,22,24.89364635,65.61418761,6.625404347999999,87.9298085
25,44,51,25.799,56.428,6.806,721.931
25,27,35,30.666,54.833,6.653,683.855
76,29,28,24.245,64.668,6.611,406.14
86,42,40,28.0,68.3,6.4,78.8
50,22,26,29.313,62.511,6.87,584.949
23,29,50,25.119,69.131,6.024,734.047
41,26,28,24.846,59.405,6.494,599.999
35,23,38,26.001,46.83,5.913,480.268
77,57,21,24.9321581,73.80435276,6.550563822999999,79.74078719
63,33,30,26.1,76.7,6.4,91.3
37,50,23,29.65296893,88.48587386,6.5304707,56.01913159
51,57,36,25.68,73.026,6.532,141.671
80,47,31,23.8,60.3,6.8,85.8
36,26,28,25.1,82.9,6.5,176.2
70,45,33,25.991,77.952,5.79,63.742
52,34,21,24.8,65.4,5.8,86.8
37,37,33,21.424,74.495,6.51,778.408
86,57,41,22.558,59.411,5.845,53.563
56,29,23,30.604,49.474,6.941,451.673
39,37,15,28.9973145,83.78911515,6.821747052,59.84499208
98,44,21,25.77175115,74.089114,6.524478032,107.4931917
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424
73,47,42,28.439,49.849,6.704,555.483
38,33,40,21.839,64.233,6.836,148.575
70,35,30,25.481,49.251,6.079,357.71
41,29,38,23.961,63.624,5.874,786.785
61,35,79,25.585,59.812,5.851,1125.309
91,46,40,19.49,61.316,6.56,859.73
35,32,54,20.8,70.4,6.0,136.2
34,46,44,23.248,70.168,7.174,812.642
51,41,19,27.434,58.064,6.73,621.344
64,65,33,25.3,77.3,6.0,157.9
37,43,41,31.635,74.141,5.865,563.016
39,40,28,28.411,55.691,6.181,641.819
80,59,40,24.8,63.2,6.3,134.9
36,30,29,32.154,65.234,6.713,412.585
51,28,26,31.629,66.294,6.908,547.9
89,46,44,20.236,57.12,6.667,128.633
54,29,41,31.007,46.419,6.675,660.854
45,24,45,27.241,49.508,7.319,528.21
51,39,32,28.685,49.666,6.346,406.336
38,33,32,27.017,54.163,7.048,646.717
44,47,24,20.992,70.131,5.845,144.492
19,35,24,27.11030369,83.64274107,6.883308033,49.11964582
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571
61,24,83,26.769,76.907,6.293,1029.623
27,38,32,22.22,58.985,5.94,860.094
61,29,37,19.2,56.607,7.041,573.118
51,57,78,29.354,68.094,5.541,1171.547
67,27,36,22.012,57.101,6.663,711.592
106,97,88,19.109,78.893,6.375,746.075
32,20,22,26.104,61.142,5.908,520.064
47,34,37,28.636,68.318,6.706,437.142
51,37,38,27.8,58.3,5.5,82.3
36,33,39,30.731,54.794,6.898,668.848
24,25,24,28.413,56.756,5.845,579.567
28,33,29,24.66,54.358,6.366,730.506
81,45,23,19.32666088,68.03449300000001,6.192360002999999,84.22969177
70,36,27,32.673,55.284,6.316,605.692
77,51,35,23.501,62.4,6.482,63.35
78,40,20,26.0,78.3,6.7,96.7
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207
30,29,43,23.568,69.155,6.819,541.804
55,58,21,21.681,58.256,6.547,65.394
51,29,30,30.295,50.789,6.274,545.238
57,46,39,22.9,61.9,5.6,174.6
49,20,27,28.694,57.199,6.676,438.165
52,25,33,24.773,52.188,6.922,508.654
62,39,124,31.028,80.415,6.206,1251.331
61,44,17,26.10018422,71.57476937,6.931756557999999,102.2662445
35,48,39,27.935,63.922,6.583,790.725
76,55,46,18.102,69.481,6.573,764.865
49,29,49,28.258,48.652,6.785,671.372
37,30,31,30.642,56.233,5.411,546.634
29,41,34,24.829,65.318,6.487,788.517
76,32,106,22.245,74.518,5.651,1134.279
46,45,30,20.818,45.354,6.874,693.688
42,48,39,29.399,61.468,6.913,762.785
21,32,39,24.026,73.797,6.289,747.811
23,39,22,29.25649321,81.97952224,6.86483915,42.02483277
89,29,49,23.0,65.7,6.4,113.5
44,25,25,27.99,52.851,7.358,566.568
25,20,41,31.358,62.56,6.024,672.283
95,40,35,19.071,67.166,6.787,656.733
50,32,32,24.376,53.912,6.616,569.096
40,28,47,28.878,50.713,6.713,658.416
37,40,42,25.679,42.258,7.12,653.118
82,45,71,28.368,68.303,5.553,1542.092
79,55,21,30.0,71.6,6.5,59.0
35,29,33,30.203,55.775,7.326,443.806
61,63,44,31.1,83.6,5.5,149.2
45,40,24,24.969,53.2,6.777,635.893
51,36,110,23.606,75.279,6.261,1150.906
37,28,34,29.895,55.323,7.009,552.059
43,21,31,30.375,47.787,7.643,596.412
68,61,105,29.631,80.88,5.695,1380.26
68,19,38,26.184,54.757,6.419,554.948
62,42,45,20.646,46.155,6.05,661.424
24,38,40,25.836,68.806,6.944,905.143
36,38,33,29.76,64.023,7.265,714.627
45,30,35,26.948,42.136,6.201,558.451
72,56,21,28.3,70.8,6.6,85.5
48,28,94,22.321,76.605,5.519,906.703
76,42,43,26.145,60.661,5.574,664.097
71,61,103,26.067,69.504,5.344,1262.503
23,45,23,28.77653519,86.69133979,6.983130466,56.12443206
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486
46,25,39,30.809,54.415,6.382,412.956
54,35,36,27.675,54.749,6.548,545.782
53,32,38,27.992,65.192,7.143,703.246
54,59,32,24.1,60.4,6.4,81.7
41,27,35,26.5,52.978,6.469,542.392
33,65,32,24.9,81.3,6.1,152.4
54,44,64,26.278,59.914,6.261,1191.998
14,57,15,29.8757015,83.14796296,6.623438282,40.12044158
101,72,139,17.419,68.552,5.602,809.533
94,42,39,19.309,52.647,6.684,521.376
76,31,49,21.534,71.854,6.194,85.504
83,44,78,28.595,73.631,6.21,1536.474
37,38,39,26.676,50.708,6.326,690.464
35,43,38,23.576,61.585,6.619,703.483
38,63,58,26.8,76.6,5.6,127.7
11,46,24,27.65280218,89.80650642,6.459252023,56.52558045
38,26,31,27.496,65.601,5.487,572.462
58,27,82,22.457,62.989,5.16,1207.128
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541
20,45,17,28.17458662,83.69659318,6.770955317,37.2464655
67,33,28,27.5,75.4,5.7,56.7
45,38,32,27.642,58.335,6.422,379.01
59,51,39,29.0,65.0,6.2,66.5
23,40,45,31.471,66.04,6.836,819.664
88,38,15,25.08239719,65.92195844,6.455116637000001,62.49190812
113,85,118,22.265,66.036,5.373,1049.502
49,36,36,27.894,57.608,6.617,485.068
81,59,28,22.478,68.294,6.452,437.126
93,81,168,17.738,75.192,5.659,1055.807
33,48,48,27.133,52.816,6.748,782.993
4,59,25,27.68515114,81.94268594,6.227134139,54.62243308
32,36,43,29.018,59.932,6.976,696.169
48,37,34,28.542,56.476,6.116,824.783
28,44,37,27.785,65.887,6.841,858.968
49,33,25,28.291,53.517,6.85,552.939
71,60,52,24.8,83.4,5.6,147.5
51,39,77,26.747,76.485,6.134,1072.459
127,105,134,17.786,65.662,5.765,797.723
42,29,39,27.177,51.904,6.408,485.997
29,36,36,28.603,60.066,6.318,729.677
6,47,18,29.16174608,80.28038146,6.715276662999999,40.16545979
29,56,35,23.899,67.412,6.279,538.983
61,41,17,25.1420613,65.26185135,6.021902237000001,76.68456006
111,101,99,20.309,75.978,5.779,901.907
36,55,20,27.01470397,84.34262707,6.635968697999999,55.296354
47,54,99,25.487,79.246,6.016,1150.064
89,55,39,22.208,59.336,5.653,50.137
47,31,37,29.4,74.5,6.2,87.6
63,45,40,24.4,75.8,6.6,81.2
26,44,40,21.247,64.135,6.503,885.819
40,43,49,26.3,63.4,5.6,129.9
37,23,32,27.411,58.53,6.648,738.082
52,30,40,21.013,62.267,6.722,526.194
64,60,78,29.315,83.257,5.742,1402.568
90,45,33,25.9,55.6,6.9,98.2
62,49,32,26.234,71.852,6.164,112.441
44,49,83,24.623,74.278,5.671,978.377
97,97,139,22.139,63.259,5.706,877.656
75,32,49,25.886,62.344,6.253,774.282
50,25,43,27.2,65.8,6.4,108.4
42,39,22,30.963,49.119,6.105,676.986
53,44,35,32.584,63.537,5.729,652.059
63,51,114,25.44,67.832,6.552,1196.95
81,56,58,28.232,72.616,6.648,1488.282
77,54,54,27.99,73.631,6.72,55.005
50,29,43,29.662,62.822,6.158,394.456
31,20,35,28.7,51.385,6.65,510.015
87,48,25,18.65396672,61.37879671,6.656730007999999,93.62039175
73,40,51,22.051,63.35,6.582,735.944
2,39,15,28.07219563,82.9116472,6.478557136,49.61865305
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455
52,34,19,24.643,64.693,5.812,85.63
31,26,25,29.353,62.703,6.894,670.309
29,41,24,29.648,64.822,5.926,588.955
45,39,24,29.642,62.123,6.404,577.646
64,33,32,25.726,75.992,6.491,90.62
49,26,27,25.831,52.989,6.551,785.988
71,29,111,24.588,72.68,6.097,1170.311
68,59,111,28.277,85.156,6.402,1043.024
55,36,78,25.354,62.202,5.857,1019.487
33,43,25,27.095,57.651,6.278,594.641
75,34,108,21.945,72.224,5.508,1186.922
88,48,87,29.473,71.543,6.001,1298.895
40,29,32,25.117,49.358,6.253,796.361
36,18,38,26.459,58.089,5.84,696.19
26,29,43,30.832,56.738,6.792,784.77
61,52,51,20.9,76.9,7.2,111.4
29,31,33,30.048,70.393,7.196,726.254
24,24,40,25.293,67.607,6.3,486.358
64,51,45,28.803,57.331,6.248,85.449
45,29,32,25.129,51.703,6.571,530.531
65,33,29,26.3,64.0,5.6,61.8
110,96,119,20.322,78.465,5.669,885.648
104,74,158,21.605,70.649,6.146,915.859
68,26,30,24.38,71.187,6.841,94.973
49,41,27,26.499,48.062,5.985,582.429
69,43,35,26.0,78.3,5.7,61.7
32,36,37,29.071,45.865,6.349,622.953
74,53,50,27.7,72.5,6.8,54.0
44,52,40,28.6,72.4,5.6,147.6
73,39,32,18.78,56.875,6.145,552.357
46,26,35,26.785,49.07,7.32,490.066
74,44,47,22.9,56.3,5.9,109.1
48,50,102,27.901,77.822,6.199,1698.544
37,37,32,24.251,50.098,7.326,654.977
19,55,20,27.43329405,87.80507732,7.18530147,54.73367631
24,44,17,29.8596912,80.03499648,6.666380512000001,50.66487502
19,36,23,30.606,56.155,6.272,760.94
28,46,16,29.008124,84.96089355,6.664187809,45.91011391
38,32,52,29.886,68.557,7.162,821.925
60,35,56,20.126,54.641,6.345,751.378
48,50,21,21.7,56.3,6.4,118.1
83,47,96,24.883,66.74,6.485,1126.874
102,73,165,17.143,68.814,5.6,1077.429
40,39,36,29.287,47.94,6.363,490.367
91,62,160,19.152,72.172,5.136,684.042
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437
46,32,43,24.461,50.742,6.944,527.994
55,51,44,21.1,79.9,6.8,78.4
54,38,40,31.126,51.99,6.288,519.775
36,60,39,29.4,82.4,6.0,145.7
26,54,17,28.5474135,88.9570454,6.27258822,49.4897245
54,37,25,25.174,41.31,6.592,403.124
118,90,139,21.251,74.608,5.981,766.33
4,40,21,28.79728147,80.45744422,6.725551062,44.30070517
78,32,35,19.063,60.252,6.458,576.813
89,68,118,19.641,69.37,5.781,737.553
