District,Year,Season,total_area,total_production,n_crops,avg_yield
Badulla,2024,Maha,4311.72,78335.75,25,18.168097650125702
Badulla,2024,Yala,1567.0,25095.059999999998,14,16.014716017868537
Badulla,2025,Maha,2847.87,53902.07,17,18.927152573677873
Badulla,2025,Yala,3069.49,60442.57,24,19.691404761051512
Badulla,2026,Maha,2144.8,39426.1,14,18.38218015665796
Badulla,2026,Yala,2000.1200000000001,37485.53,20,18.741640501569904
Batticaloa,2018,Maha,1995.56,40222.31,14,20.155901100442982
Batticaloa,2018,Yala,1748.18,33174.94,16,18.976844489697857
Batticaloa,2019,Maha,2858.08,54317.69,20,19.00495787381739
Batticaloa,2019,Yala,1944.07,33843.5,14,17.40858096673474
Batticaloa,2020,Maha,2228.53,39022.12,20,17.51025115210475
Batticaloa,2020,Yala,1561.6,25967.07,14,16.62850281762295
Batticaloa,2021,Maha,2300.21,37988.46,16,16.51521382830263
Batticaloa,2021,Yala,2546.06,52281.17,18,20.53414687792118
Batticaloa,2022,Maha,2777.69,56094.22,15,20.194557348012196
Batticaloa,2022,Yala,2360.2999999999997,45016.57,14,19.072393339829684
Batticaloa,2023,Maha,2438.16,47678.81,17,19.55524247793418
Batticaloa,2023,Yala,2766.06,61595.61,14,22.268356434784497
Batticaloa,2024,Maha,2449.18,42434.46,19,17.32598665675859
Batticaloa,2024,Yala,2761.88,60234.700000000004,17,21.809311048995614
Batticaloa,2025,Maha,2862.64,56162.67,19,19.61918718385826
Batticaloa,2025,Yala,2299.93,46381.55,13,20.166505067545536
Batticaloa,2026,Maha,1755.23,30339.93,15,17.28544407285655
Batticaloa,2026,Yala,2871.33,55036.96,18,19.167758495192125
Colombo,2018,Maha,2457.2,52840.0,14,21.504151066254273
Colombo,2018,Yala,2908.88,67363.39,15,23.157844256208573
Colombo,2019,Maha,2782.6800000000003,55520.689999999995,16,19.952236692684746
Colombo,2019,Yala,1629.02,22080.54,14,13.554492885293
Colombo,2020,Maha,2857.74,55539.86,17,19.434889108176392
Colombo,2020,Yala,1525.43,36029.979999999996,10,23.619556452934578
Colombo,2021,Maha,1784.67,38265.31,14,21.441112362509593
Colombo,2021,Yala,3038.83,57551.19,14,18.938601369606065
Colombo,2022,Maha,2919.11,66950.55,13,22.93526108985273
Colombo,2022,Yala,2546.65,39305.81,20,15.434319596332434
Colombo,2023,Maha,2667.37,43666.57,17,16.370645992119577
Colombo,2023,Yala,2390.84,46365.14,15,19.392824279332785
Colombo,2024,Maha,3406.63,64752.04,19,19.007652724246544
Colombo,2024,Yala,2153.33,46914.48,13,21.786943942637684
Colombo,2025,Maha,2358.4,47590.59,14,20.179185040705562
Colombo,2025,Yala,1156.0900000000001,22512.89,10,19.473302251554806
Colombo,2026,Maha,3725.36,72232.43,17,19.389382502630617
Colombo,2026,Yala,2624.65,53343.82,15,20.32416512677881
Galle,2018,Maha,2150.06,43916.45,18,20.425685794815028
Galle,2018,Yala,1974.1,42678.32,12,21.61912770376374
Galle,2019,Maha,2631.82,50645.79,21,19.243637482806573
Galle,2019,Yala,2072.8,40097.69,18,19.344697993052876
Galle,2020,Maha,2175.7,42458.87,18,19.515038838075107
Galle,2020,Yala,2408.4,47366.21,21,19.66708603222056
Galle,2021,Maha,2864.59,58624.59,14,20.46526378993154
Galle,2021,Yala,2378.38,43264.07,15,18.190562483707396
Galle,2022,Maha,1731.7,36567.34,18,21.116440492002077
Galle,2022,Yala,1291.97,23062.22,12,17.850429963544045
Galle,2023,Maha,1533.27,24868.09,17,16.21898948000026
Galle,2023,Yala,1318.68,26213.97,10,19.87894712894713
Galle,2024,Maha,2528.16,48263.8,21,19.090484779444342
Galle,2024,Yala,2325.9,38630.28,20,16.608745001934732
Galle,2025,Maha,3223.98,80839.12,14,25.0743242824087
Galle,2025,Yala,1723.87,28970.29,18,16.805379756014087
Galle,2026,Maha,2441.54,47318.49,19,19.380591757661147
Galle,2026,Yala,2656.96,61070.46,14,22.985088221124894
Gampaha,2018,Maha,5267.77,107298.38,21,20.36884298289409
Gampaha,2018,Yala,3521.72,77597.7,17,22.03403450586645
Gampaha,2019,Maha,5536.47,125347.69,18,22.64036290271599
Gampaha,2019,Yala,1761.62,25780.23,12,14.634387665898435
Gampaha,2020,Maha,3074.08,72317.2,11,23.524826940092645
Gampaha,2020,Yala,2927.33,56095.380000000005,13,19.162643091144492
Gampaha,2021,Maha,5303.06,132841.12,15,25.049899491991415
Gampaha,2021,Yala,2988.15,54883.22,14,18.366956143433228
Gampaha,2022,Maha,2013.49,34328.87,10,17.0494365504671
Gampaha,2022,Yala,4877.36,106219.29000000001,19,21.7780295077665
Gampaha,2023,Maha,2902.85,58559.26,15,20.173023063541002
Gampaha,2023,Yala,4758.72,94592.84,20,19.877790666397686
Gampaha,2024,Maha,3282.44,65094.33,12,19.831079928345986
Gampaha,2024,Yala,2763.03,61333.85,14,22.198039833081797
Gampaha,2025,Maha,6022.56,145652.21,14,24.18443485826625
Gampaha,2025,Yala,2632.84,51268.99,14,19.4728847936069
Gampaha,2026,Maha,2753.33,48802.62,16,17.724943976929755
Gampaha,2026,Yala,3204.83,75850.66,13,23.667607954244065
Hambantota,2018,Maha,3901.23,74406.69,16,19.072623249590514
Hambantota,2018,Yala,2782.94,45993.11,18,16.52680618338879
Hambantota,2019,Maha,2867.27,56238.44,16,19.61393241654954
Hambantota,2019,Yala,2468.4,40905.7,15,16.57174688057041
Hambantota,2020,Maha,3953.05,77584.28,20,19.626435284147682
Hambantota,2020,Yala,3724.65,68693.23,16,18.44286845743895
Hambantota,2021,Maha,2822.72,50707.15,16,17.96393195215962
Hambantota,2021,Yala,2411.89,50324.0,14,20.86496482012032
Hambantota,2022,Maha,4100.71,90066.25,15,21.96357460049601
Hambantota,2022,Yala,2544.55,42304.22,15,16.62542296280285
Hambantota,2023,Maha,2774.38,57983.05,12,20.899462222190184
Hambantota,2023,Yala,3798.82,70764.85,17,18.628113466813378
Hambantota,2024,Maha,3562.38,60116.26,21,16.875308080552887
Hambantota,2024,Yala,3730.83,82636.64,17,22.14966642811385
Hambantota,2025,Maha,3178.98,58789.64,18,18.49323997005329
Hambantota,2025,Yala,2419.11,42343.44,16,17.503726577129605
Hambantota,2026,Maha,3747.18,63640.05,19,16.98345155556979
Hambantota,2026,Yala,2736.54,53749.82,16,19.641525429922456
Jaffna,2018,Maha,4858.32,93592.83,21,19.26444326433829
Jaffna,2018,Yala,2267.28,52028.69,10,22.947624466320878
Jaffna,2019,Maha,3531.2000000000003,68370.82,17,19.36192229270503
Jaffna,2019,Yala,2882.7,55187.47,16,19.144368127103064
Jaffna,2020,Maha,3718.57,66825.09,18,17.970641940315765
Jaffna,2020,Yala,3878.21,60216.96,22,15.526998280134391
Jaffna,2021,Maha,3830.47,62277.13,18,16.258352108226926
Jaffna,2021,Yala,2776.96,44317.77,18,15.959095557732194
Jaffna,2022,Maha,4075.31,81629.34,20,20.0302161062594
Jaffna,2022,Yala,3725.67,78440.88,15,21.05416743833995
Jaffna,2023,Maha,4872.08,109394.74,19,22.453395674947867
Jaffna,2023,Yala,3290.78,66068.87,20,20.076963516248426
Jaffna,2024,Maha,4004.13,74508.26,18,18.60785239240484
Jaffna,2024,Yala,1871.77,39128.59,11,20.90459297883821
Jaffna,2025,Maha,3659.0,60985.47,16,16.66725061492211
Jaffna,2025,Yala,3232.22,52883.49,17,16.361352259437787
Jaffna,2026,Maha,4845.09,90573.54000000001,23,18.693881847396025
Jaffna,2026,Yala,3678.13,64179.25,17,17.448880273399798
Kalutara,2018,Maha,2847.25,55020.4,14,19.324049521468083
Kalutara,2018,Yala,2233.38,38083.43,14,17.051925780655328
Kalutara,2019,Maha,3611.22,67621.6,16,18.72541689512132
Kalutara,2019,Yala,3279.39,66297.93,17,20.216543320556564
Kalutara,2020,Maha,4066.94,93962.13,20,23.103888918941514
Kalutara,2020,Yala,2807.7599999999998,55891.96,18,19.906245548052542
Kalutara,2021,Maha,3354.04,61464.3,15,18.32545229037221
Kalutara,2021,Yala,2565.83,55078.130000000005,14,21.466009049703217
Kalutara,2022,Maha,3403.29,69946.94,16,20.552741611793294
Kalutara,2022,Yala,1671.31,29165.48,12,17.450670432175958
Kalutara,2023,Maha,4147.71,75549.34,21,18.214711250304383
Kalutara,2023,Yala,2727.73,57421.07,12,21.050862805336305
Kalutara,2024,Maha,4453.4,99312.78,17,22.30044011317196
Kalutara,2024,Yala,3106.9,56660.619999999995,19,18.237027261900927
Kalutara,2025,Maha,2895.44,59209.35,13,20.449171801177023
Kalutara,2025,Yala,2760.11,51104.49,12,18.5153816333407
Kalutara,2026,Maha,3168.6800000000003,63645.9,18,20.085934837219284
Kalutara,2026,Yala,2071.4,45135.14,11,21.789678478323836
Kandy,2018,Maha,4664.18,82778.1,27,17.747621232456723
Kandy,2018,Yala,2623.78,48639.130000000005,16,18.53780804793085
Kandy,2019,Maha,3897.05,62257.4,18,15.97551994457346
Kandy,2019,Yala,4706.89,83118.52,24,17.65890428711952
Kandy,2020,Maha,5069.13,98261.01,22,19.38419610465701
Kandy,2020,Yala,5508.13,110547.38,25,20.069856739038475
Kandy,2021,Maha,4689.63,85050.54,23,18.135874258736827
Kandy,2021,Yala,2931.31,63898.66,17,21.798670219117053
Kandy,2022,Maha,4587.98,92763.35,19,20.21877819868439
Kandy,2022,Yala,3877.69,81428.69,20,20.999277920617686
Kandy,2023,Maha,4597.2300000000005,83207.62,22,18.09951209750219
Kandy,2023,Yala,3741.31,66580.84,18,17.796130232458683
Kandy,2024,Maha,4376.46,85456.16,20,19.526320359377213
Kandy,2024,Yala,2924.57,52807.979999999996,15,18.05666474045757
Kandy,2025,Maha,4262.17,81445.81999999999,20,19.109003160361972
Kandy,2025,Yala,2520.63,38612.39,18,15.31854734729016
Kandy,2026,Maha,4250.93,73865.51,20,17.37631765284302
Kandy,2026,Yala,2696.49,46951.65,19,17.412135776509466
Kegalle,2018,Maha,5104.73,98728.94,24,19.340678155357875
Kegalle,2018,Yala,2931.98,55933.53,20,19.077050320943524
Kegalle,2019,Maha,3384.29,60706.6,20,17.937765380626363
Kegalle,2019,Yala,3461.92,75543.67,19,21.821321694319913
Kegalle,2020,Maha,4812.6,102933.02,23,21.388235049661304
Kegalle,2020,Yala,3786.07,70758.3,23,18.68911562649396
Kegalle,2021,Maha,2339.96,37631.38,18,16.082061231815928
Kegalle,2021,Yala,3354.3,66125.56,19,19.713669021852546
Kegalle,2022,Maha,1482.31,24945.46,13,16.82877400813595
Kegalle,2022,Yala,3504.76,65792.92,17,18.772446615460115
Kegalle,2023,Maha,3612.19,64880.73,20,17.961605009703256
Kegalle,2023,Yala,2573.87,46837.049999999996,18,18.19713116824082
Kegalle,2024,Maha,3856.29,78304.86,20,20.305749826906172
Kegalle,2024,Yala,3160.45,51230.29,22,16.209808729769495
Kegalle,2025,Maha,3655.71,67230.96,19,18.390671032439663
Kegalle,2025,Yala,2532.98,52629.16,17,20.777566344779668
Kegalle,2026,Maha,3786.86,73829.75,23,19.49629772423591
Kegalle,2026,Yala,983.41,16156.9,8,16.42946482138681
Kilinochchi,2018,Maha,2438.23,42945.65,21,17.613453201707795
Kilinochchi,2018,Yala,2144.4700000000003,45617.59,16,21.272197792461537
Kilinochchi,2019,Maha,2263.97,45113.98,15,19.926933660781728
Kilinochchi,2019,Yala,2013.8700000000001,32179.27,17,15.978821870329266
Kilinochchi,2020,Maha,2263.04,44473.369999999995,14,19.652047688065608
Kilinochchi,2020,Yala,1400.67,27281.95,13,19.477785631162227
Kilinochchi,2021,Maha,2571.29,46856.42,24,18.22292312419058
Kilinochchi,2021,Yala,2321.09,42638.85,20,18.370183836042546
Kilinochchi,2022,Maha,1703.55,29831.88,12,17.511596372281414
Kilinochchi,2022,Yala,1625.91,26621.93,18,16.37355696194746
Kilinochchi,2023,Maha,2455.44,42633.5,19,17.362875900042354
Kilinochchi,2023,Yala,2292.53,41970.65,20,18.307568494196367
Kilinochchi,2024,Maha,2580.24,48584.87,16,18.829593371159273
Kilinochchi,2024,Yala,1597.38,29583.98,15,18.52031451501834
Kilinochchi,2025,Maha,2365.53,44192.47,16,18.681847197034067
Kilinochchi,2025,Yala,1070.69,17563.54,12,16.403945119502378
Kilinochchi,2026,Maha,2607.14,45703.11,17,17.529979210936123
Kilinochchi,2026,Yala,1752.76,35726.18,16,20.382813391451197
Kurunegala,2018,Maha,3654.79,63168.509999999995,20,17.283759121591117
Kurunegala,2018,Yala,2372.57,40970.39,15,17.26835878393472
Kurunegala,2019,Maha,3654.86,67326.95999999999,18,18.421214492483976
Kurunegala,2019,Yala,3006.87,51843.85,20,17.241799612221346
Kurunegala,2020,Maha,2470.4300000000003,54062.65,14,21.88390280234615
Kurunegala,2020,Yala,2720.65,51576.31,16,18.95734842776542
Kurunegala,2021,Maha,4154.15,87013.76,20,20.946224859477873
Kurunegala,2021,Yala,2943.75,52604.229999999996,18,17.86980212314225
Kurunegala,2022,Maha,2714.65,47366.75,17,17.448566113495293
Kurunegala,2022,Yala,3031.14,49485.71,19,16.325775120911604
Kurunegala,2023,Maha,4483.78,92907.53,21,20.720804767406072
Kurunegala,2023,Yala,1267.41,22511.85,11,17.762089615830707
Kurunegala,2024,Maha,4011.24,79295.58,21,19.76834594788644
Kurunegala,2024,Yala,1407.65,18404.46,14,13.074599509821333
Kurunegala,2025,Maha,6226.68,155249.62,21,24.932969094284594
Kurunegala,2025,Yala,2379.05,47629.090000000004,16,20.020213950946808
Kurunegala,2026,Maha,3268.1,71139.59,16,21.767874300052018
Kurunegala,2026,Yala,1752.23,23378.57,15,13.342181106361608
Mannar,2018,Maha,4022.65,62225.98,20,15.468902340496937
Mannar,2018,Yala,4389.95,78499.85,19,17.881718470597615
Mannar,2019,Maha,3232.43,64124.24,16,19.83778148328038
Mannar,2019,Yala,3278.94,64616.98,16,19.706667398610527
Mannar,2020,Maha,2584.17,39832.51,13,15.414043967695624
Mannar,2020,Yala,3402.41,61005.76,17,17.930161268042358
Mannar,2021,Maha,3255.55,66306.69,15,20.367277418562146
Mannar,2021,Yala,3030.16,56432.39,17,18.62356773239697
Mannar,2022,Maha,6182.75,131102.74,20,21.204599894868785
Mannar,2022,Yala,3141.92,67198.84,11,21.387826551917296
Mannar,2023,Maha,2422.02,42304.89,11,17.466779795377413
Mannar,2023,Yala,2536.79,46434.23,13,18.304325545275724
Mannar,2024,Maha,4329.32,95681.56999999999,18,22.100831077397835
Mannar,2024,Yala,2506.36,49849.86,12,19.88934550503519
Mannar,2025,Maha,3322.6800000000003,50164.67,18,15.097653099305377
Mannar,2025,Yala,3852.88,87195.38,12,22.631221320155312
Mannar,2026,Maha,4621.28,95397.47,18,20.643083734376624
Mannar,2026,Yala,2723.24,62390.850000000006,13,22.910522025234652
Matale,2018,Maha,3395.42,69489.82,23,20.46575092330257
Matale,2018,Yala,1780.67,35784.72,17,20.09621097676717
Matale,2019,Maha,3111.75,51488.7,21,16.54654133526151
Matale,2019,Yala,1357.04,21110.47,15,15.556262158816248
Matale,2020,Maha,3203.98,55596.74,21,17.35239920349066
Matale,2020,Yala,2747.6,57756.81,14,21.020821808123454
Matale,2021,Maha,3045.7,54148.31,21,17.778609186722264
Matale,2021,Yala,2361.2400000000002,44501.33,17,18.846593315376666
Matale,2022,Maha,2929.41,51217.79,23,17.48399507067976
Matale,2022,Yala,1840.25,25285.65,17,13.74033419372368
Matale,2023,Maha,3051.6,62868.55,20,20.601831825927384
Matale,2023,Yala,2731.3199999999997,49829.43,19,18.24371732349194
Matale,2024,Maha,2352.08,38721.37,22,16.46260756436856
Matale,2024,Yala,3199.03,51810.45,24,16.195674938965873
Matale,2025,Maha,3963.23,75843.22,22,19.13671929209256
Matale,2025,Yala,2567.17,39346.36,18,15.326745014938629
Matale,2026,Maha,2762.73,48004.25,21,17.37565741132865
Matale,2026,Yala,2972.81,51983.4,20,17.486284020842234
Matara,2018,Maha,3448.66,64904.65,21,18.820251923935675
Matara,2018,Yala,3615.52,66855.21,16,18.491174160286764
Matara,2019,Maha,3132.67,55363.66,20,17.672994602048732
Matara,2019,Yala,3699.9900000000002,88290.85,15,23.862456385017257
Matara,2020,Maha,2827.11,61924.39,11,21.903778063110384
Matara,2020,Yala,4567.27,91014.09,19,19.9274599487221
Matara,2021,Maha,2801.2,49047.7,14,17.509531629301726
Matara,2021,Yala,3068.8199999999997,62498.97,16,20.36579858056191
Matara,2022,Maha,3547.86,66385.7,16,18.71147677755041
Matara,2022,Yala,3569.05,67566.95,22,18.931354281951776
Matara,2023,Maha,4970.66,94779.88,22,19.067866239090986
Matara,2023,Yala,3616.99,56154.99,20,15.52533736615252
Matara,2024,Maha,4631.04,80802.76,22,17.448080776672192
Matara,2024,Yala,3566.03,67645.24,17,18.969341256242938
Matara,2025,Maha,4688.06,91909.01000000001,20,19.604913333020484
Matara,2025,Yala,2913.3199999999997,56018.82,17,19.22851591998133
Matara,2026,Maha,5117.68,103503.3,21,20.22465257694893
Matara,2026,Yala,3032.39,61339.4,20,20.228070927552196
Monaragala,2018,Maha,2120.3,44000.04,10,20.751799273687684
Monaragala,2018,Yala,1516.32,35098.240000000005,8,23.146987443283745
Monaragala,2019,Maha,1814.35,36489.24,13,20.11146691652658
Monaragala,2019,Yala,1115.55,25293.29,8,22.673380843530097
Monaragala,2020,Maha,1073.7,21794.06,8,20.29809071435224
Monaragala,2020,Yala,1763.19,42106.08,9,23.880625457267794
Monaragala,2021,Maha,3312.38,70975.86,14,21.4274509567139
Monaragala,2021,Yala,1623.17,36215.84,10,22.3117972855585
Monaragala,2022,Maha,3435.28,83899.39,13,24.422868004937005
Monaragala,2022,Yala,549.36,13108.310000000001,4,23.86105650211155
Monaragala,2023,Maha,1618.27,34799.95,8,21.504415208834125
Monaragala,2023,Yala,1305.85,31429.62,9,24.068323314316345
Monaragala,2024,Maha,1673.75,28176.62,9,16.83442569081404
Monaragala,2024,Yala,1662.94,34602.6,13,20.80808688226875
Monaragala,2025,Maha,1868.83,41391.59,11,22.148397660568374
Monaragala,2025,Yala,1365.42,23454.0,9,17.177132310937292
Monaragala,2026,Maha,2563.56,47811.79,12,18.65054455522789
Monaragala,2026,Yala,884.5699999999999,23810.530000000002,6,26.917632295917794
Mullaitivu,2018,Maha,5027.45,98390.28,19,19.570613332802914
Mullaitivu,2018,Yala,2154.11,36170.64,14,16.79145447539819
Mullaitivu,2019,Maha,2028.65,30569.06,11,15.068671283858723
Mullaitivu,2019,Yala,2202.91,40562.36,13,18.413080879382274
Mullaitivu,2020,Maha,3078.86,58215.270000000004,17,18.908060126150588
Mullaitivu,2020,Yala,2440.53,47183.71,17,19.33338660045154
Mullaitivu,2021,Maha,4522.36,83720.89,20,18.512654897000683
Mullaitivu,2021,Yala,3094.98,52842.659999999996,13,17.0736676812128
Mullaitivu,2022,Maha,3529.41,61489.56,15,17.422050711025356
Mullaitivu,2022,Yala,3035.49,61031.21,14,20.10588405825748
Mullaitivu,2023,Maha,3444.52,69116.24,16,20.06556501341261
Mullaitivu,2023,Yala,2696.11,50107.77,16,18.585209802270676
Mullaitivu,2024,Maha,3995.97,86673.31,19,21.690180356709384
Mullaitivu,2024,Yala,3257.31,60390.43,16,18.539970098025673
Mullaitivu,2025,Maha,4881.44,102967.54,21,21.093681372709693
Mullaitivu,2025,Yala,2312.2,43710.34,14,18.904221088141163
Mullaitivu,2026,Maha,3821.19,68844.77,19,18.016578605094224
Mullaitivu,2026,Yala,2461.21,37562.18,14,15.261672104371426
Nuwara Eliya,2018,Maha,3587.84,58503.56,24,16.306067160185513
Nuwara Eliya,2018,Yala,2529.27,41493.53,23,16.405338299193048
Nuwara Eliya,2019,Maha,4753.39,98394.49,27,20.699856313073408
Nuwara Eliya,2019,Yala,3344.0099999999998,58551.979999999996,19,17.509511036151206
Nuwara Eliya,2020,Maha,3157.74,50070.84,20,15.85654297060556
Nuwara Eliya,2020,Yala,2310.6,47471.92,18,20.545278282697137
Nuwara Eliya,2021,Maha,3356.07,50550.24,21,15.062331834556488
Nuwara Eliya,2021,Yala,3013.39,49028.34,19,16.2701608487451
Nuwara Eliya,2022,Maha,2688.48,46614.88,19,17.338749032910787
Nuwara Eliya,2022,Yala,2707.58,48057.25,19,17.749152379615747
Nuwara Eliya,2023,Maha,3480.04,53433.83,21,15.354372363536053
Nuwara Eliya,2023,Yala,2743.04,54278.96,16,19.787884974335043
Nuwara Eliya,2024,Maha,2400.88,39888.520000000004,14,16.614124820899004
Nuwara Eliya,2024,Yala,2854.56,54792.36,14,19.19467798890197
Nuwara Eliya,2025,Maha,3080.65,54735.29,16,17.767448428091473
Nuwara Eliya,2025,Yala,2180.16,39978.0,15,18.337186261558784
Nuwara Eliya,2026,Maha,3054.87,51598.19,21,16.890469970898927
Nuwara Eliya,2026,Yala,2033.74,34644.11,20,17.034679949256052
Polonnaruwa,2018,Maha,3757.17,73124.53,19,19.462662056814036
Polonnaruwa,2018,Yala,3009.23,56418.95,20,18.748633371327546
Polonnaruwa,2019,Maha,3014.8,62231.46,19,20.641986201406393
Polonnaruwa,2019,Yala,3153.61,58203.5,15,18.456150253201887
Polonnaruwa,2020,Maha,1646.92,26153.37,15,15.880170257207391
Polonnaruwa,2020,Yala,1590.96,21031.82,14,13.219578116357418
Polonnaruwa,2021,Maha,3249.95,62666.1,16,19.282173571901108
Polonnaruwa,2021,Yala,3335.5299999999997,61765.63,19,18.517485976741327
Polonnaruwa,2022,Maha,2845.82,46428.35,16,16.31457716932202
Polonnaruwa,2022,Yala,2660.27,48364.52,17,18.180305006634665
Polonnaruwa,2023,Maha,3556.39,70811.82,21,19.91115147663783
Polonnaruwa,2023,Yala,2754.85,58638.71,16,21.285627166633393
Polonnaruwa,2024,Maha,3947.3,80712.99,19,20.447645225850582
Polonnaruwa,2024,Yala,2495.56,44652.86,17,17.892921829168603
Polonnaruwa,2025,Maha,2077.29,38045.31,15,18.314876594023943
Polonnaruwa,2025,Yala,3113.64,53821.23,15,17.285630323351448
Polonnaruwa,2026,Maha,4779.95,108629.65,18,22.72610592161006
Polonnaruwa,2026,Yala,3636.79,76268.0,16,20.971241121978448
Puttalam,2018,Maha,3272.04,57162.54,25,17.470000366743683
Puttalam,2018,Yala,2420.12,43658.69,18,18.039886451911478
Puttalam,2019,Maha,3058.8,56516.01,20,18.47653001176932
Puttalam,2019,Yala,2098.67,42162.11,12,20.08991885336904
Puttalam,2020,Maha,3655.54,65258.5,17,17.851945266636392
Puttalam,2020,Yala,1253.54,24290.78,9,19.377746222697322
Puttalam,2021,Maha,3124.3,61168.22,15,19.578215920366162
Puttalam,2021,Yala,1796.92,27800.87,16,15.471401064042917
Puttalam,2022,Maha,3798.4900000000002,65509.42,19,17.246174137617842
Puttalam,2022,Yala,2290.43,45300.97,14,19.77836912719446
Puttalam,2023,Maha,3389.41,75008.34,16,22.130205551998724
Puttalam,2023,Yala,1787.4,33338.56,15,18.651986125097906
Puttalam,2024,Maha,3938.0,66342.71,20,16.846802945657696
Puttalam,2024,Yala,1976.73,37292.3,14,18.865651859383934
Puttalam,2025,Maha,3209.12,46849.74,18,14.598936780176496
Puttalam,2025,Yala,2788.65,55547.62,17,19.919179531314434
Puttalam,2026,Maha,3652.07,73666.97,19,20.171291897471843
Puttalam,2026,Yala,2947.78,61561.67,15,20.884078866129762
Ratnapura,2018,Maha,3903.4900000000002,83733.36,23,21.45089650543488
Ratnapura,2018,Yala,3396.47,66976.06,22,19.71931446472367
Ratnapura,2019,Maha,3291.0299999999997,62672.13,22,19.043317745508247
Ratnapura,2019,Yala,1834.04,28387.760000000002,18,15.478266559071777
Ratnapura,2020,Maha,3814.5699999999997,73609.74,21,19.296995467379027
Ratnapura,2020,Yala,2329.16,48032.56,14,20.62226725514778
Ratnapura,2021,Maha,2731.02,46652.6,20,17.082482003061127
Ratnapura,2021,Yala,1824.81,32789.56,14,17.968752911261994
Ratnapura,2022,Maha,2480.34,41592.97,16,16.76905988695098
Ratnapura,2022,Yala,3033.6,60067.09,22,19.800596650843882
Ratnapura,2023,Maha,3455.88,59873.48,24,17.32510388092179
Ratnapura,2023,Yala,2318.04,44797.11,18,19.32542579075426
Ratnapura,2024,Maha,2344.25,41911.28,14,17.878332089154313
Ratnapura,2024,Yala,3512.3,65214.74,23,18.56753124733081
Ratnapura,2025,Maha,3295.21,56026.0,23,17.002254788010475
Ratnapura,2025,Yala,3587.48,70393.97,18,19.62212193517455
Ratnapura,2026,Maha,4404.19,86875.86,23,19.72572936226639
Ratnapura,2026,Yala,3658.9,59889.49,25,16.368168028642486
