District,Season,Crop,Year,Cultivated Area,Production,Agro_Ecological_Zone,Spatial_Check,AEZ_standardized,Crop_standardized,Yield
Anuradhapura,Yala,Cowpea,2018,36.93,267.77,Dry,Supported envelope,Dry Zone,Cowpea,7.250744652044408
Anuradhapura,Yala,Ginger,2018,64.85,683.41,Dry,Supported envelope,Dry Zone,Ginger,10.538319198149576
Anuradhapura,Yala,Ginger,2018,100.57,1298.23,Dry,Supported envelope,Dry Zone,Ginger,12.908720294322364
Anuradhapura,Yala,Groundnut,2018,68.74,664.74,Dry,Supported envelope,Dry Zone,Ground Nuts,9.670352051207448
Anuradhapura,Yala,Sweet Potato,2018,98.39,1138.1,Dry,Supported envelope,Dry Zone,Sweet Potatoes,11.567232442321373
Anuradhapura,Yala,Sweet Potato,2018,104.53,1301.59,Dry,Supported envelope,Dry Zone,Sweet Potatoes,12.451832009949296
Badulla,Maha,Beans,2018,83.08,778.0,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Beans,9.364467982667309
Badulla,Maha,Beans,2018,69.71,661.1,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Beans,9.483574809926841
Badulla,Maha,Beans,2018,67.57,843.03,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Beans,12.47639484978541
Badulla,Maha,Carrot,2018,115.37,1803.69,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Carrot,15.633960301638208
Badulla,Maha,Carrot,2018,86.97,1469.18,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Carrot,16.892951592503163
Badulla,Maha,Chilli,2018,41.51,343.97,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Chillies (Green),8.286437003131777
Badulla,Maha,Ginger,2018,64.15,883.52,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Ginger,13.772720187061573
Badulla,Maha,Green Gram,2018,32.11,237.79,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Green Gram,7.4054811585175955
Badulla,Maha,Green Gram,2018,99.07,855.44,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Green Gram,8.634702735439589
Badulla,Maha,Green Gram,2018,42.57,302.12,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Green Gram,7.097016678412027
Badulla,Maha,Leeks,2018,77.81,848.96,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Leeks,10.91067986120036
Badulla,Maha,Leeks,2018,80.26,846.35,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Leeks,10.545103413904808
Badulla,Maha,Red Onion,2018,56.42,553.19,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Red Onion,9.804856433888693
Badulla,Maha,Sweet Potato,2018,80.03,1425.79,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Sweet Potatoes,17.815694114706986
Badulla,Maha,Sweet Potato,2018,113.15,1303.07,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Sweet Potatoes,11.51630578877596
Badulla,Maha,Tea,2018,224.56,5613.98,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Tea,24.999910936943355
Badulla,Maha,Turmeric,2018,54.75,605.34,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Turmeric,11.056438356164383
Badulla,Yala,Beans,2018,53.91,557.85,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Beans,10.347801892042293
Badulla,Yala,Beans,2018,74.07,725.62,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Beans,9.796408802484137
Badulla,Yala,Carrot,2018,82.01,1262.65,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Carrot,15.396293134983539
Badulla,Yala,Carrot,2018,109.39,1836.75,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Carrot,16.790840113355884
Badulla,Yala,Carrot,2018,72.73,1091.91,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Carrot,15.013199505018562
Badulla,Yala,Chilli,2018,44.51,346.43,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Chillies (Green),7.783194787688161
Badulla,Yala,Chilli,2018,35.6,270.48,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Chillies (Green),7.597752808988764
Badulla,Yala,Maize,2018,81.85,1233.79,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Maize,15.07379352474038
Badulla,Yala,Pepper,2018,34.75,191.54,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Pepper,5.511942446043165
Badulla,Yala,Potato,2018,117.89,2362.38,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Potatoes,20.038849775214185
Badulla,Yala,Potato,2018,90.55,1687.61,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Potatoes,18.637327443401436
Badulla,Yala,Red Onion,2018,71.25,790.75,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Red Onion,11.098245614035088
Badulla,Yala,Tea,2018,199.0,5096.02,Up-country Intermediate,Supported envelope,Up Country Intermediate Zone,Tea,25.60814070351759
Batticaloa,Maha,Big Onion,2018,55.9,572.45,Dry,Supported envelope,Dry Zone,Big Onion,10.240608228980323
Batticaloa,Maha,Carrot,2018,65.96,977.64,Dry,Supported envelope,Dry Zone,Carrot,14.82171012734991
Batticaloa,Maha,Carrot,2018,73.03,1071.4,Dry,Supported envelope,Dry Zone,Carrot,14.67068328084349
Batticaloa,Maha,Carrot,2018,98.26,1811.22,Dry,Supported envelope,Dry Zone,Carrot,18.432933034805618
Batticaloa,Maha,Chilli,2018,43.21,249.29,Dry,Supported envelope,Dry Zone,Chillies (Green),5.769266373524647
Batticaloa,Maha,Chilli,2018,70.11,436.02,Dry,Supported envelope,Dry Zone,Chillies (Green),6.219084296106119
Batticaloa,Maha,Cowpea,2018,66.97,449.31,Dry,Supported envelope,Dry Zone,Cowpea,6.709123488129013
Batticaloa,Maha,Groundnut,2018,47.81,389.99,Dry,Supported envelope,Dry Zone,Ground Nuts,8.157080108763857
Batticaloa,Maha,Sweet Potato,2018,81.49,1053.48,Dry,Supported envelope,Dry Zone,Sweet Potatoes,12.927721192784391
Batticaloa,Maha,Turmeric,2018,43.24,455.92,Dry,Supported envelope,Dry Zone,Turmeric,10.543940795559667
Batticaloa,Yala,Carrot,2018,60.98,1076.64,Dry,Supported envelope,Dry Zone,Carrot,17.655624795014763
Batticaloa,Yala,Carrot,2018,67.49,1094.82,Dry,Supported envelope,Dry Zone,Carrot,16.2219588087124
Batticaloa,Yala,Chilli,2018,42.89,353.89,Dry,Supported envelope,Dry Zone,Chillies (Green),8.251107484262066
Batticaloa,Yala,Chilli,2018,66.31,521.91,Dry,Supported envelope,Dry Zone,Chillies (Green),7.870758558286834
Batticaloa,Yala,Chilli,2018,48.11,366.0,Dry,Supported envelope,Dry Zone,Chillies (Green),7.607565994595718
Batticaloa,Yala,Green Gram,2018,47.23,361.8,Dry,Supported envelope,Dry Zone,Green Gram,7.660385348295575
Batticaloa,Yala,Red Onion,2018,39.86,452.05,Dry,Supported envelope,Dry Zone,Red Onion,11.340943301555445
Batticaloa,Yala,Red Onion,2018,44.36,483.38,Dry,Supported envelope,Dry Zone,Red Onion,10.896753832281334
Batticaloa,Yala,Turmeric,2018,62.39,668.97,Dry,Supported envelope,Dry Zone,Turmeric,10.722391408879629
Colombo,Maha,Carrot,2018,78.76,1203.42,Wet,Supported envelope,Wet Zone,Carrot,15.279583544946673
Colombo,Maha,Carrot,2018,98.89,1563.52,Wet,Supported envelope,Wet Zone,Carrot,15.81069875619375
Colombo,Maha,Chilli,2018,77.0,535.76,Wet,Supported envelope,Wet Zone,Chillies (Green),6.957922077922078
Colombo,Maha,Ginger,2018,80.92,1116.18,Wet,Supported envelope,Wet Zone,Ginger,13.793623331685616
Colombo,Maha,Red Onion,2018,71.96,740.58,Wet,Supported envelope,Wet Zone,Red Onion,10.291550861589773
Colombo,Maha,Red Onion,2018,106.56,995.58,Wet,Supported envelope,Wet Zone,Red Onion,9.342905405405405
Colombo,Maha,Turmeric,2018,61.92,597.11,Wet,Supported envelope,Wet Zone,Turmeric,9.643249354005167
Colombo,Yala,Carrot,2018,60.23,1053.58,Wet,Supported envelope,Wet Zone,Carrot,17.49261165532127
Colombo,Yala,Carrot,2018,78.03,1312.62,Wet,Supported envelope,Wet Zone,Carrot,16.821991541714723
Colombo,Yala,Chilli,2018,75.63,623.94,Wet,Supported envelope,Wet Zone,Chillies (Green),8.249900833002778
Colombo,Yala,Chilli,2018,50.71,369.56,Wet,Supported envelope,Wet Zone,Chillies (Green),7.2877144547426544
Colombo,Yala,Chilli,2018,54.47,411.65,Wet,Supported envelope,Wet Zone,Chillies (Green),7.557371029924729
Colombo,Yala,Chilli,2018,54.79,395.77,Wet,Supported envelope,Wet Zone,Chillies (Green),7.223398430370505
Colombo,Yala,Sweet Potato,2018,99.18,1099.51,Wet,Supported envelope,Wet Zone,Sweet Potatoes,11.086005242992538
Colombo,Yala,Turmeric,2018,88.61,995.63,Wet,Supported envelope,Wet Zone,Turmeric,11.236090734680058
Colombo,Yala,Turmeric,2018,61.65,602.54,Wet,Supported envelope,Wet Zone,Turmeric,9.773560421735604
Galle,Maha,Carrot,2018,52.27,816.42,Wet,Supported envelope,Wet Zone,Carrot,15.619284484407881
Galle,Maha,Carrot,2018,64.1,871.09,Wet,Supported envelope,Wet Zone,Carrot,13.589547581903277
Galle,Maha,Carrot,2018,65.62,1019.55,Wet,Supported envelope,Wet Zone,Carrot,15.537183785431269
Galle,Maha,Cassava,2018,108.75,2872.79,Wet,Supported envelope,Wet Zone,Manioc,26.416459770114944
Galle,Maha,Chilli,2018,48.86,398.48,Wet,Supported envelope,Wet Zone,Chillies (Green),8.155546459271388
Galle,Maha,Chilli,2018,42.65,361.32,Wet,Supported envelope,Wet Zone,Chillies (Green),8.471746776084409
Galle,Maha,Pepper,2018,38.51,179.34,Wet,Supported envelope,Wet Zone,Pepper,4.656972215009089
Galle,Maha,Potato,2018,94.96,2044.14,Wet,Supported envelope,Wet Zone,Potatoes,21.526326874473465
Galle,Maha,Tea,2018,120.66,3500.54,Wet,Supported envelope,Wet Zone,Tea,29.011602850986243
Galle,Maha,Tea,2018,95.63,2113.66,Wet,Supported envelope,Wet Zone,Tea,22.102478301788143
Galle,Maha,Turmeric,2018,63.99,573.74,Wet,Supported envelope,Wet Zone,Turmeric,8.966088451320518
Galle,Yala,Carrot,2018,59.18,735.84,Wet,Supported envelope,Wet Zone,Carrot,12.433930381885773
Galle,Yala,Cassava,2018,141.29,3100.11,Wet,Supported envelope,Wet Zone,Manioc,21.941467902894757
Galle,Yala,Cassava,2018,128.3,2924.69,Wet,Supported envelope,Wet Zone,Manioc,22.795713172252533
Galle,Yala,Chilli,2018,33.3,277.52,Wet,Supported envelope,Wet Zone,Chillies (Green),8.333933933933935
Galle,Yala,Chilli,2018,33.03,269.15,Wet,Supported envelope,Wet Zone,Chillies (Green),8.148652739933393
Gampaha,Maha,Carrot,2018,130.17,2385.56,Wet,Supported envelope,Wet Zone,Carrot,18.326496120457865
Gampaha,Maha,Carrot,2018,87.71,1622.95,Wet,Supported envelope,Wet Zone,Carrot,18.503591380686355
Gampaha,Maha,Cassava,2018,183.89,4514.13,Wet,Supported envelope,Wet Zone,Manioc,24.5479906465822
Gampaha,Maha,Chilli,2018,66.46,525.91,Wet,Supported envelope,Wet Zone,Chillies (Green),7.913180860668072
Gampaha,Maha,Chilli,2018,96.88,724.08,Wet,Supported envelope,Wet Zone,Chillies (Green),7.47398843930636
Gampaha,Maha,Chilli,2018,95.51,749.93,Wet,Supported envelope,Wet Zone,Chillies (Green),7.851847974034132
Gampaha,Maha,Chilli,2018,58.06,507.05,Wet,Supported envelope,Wet Zone,Chillies (Green),8.733207027213227
Gampaha,Maha,Cowpea,2018,83.43,673.03,Wet,Supported envelope,Wet Zone,Cowpea,8.067002277358263
Gampaha,Maha,Ginger,2018,102.38,1077.11,Wet,Supported envelope,Wet Zone,Ginger,10.520707169369016
Gampaha,Maha,Green Gram,2018,83.4,542.03,Wet,Supported envelope,Wet Zone,Green Gram,6.499160671462829
Gampaha,Maha,Maize,2018,83.84,1462.18,Wet,Supported envelope,Wet Zone,Maize,17.440124045801525
Gampaha,Maha,Maize,2018,160.36,3066.22,Wet,Supported envelope,Wet Zone,Maize,19.12085308056872
Gampaha,Maha,Pineapple,2018,202.76,4005.29,Wet,Supported envelope,Wet Zone,Pineapple,19.753846912606036
Gampaha,Maha,Pineapple,2018,237.71,6098.35,Wet,Supported envelope,Wet Zone,Pineapple,25.65457910899836
Gampaha,Maha,Potato,2018,118.66,2617.06,Wet,Supported envelope,Wet Zone,Potatoes,22.05511545592449
Gampaha,Yala,Carrot,2018,71.35,1303.81,Wet,Supported envelope,Wet Zone,Carrot,18.27344078486335
Gampaha,Yala,Carrot,2018,108.85,1718.62,Wet,Supported envelope,Wet Zone,Carrot,15.788883785025265
Gampaha,Yala,Carrot,2018,73.98,1240.51,Wet,Supported envelope,Wet Zone,Carrot,16.76818058934847
Gampaha,Yala,Cassava,2018,142.18,3525.4,Wet,Supported envelope,Wet Zone,Manioc,24.795329863553242
Gampaha,Yala,Cowpea,2018,65.64,577.98,Wet,Supported envelope,Wet Zone,Cowpea,8.805301645338208
Gampaha,Yala,Green Gram,2018,59.83,419.24,Wet,Supported envelope,Wet Zone,Green Gram,7.007187029918102
Gampaha,Yala,Green Gram,2018,75.63,497.91,Wet,Supported envelope,Wet Zone,Green Gram,6.58349861166204
Gampaha,Yala,Maize,2018,219.41,3764.18,Wet,Supported envelope,Wet Zone,Maize,17.15591814411376
Gampaha,Yala,Maize,2018,133.98,2526.87,Wet,Supported envelope,Wet Zone,Maize,18.860053739364083
Gampaha,Yala,Turmeric,2018,88.45,886.73,Wet,Supported envelope,Wet Zone,Turmeric,10.025211984171849
Gampaha,Yala,Turmeric,2018,108.97,1024.72,Wet,Supported envelope,Wet Zone,Turmeric,9.40368908874002
Hambantota,Maha,Carrot,2018,121.55,1912.76,Dry/Intermediate,Supported envelope,Dry Zone,Carrot,15.73640477169889
Hambantota,Maha,Carrot,2018,154.42,1749.73,Dry/Intermediate,Supported envelope,Dry Zone,Carrot,11.330980442947805
Hambantota,Maha,Carrot,2018,144.18,2842.9,Dry/Intermediate,Supported envelope,Dry Zone,Carrot,19.717713968650298
Hambantota,Maha,Carrot,2018,80.84,1225.1,Dry/Intermediate,Supported envelope,Dry Zone,Carrot,15.154626422563085
Hambantota,Maha,Carrot,2018,120.58,1799.32,Dry/Intermediate,Supported envelope,Dry Zone,Carrot,14.922209321612208
Hambantota,Maha,Chilli,2018,93.77,718.37,Dry/Intermediate,Supported envelope,Dry Zone,Chillies (Green),7.660978991148555
Hambantota,Maha,Chilli,2018,69.41,461.43,Dry/Intermediate,Supported envelope,Dry Zone,Chillies (Green),6.647889353119147
Hambantota,Maha,Green Gram,2018,93.47,696.15,Dry/Intermediate,Supported envelope,Dry Zone,Green Gram,7.447844228094576
Hambantota,Maha,Green Gram,2018,70.8,504.13,Dry/Intermediate,Supported envelope,Dry Zone,Green Gram,7.120480225988701
Hambantota,Maha,Maize,2018,94.01,1718.59,Dry/Intermediate,Supported envelope,Dry Zone,Maize,18.280927560897776
Hambantota,Maha,Potato,2018,118.25,2534.25,Dry/Intermediate,Supported envelope,Dry Zone,Potatoes,21.431289640591967
Hambantota,Maha,Turmeric,2018,90.12,833.35,Dry/Intermediate,Supported envelope,Dry Zone,Turmeric,9.247114957833999
Hambantota,Yala,Big Onion,2018,61.7,676.91,Dry/Intermediate,Supported envelope,Dry Zone,Big Onion,10.970988654781198
Hambantota,Yala,Carrot,2018,122.88,1806.47,Dry/Intermediate,Supported envelope,Dry Zone,Carrot,14.701090494791668
Hambantota,Yala,Carrot,2018,110.33,1571.18,Dry/Intermediate,Supported envelope,Dry Zone,Carrot,14.240732348409319
Hambantota,Yala,Carrot,2018,127.77,2046.75,Dry/Intermediate,Supported envelope,Dry Zone,Carrot,16.019018548955156
Hambantota,Yala,Carrot,2018,88.99,988.72,Dry/Intermediate,Supported envelope,Dry Zone,Carrot,11.110461849646029
Hambantota,Yala,Carrot,2018,94.8,1901.09,Dry/Intermediate,Supported envelope,Dry Zone,Carrot,20.053691983122363
Hambantota,Yala,Cassava,2018,235.88,4893.78,Dry/Intermediate,Supported envelope,Dry Zone,Manioc,20.746905206036967
Hambantota,Yala,Chilli,2018,59.13,503.33,Dry/Intermediate,Supported envelope,Dry Zone,Chillies (Green),8.512261119567055
Hambantota,Yala,Chilli,2018,54.72,509.06,Dry/Intermediate,Supported envelope,Dry Zone,Chillies (Green),9.302997076023392
Hambantota,Yala,Cowpea,2018,58.24,478.6,Dry/Intermediate,Supported envelope,Dry Zone,Cowpea,8.217719780219781
Hambantota,Yala,Groundnut,2018,84.95,972.62,Dry/Intermediate,Supported envelope,Dry Zone,Ground Nuts,11.449323131253678
Hambantota,Yala,Sweet Potato,2018,121.95,1718.99,Dry/Intermediate,Supported envelope,Dry Zone,Sweet Potatoes,14.095858958589586
Jaffna,Maha,Big Onion,2018,127.19,1438.59,Dry,Supported envelope,Dry Zone,Big Onion,11.31055900621118
Jaffna,Maha,Carrot,2018,82.69,1571.73,Dry,Supported envelope,Dry Zone,Carrot,19.00749788366187
Jaffna,Maha,Carrot,2018,154.68,1973.71,Dry,Supported envelope,Dry Zone,Carrot,12.759956038272563
Jaffna,Maha,Cassava,2018,181.45,4879.04,Dry,Supported envelope,Dry Zone,Manioc,26.88917057040507
Jaffna,Maha,Cassava,2018,210.59,5213.84,Dry,Supported envelope,Dry Zone,Manioc,24.758250629184673
Jaffna,Maha,Chilli,2018,61.51,530.69,Dry,Supported envelope,Dry Zone,Chillies (Green),8.627702812550806
Jaffna,Maha,Chilli,2018,62.68,482.37,Dry,Supported envelope,Dry Zone,Chillies (Green),7.6957562220804085
Jaffna,Maha,Chilli,2018,109.05,698.77,Dry,Supported envelope,Dry Zone,Chillies (Green),6.407794589637781
Jaffna,Maha,Chilli,2018,89.15,681.2,Dry,Supported envelope,Dry Zone,Chillies (Green),7.641054402692092
Jaffna,Maha,Chilli,2018,77.53,581.84,Dry,Supported envelope,Dry Zone,Chillies (Green),7.504707855023862
Jaffna,Maha,Cowpea,2018,53.63,370.98,Dry,Supported envelope,Dry Zone,Cowpea,6.917396979302629
Jaffna,Maha,Green Gram,2018,79.52,600.39,Dry,Supported envelope,Dry Zone,Green Gram,7.550176056338028
Jaffna,Maha,Green Gram,2018,65.63,485.09,Dry,Supported envelope,Dry Zone,Green Gram,7.391284473563919
Jaffna,Maha,Green Gram,2018,59.42,506.98,Dry,Supported envelope,Dry Zone,Green Gram,8.532144059239313
Jaffna,Maha,Groundnut,2018,107.54,949.58,Dry,Supported envelope,Dry Zone,Ground Nuts,8.830016737957969
Jaffna,Maha,Maize,2018,80.02,1337.69,Dry,Supported envelope,Dry Zone,Maize,16.71694576355911
Jaffna,Maha,Potato,2018,172.61,2982.72,Dry,Supported envelope,Dry Zone,Potatoes,17.28011123341637
Jaffna,Yala,Carrot,2018,119.19,1867.26,Dry,Supported envelope,Dry Zone,Carrot,15.66624716838661
Jaffna,Yala,Carrot,2018,137.09,2085.32,Dry,Supported envelope,Dry Zone,Carrot,15.211321029980306
Jaffna,Yala,Carrot,2018,95.49,1427.29,Dry,Supported envelope,Dry Zone,Carrot,14.947010158131741
Jaffna,Yala,Carrot,2018,111.56,1822.94,Dry,Supported envelope,Dry Zone,Carrot,16.340444603800645
Jaffna,Yala,Chilli,2018,48.31,430.31,Dry,Supported envelope,Dry Zone,Chillies (Green),8.9072655764852
Jaffna,Yala,Chilli,2018,46.28,325.55,Dry,Supported envelope,Dry Zone,Chillies (Green),7.034356093344858
Jaffna,Yala,Groundnut,2018,56.84,602.36,Dry,Supported envelope,Dry Zone,Ground Nuts,10.59746657283603
Jaffna,Yala,Turmeric,2018,102.46,1063.9,Dry,Supported envelope,Dry Zone,Turmeric,10.38356431778255
Kalutara,Maha,Carrot,2018,81.7,1548.99,Wet,Supported envelope,Wet Zone,Carrot,18.959485924112606
Kalutara,Maha,Cassava,2018,160.35,3568.34,Wet,Supported envelope,Wet Zone,Manioc,22.25344558777674
Kalutara,Maha,Cassava,2018,158.54,4013.73,Wet,Supported envelope,Wet Zone,Manioc,25.31682856061562
Kalutara,Maha,Chilli,2018,102.76,883.83,Wet,Supported envelope,Wet Zone,Chillies (Green),8.60091475282211
Kalutara,Maha,Cinnamon,2018,60.43,267.1,Wet,Supported envelope,Wet Zone,Cinnamon,4.419990071156711
Kalutara,Maha,Cinnamon,2018,90.69,379.72,Wet,Supported envelope,Wet Zone,Cinnamon,4.187010695776823
Kalutara,Maha,Cinnamon,2018,62.28,275.03,Wet,Supported envelope,Wet Zone,Cinnamon,4.416024405908798
Kalutara,Maha,Potato,2018,179.25,3555.31,Wet,Supported envelope,Wet Zone,Potatoes,19.83436541143654
Kalutara,Maha,Tea,2018,153.03,3693.56,Wet,Supported envelope,Wet Zone,Tea,24.136182447886036
Kalutara,Yala,Carrot,2018,127.18,2020.51,Wet,Supported envelope,Wet Zone,Carrot,15.887010536247837
Kalutara,Yala,Carrot,2018,102.33,1348.92,Wet,Supported envelope,Wet Zone,Carrot,13.182058047493404
Kalutara,Yala,Carrot,2018,94.05,1422.27,Wet,Supported envelope,Wet Zone,Carrot,15.122488038277512
Kalutara,Yala,Carrot,2018,68.61,933.98,Wet,Supported envelope,Wet Zone,Carrot,13.612884419180878
Kalutara,Yala,Carrot,2018,76.62,1289.28,Wet,Supported envelope,Wet Zone,Carrot,16.82693813625685
Kalutara,Yala,Chilli,2018,88.15,669.07,Wet,Supported envelope,Wet Zone,Chillies (Green),7.590130459444129
Kalutara,Yala,Cinnamon,2018,60.02,291.09,Wet,Supported envelope,Wet Zone,Cinnamon,4.849883372209263
Kalutara,Yala,Ginger,2018,74.88,848.24,Wet,Supported envelope,Wet Zone,Ginger,11.327991452991453
Kalutara,Yala,Potato,2018,124.72,2595.37,Wet,Supported envelope,Wet Zone,Potatoes,20.809573444515713
Kalutara,Yala,Red Onion,2018,68.13,584.75,Wet,Supported envelope,Wet Zone,Red Onion,8.58285630412447
Kalutara,Yala,Red Onion,2018,92.82,1042.12,Wet,Supported envelope,Wet Zone,Red Onion,11.227321697909932
Kalutara,Yala,Sweet Potato,2018,82.87,1328.17,Wet,Supported envelope,Wet Zone,Sweet Potatoes,16.027150959333895
Kandy,Maha,Beans,2018,68.01,736.74,Up-country Wet/Intermediate,Supported envelope,Up Country Wet Zone,Beans,10.832818703131892
Kandy,Maha,Beans,2018,100.59,972.13,Up-country Wet/Intermediate,Supported envelope,Up Country Wet Zone,Beans,9.664280743612684
Kandy,Maha,Big Onion,2018,75.79,784.81,Up-country Wet/Intermediate,Supported envelope,Up Country Wet Zone,Big Onion,10.355060034305316
Kandy,Maha,Cabbage,2018,84.8,1239.92,Up-country Wet/Intermediate,Supported envelope,Up Country Wet Zone,Cabbage,14.621698113207549
Kandy,Maha,Cabbage,2018,105.68,2095.14,Up-country Wet/Intermediate,Supported envelope,Up Country Wet Zone,Cabbage,19.825321725965175
Kandy,Maha,Carrot,2018,104.22,1505.02,Up-country Wet/Intermediate,Supported envelope,Up Country Wet Zone,Carrot,14.440798311264633
Kandy,Maha,Carrot,2018,134.36,1829.61,Up-country Wet/Intermediate,Supported envelope,Up Country Wet Zone,Carrot,13.61722238761536
Kandy,Maha,Cassava,2018,188.52,4192.4,Up-country Wet/Intermediate,Supported envelope,Up Country Wet Zone,Manioc,22.2384892849565
Kandy,Maha,Cassava,2018,114.19,2568.31,Up-country Wet/Intermediate,Supported envelope,Up Country Wet Zone,Manioc,22.491549172431913
Kandy,Maha,Cauliflower,2018,105.99,1302.42,Up-country Wet/Intermediate,Supported envelope,Up Country Wet Zone,Cauliflower,12.288140390602889
Kandy,Maha,Chilli,2018,75.49,643.85,Up-country Wet/Intermediate,Supported envelope,Up Country Wet Zone,Chillies (Green),8.528944231023978
Kandy,Maha,Chilli,2018,65.95,564.38,Up-country Wet/Intermediate,Supported envelope,Up Country Wet Zone,Chillies (Green),8.557695223654283
Kandy,Maha,Chilli,2018,48.71,337.39,Up-country Wet/Intermediate,Supported envelope,Up Country Wet Zone,Chillies (Green),6.926503797988093
Kandy,Maha,Chilli,2018,76.44,549.58,Up-country Wet/Intermediate,Supported envelope,Up Country Wet Zone,Chillies (Green),7.189691261119833
Kandy,Maha,Groundnut,2018,68.56,542.32,Up-country Wet/Intermediate,Supported envelope,Up Country Wet Zone,Ground Nuts,7.910151691948658
