district,year,season,temperature_avg_c,temperature_max_c,temperature_min_c,rainfall_mm_total,humidity_percent,solar_radiation_mj_m2_day,wind_speed_m_s
Ampara,2016,Maha,27.962019,35.56,23.77,591.62,75.298546,19.051174,4.008122
Ampara,2016,Yala,29.42059,34.55,25.87,646.36,74.058624,21.043007,4.1842484
Ampara,2017,Maha,27.330519,34.22,23.59,1170.42,78.22759,18.64014,4.031415
Ampara,2017,Yala,29.467583,34.82,26.21,349.26,72.70843,21.534903,3.440719
Ampara,2018,Maha,27.11835,33.4,23.06,933.16,79.58411,17.923775,4.026368
Ampara,2018,Yala,28.493988,33.03,25.66,579.6,77.69778,20.562222,4.0555553
Ampara,2019,Maha,27.377642,33.72,24.15,1328.64,79.92911,18.00033,4.0745754
Ampara,2019,Yala,29.82732,36.43,25.69,304.93,71.52621,20.877974,3.984183
Ampara,2020,Maha,27.618217,33.21,24.66,998.03,77.87155,18.827888,4.1150703
Ampara,2020,Yala,29.20771,34.2,25.62,474.14,74.79856,20.326014,3.6858823
Ampara,2021,Maha,27.331367,32.56,24.51,1702.78,80.652596,17.768679,3.9554718
Ampara,2021,Yala,28.688627,33.06,25.57,525.82,77.59124,20.662157,3.6666667
Ampara,2022,Maha,27.176792,32.02,22.46,1435.32,80.44765,18.133537,4.0934434
Ampara,2022,Yala,28.410717,32.71,25.19,771.32,79.069084,20.302681,3.6725492
Ampara,2023,Maha,27.290707,32.59,23.81,1872.11,81.80958,17.366085,4.3596697
Ampara,2023,Yala,29.238237,34.8,25.94,505.43,75.93817,21.35608,3.6315687
Ampara,2024,Maha,27.928265,34.79,24.68,1363.68,80.003525,18.584696,4.0328636
Ampara,2024,Yala,29.677256,34.23,26.34,449.44998,75.68405,20.383139,3.9315033
Ampara,2025,Maha,27.561415,34.32,23.32,1586.73,79.69146,17.599669,4.1425
Ampara,2025,Yala,28.938433,33.84,25.53,467.02,76.1566,20.952484,3.8316338
Anuradhapura,2000,Maha,26.399343,38.09,16.7,727.88,76.48714,18.089296,4.255587
Anuradhapura,2000,Yala,28.438433,40.16,23.13,271.58,70.23699,20.950653,5.9706535
Anuradhapura,2001,Maha,25.98566,39.93,15.01,711.38,79.48443,18.371414,4.0379243
Anuradhapura,2001,Yala,27.573399,38.94,22.96,431.63,77.42549,20.643202,5.42902
Anuradhapura,2002,Maha,26.220095,38.49,17.21,895.45,79.52934,18.4567,4.0607076
Anuradhapura,2002,Yala,28.523792,38.12,22.33,221.17,72.59065,20.685555,5.815948
Anuradhapura,2003,Maha,26.13231,37.82,18.4,701.36,80.41292,18.452784,4.3120284
Anuradhapura,2003,Yala,28.39144,38.2,22.22,235.69,73.79189,20.353464,5.394967
Anuradhapura,2004,Maha,26.37263,39.35,17.31,936.55,77.84728,17.802582,4.211925
Anuradhapura,2004,Yala,28.426407,41.5,23.57,285.89,72.11575,20.454313,5.8387585
Anuradhapura,2005,Maha,25.856604,37.05,17.73,829.37,82.033775,18.118916,4.0966983
Anuradhapura,2005,Yala,28.236471,37.76,23.21,260.67,75.19033,20.523335,5.5867977
Anuradhapura,2006,Maha,25.526133,35.64,15.98,1042.68,83.45779,17.75816,3.905
Anuradhapura,2006,Yala,28.311306,37.65,22.16,212.06,72.581635,21.114706,5.814314
Anuradhapura,2007,Maha,25.676603,38.82,17.32,880.26,79.540184,18.473349,4.1657076
Anuradhapura,2007,Yala,28.254839,38.43,22.99,249.95,73.838234,19.741896,5.5111113
Anuradhapura,2008,Maha,25.859625,38.4,17.32,992.33997,80.96348,17.809954,3.8924415
Anuradhapura,2008,Yala,27.23111,35.76,21.96,224.87,79.16104,20.587711,5.440915
Anuradhapura,2009,Maha,26.114058,38.13,17.36,971.71,78.18142,18.661085,4.0570755
Anuradhapura,2009,Yala,28.16255,38.04,22.82,281.8,74.66261,19.891176,6.0632677
Anuradhapura,2010,Maha,25.578255,37.73,17.06,1245.46,83.42821,17.63849,3.8556132
Anuradhapura,2010,Yala,28.20294,38.86,22.81,380.82,75.63575,20.174706,5.3699346
Anuradhapura,2011,Maha,25.547075,36.91,17.97,1624.87,84.40279,17.210331,3.9219341
Anuradhapura,2011,Yala,27.252811,35.33,19.27,398.53,79.43752,20.719934,5.3877125
Anuradhapura,2012,Maha,25.826668,37.39,18.06,1488.4,81.68582,18.047888,3.787183
Anuradhapura,2012,Yala,28.598824,37.4,22.25,167.18,70.9749,20.804836,6.16098
Anuradhapura,2013,Maha,25.66599,36.13,18.19,1051.54,82.962975,17.758396,4.1187263
Anuradhapura,2013,Yala,27.294771,35.5,21.62,293.8,80.05267,20.10974,5.5444446
Anuradhapura,2014,Maha,26.081652,39.56,17.6,1564.07,80.291695,17.153255,4.0450473
Anuradhapura,2014,Yala,28.246014,40.14,23.01,370.61002,75.29863,20.70438,5.4169936
Anuradhapura,2015,Maha,25.475803,36.07,18.11,1496.62,86.25405,17.821274,3.6332548
Anuradhapura,2015,Yala,27.380913,36.36,22.6,483.07,81.78163,20.67706,4.918954
Anuradhapura,2016,Maha,26.463615,38.21,17.02,544.47003,77.8332,18.916948,4.023709
Anuradhapura,2016,Yala,28.258955,38.59,23.13,538.24,76.6766,20.498169,5.0942483
Anuradhapura,2017,Maha,26.076273,35.48,17.55,807.36,79.26406,18.574717,3.9192924
Anuradhapura,2017,Yala,28.726013,38.19,21.53,309.52,72.785225,20.88451,5.30098
Anuradhapura,2018,Maha,26.20585,39.07,17.19,820.76,78.79708,18.121603,3.6134906
Anuradhapura,2018,Yala,27.716995,37.54,22.32,436.46,78.26314,20.009672,5.329608
Anuradhapura,2019,Maha,26.222689,40.15,18.18,1270.77,81.00981,18.473679,3.610236
Anuradhapura,2019,Yala,29.662418,40.18,22.14,196.65,67.34902,20.848627,5.733268
Anuradhapura,2020,Maha,26.14601,37.41,18.58,986.72,81.35262,18.153334,4.209671
Anuradhapura,2020,Yala,28.326078,38.5,20.76,434.0,75.57581,20.23562,4.870915
Anuradhapura,2021,Maha,25.610376,35.08,17.62,1404.25,85.76226,18.009104,3.8678772
Anuradhapura,2021,Yala,27.730131,36.13,21.65,413.29,79.058304,20.466145,5.1467977
Anuradhapura,2022,Maha,25.667217,35.44,16.58,1060.85,83.80976,17.889057,3.8570282
Anuradhapura,2022,Yala,27.2383,35.43,22.44,571.63,81.53869,19.835033,5.098954
Anuradhapura,2023,Maha,25.849152,36.75,17.32,1752.58,84.791275,17.51401,3.8594341
Anuradhapura,2023,Yala,28.363462,38.83,22.23,308.95,76.10582,20.884642,5.0982356
Anuradhapura,2024,Maha,26.410046,37.0,18.88,1008.65,83.663895,18.252724,4.007277
Anuradhapura,2024,Yala,28.918955,39.71,23.33,382.55,75.41098,19.76268,5.0299997
Anuradhapura,2025,Maha,25.859575,36.59,18.68,1507.38,84.483116,17.442265,3.936934
Anuradhapura,2025,Yala,27.805033,37.4,22.43,366.02,79.562744,20.769478,5.372157
Badulla,2000,Maha,24.80413,35.87,14.58,573.1,78.128494,18.222067,3.3629577
Badulla,2000,Yala,27.258823,37.96,20.81,224.42,64.50595,20.717974,4.582484
Badulla,2001,Maha,24.346699,36.99,12.99,807.6,80.30137,19.25698,3.1183019
Badulla,2001,Yala,26.78876,36.13,21.23,284.5,69.219086,20.389347,4.260392
Badulla,2002,Maha,24.675943,37.07,14.49,817.73,80.44896,18.945896,3.2210376
Badulla,2002,Yala,26.724966,35.85,20.72,360.07,71.20699,20.441439,4.2784967
Badulla,2003,Maha,24.385141,36.75,15.84,736.81,82.30033,19.327925,3.3888206
Badulla,2003,Yala,26.212614,35.26,20.37,335.46,75.94242,20.14634,3.8625488
Badulla,2004,Maha,24.517136,37.15,14.28,1120.33,81.87324,18.50216,3.2504694
Badulla,2004,Yala,26.87876,37.78,21.06,290.39,68.92209,20.862091,4.6427455
Badulla,2005,Maha,24.20316,36.42,15.29,887.51,83.60028,19.034622,3.1722643
Badulla,2005,Yala,26.487583,35.65,20.93,316.05,74.46719,20.74085,3.9446406
Badulla,2006,Maha,23.649858,34.64,13.18,1402.78,86.98307,17.69066,3.1807075
Badulla,2006,Yala,26.258104,36.2,20.06,286.65,73.24621,20.586666,4.2013073
Badulla,2007,Maha,23.540472,33.02,15.37,933.81,84.351326,18.99481,3.2599528
Badulla,2007,Yala,26.004444,34.18,21.24,432.56,76.69471,20.46778,3.7635295
Badulla,2008,Maha,24.001034,35.74,15.39,1082.07,84.23178,18.643616,2.9397182
Badulla,2008,Yala,24.918365,32.99,20.46,440.85,82.80477,20.279346,3.6672552
Badulla,2009,Maha,24.405802,36.3,15.5,1137.14,79.95401,19.300802,3.1109908
Badulla,2009,Yala,26.13255,34.72,20.38,430.72,75.25137,20.75464,4.276536
Badulla,2010,Maha,23.721085,33.3,15.87,1588.83,85.72076,18.89151,2.9207547
Badulla,2010,Yala,25.306993,32.54,20.27,717.27997,82.162025,20.27804,3.6815689
Badulla,2011,Maha,23.810425,35.07,15.7,2154.04,86.636505,17.830849,2.9553773
Badulla,2011,Yala,24.870588,32.1,18.56,488.65,82.412155,20.925425,3.7288237
Badulla,2012,Maha,23.713615,34.95,15.52,1486.55,85.63183,18.90601,2.760751
Badulla,2012,Yala,25.695555,34.75,19.0,436.58,77.3,20.92353,4.1360784
Badulla,2013,Maha,23.899858,34.82,16.04,1261.98,85.57052,18.510141,3.1400943
Badulla,2013,Yala,25.091764,33.46,20.56,512.95,81.76503,20.072615,4.0194116
Badulla,2014,Maha,24.104008,35.11,14.37,1698.98,83.67584,18.71665,3.0605662
Badulla,2014,Yala,26.57268,35.88,20.22,412.35,72.45758,20.839804,4.2181044
Badulla,2015,Maha,23.65481,31.7,15.98,1831.03,88.90043,18.869009,2.7599056
Badulla,2015,Yala,25.034967,31.8,20.41,701.02,84.87693,20.873335,3.4580393
Badulla,2016,Maha,24.579435,36.94,14.72,714.17,81.174644,19.617746,3.1004226
Badulla,2016,Yala,26.040785,35.84,20.87,531.83,77.56536,21.04647,4.099412
Badulla,2017,Maha,24.04816,34.09,14.55,1420.6901,83.944016,18.719624,2.9768398
Badulla,2017,Yala,26.232027,34.97,20.15,447.38998,76.022484,20.944641,3.726863
Badulla,2018,Maha,23.717737,34.66,13.96,940.63,86.06868,18.585142,2.6896226
Badulla,2018,Yala,24.88366,33.49,20.2,758.27,83.604515,19.690653,3.8822875
Badulla,2019,Maha,24.09953,36.21,15.72,1619.83,86.14647,17.940094,2.7962735
Badulla,2019,Yala,27.137516,37.54,20.0,378.87,70.994774,20.162354,4.13
Badulla,2020,Maha,24.128122,33.7,16.07,1081.05,84.8254,19.315962,3.173615
Badulla,2020,Yala,25.906208,35.21,18.54,616.42,79.35549,19.936144,3.4762745
Badulla,2021,Maha,23.742311,31.77,16.33,1787.66,88.63911,18.332312,2.9627357
Badulla,2021,Yala,25.039412,32.22,19.81,831.12,84.825096,20.367647,3.5426145
Badulla,2022,Maha,23.669199,31.63,15.38,1540.74,87.57538,18.417643,2.963962
Badulla,2022,Yala,24.951504,31.29,20.27,1089.67,85.1881,19.975752,3.7322223
Badulla,2023,Maha,23.796036,31.55,15.43,2519.37,89.58642,17.291084,3.0228772
Badulla,2023,Yala,25.589804,34.83,20.26,670.77,82.66582,21.114706,3.6451635
Badulla,2024,Maha,24.592628,34.92,16.6,1328.07,86.21944,18.95,3.0620658
Badulla,2024,Yala,26.640915,35.36,21.22,530.04,78.01451,19.758562,3.8096733
Badulla,2025,Maha,23.970379,33.89,16.25,1940.18,87.26759,18.119009,3.0865095
Badulla,2025,Yala,25.203007,33.7,20.26,684.05,83.282745,20.160719,3.8753595
Batticaloa,2000,Maha,27.293472,34.16,23.65,706.93,77.85977,17.383333,4.338263
Batticaloa,2000,Yala,29.430916,36.52,25.6,290.28,69.23804,21.324444,4.0262747
Batticaloa,2001,Maha,27.185848,35.22,22.07,901.01,78.10915,18.786463,3.9109905
Batticaloa,2001,Yala,29.30392,34.69,25.35,369.25,71.558624,21.286144,3.7362092
Batticaloa,2002,Maha,27.411179,35.47,23.33,955.17,78.288734,18.130896,4.147264
Batticaloa,2002,Yala,29.320786,35.1,26.04,345.73,72.34503,21.082092,3.7670586
Batticaloa,2003,Maha,27.503115,35.05,23.79,897.65,78.1634,18.100803,4.2325945
Batticaloa,2003,Yala,29.160915,33.88,25.83,251.44,74.373535,20.77379,3.6528106
Batticaloa,2004,Maha,27.24061,34.08,23.46,1435.17,79.34385,17.78366,4.4403753
Batticaloa,2004,Yala,29.428041,35.07,26.03,275.52,71.33967,21.233988,4.078039
Batticaloa,2005,Maha,27.363161,35.71,23.88,900.74,78.93071,18.186274,4.1511793
Batticaloa,2005,Yala,29.451635,35.02,25.97,283.06,73.16719,21.215816,3.746601
Batticaloa,2006,Maha,27.029104,34.53,22.98,1347.56,80.45349,17.390896,4.2759905
Batticaloa,2006,Yala,29.243725,34.76,25.82,265.9,72.04935,21.383333,3.7603269
Batticaloa,2007,Maha,26.986605,33.26,23.34,962.43,77.97477,18.288868,4.370802
Batticaloa,2007,Yala,28.93706,34.15,26.0,440.35,75.32359,20.422613,3.60732
Batticaloa,2008,Maha,27.23291,34.52,23.74,1180.86,78.90276,18.018217,4.1342254
Batticaloa,2008,Yala,28.276405,33.68,25.67,321.07,78.0034,20.887386,3.5471244
Batticaloa,2009,Maha,27.442451,34.47,23.45,1202.91,76.09576,18.434057,4.0642924
Batticaloa,2009,Yala,29.19438,34.62,26.0,354.99,73.60183,20.820131,3.9273202
Batticaloa,2010,Maha,27.172688,33.7,23.95,1654.32,79.47052,17.996462,3.8697171
Batticaloa,2010,Yala,28.83536,34.01,25.63,582.12,76.86033,20.768694,3.7920916
Batticaloa,2011,Maha,27.097311,34.02,22.7,2584.8801,80.44038,16.977453,4.1334906
Batticaloa,2011,Yala,28.50719,32.99,25.66,402.62,76.48791,21.468431,3.549477
Batticaloa,2012,Maha,27.118074,34.15,23.8,1598.13,78.93723,18.22784,3.9199061
Batticaloa,2012,Yala,29.169216,34.99,25.22,318.92,72.75503,21.303398,3.7969935
Batticaloa,2013,Maha,27.362358,34.18,23.8,1376.73,78.68174,17.81901,4.1281605
Batticaloa,2013,Yala,28.559608,33.81,25.65,411.66,76.71209,20.687386,3.9566011
Batticaloa,2014,Maha,27.224623,35.08,23.82,1932.52,78.87774,17.195518,4.193066
Batticaloa,2014,Yala,29.348495,34.34,25.73,354.06,72.69915,21.22085,3.9631371
Batticaloa,2015,Maha,27.166462,33.2,24.14,1554.11,81.32123,17.871132,4.0042925
Batticaloa,2015,Yala,28.733986,33.26,26.02,586.16,78.126274,21.36477,3.755425
Batticaloa,2016,Maha,27.962019,35.56,23.77,591.62,75.298546,19.051174,4.008122
Batticaloa,2016,Yala,29.42059,34.55,25.87,646.36,74.058624,21.043007,4.1842484
Batticaloa,2017,Maha,27.330519,34.22,23.59,1170.42,78.22759,18.64014,4.031415
Batticaloa,2017,Yala,29.467583,34.82,26.21,349.26,72.70843,21.534903,3.440719
Batticaloa,2018,Maha,27.11835,33.4,23.06,933.16,79.58411,17.923775,4.026368
Batticaloa,2018,Yala,28.493988,33.03,25.66,579.6,77.69778,20.562222,4.0555553
Batticaloa,2019,Maha,27.377642,33.72,24.15,1328.64,79.92911,18.00033,4.0745754
Batticaloa,2019,Yala,29.82732,36.43,25.69,304.93,71.52621,20.877974,3.984183
Batticaloa,2020,Maha,27.618217,33.21,24.66,998.03,77.87155,18.827888,4.1150703
Batticaloa,2020,Yala,29.20771,34.2,25.62,474.14,74.79856,20.326014,3.6858823
Batticaloa,2021,Maha,27.331367,32.56,24.51,1702.78,80.652596,17.768679,3.9554718
Batticaloa,2021,Yala,28.688627,33.06,25.57,525.82,77.59124,20.662157,3.6666667
Batticaloa,2022,Maha,27.176792,32.02,22.46,1435.32,80.44765,18.133537,4.0934434
Batticaloa,2022,Yala,28.410717,32.71,25.19,771.32,79.069084,20.302681,3.6725492
Batticaloa,2023,Maha,27.290707,32.59,23.81,1872.11,81.80958,17.366085,4.3596697
Batticaloa,2023,Yala,29.238237,34.8,25.94,505.43,75.93817,21.35608,3.6315687
Batticaloa,2024,Maha,27.928265,34.79,24.68,1363.68,80.003525,18.584696,4.0328636
Batticaloa,2024,Yala,29.677256,34.23,26.34,449.44998,75.68405,20.383139,3.9315033
Batticaloa,2025,Maha,27.561415,34.32,23.32,1586.73,79.69146,17.599669,4.1425
Batticaloa,2025,Yala,28.938433,33.84,25.53,467.02,76.1566,20.952484,3.8316338
Colombo,2000,Maha,26.263193,34.25,18.79,659.56,79.314835,19.723005,4.2186384
Colombo,2000,Yala,26.668432,32.6,23.23,528.8,82.33922,20.112549,5.471634
Colombo,2001,Maha,26.300707,34.29,18.98,659.68,79.19637,20.395094,4.2154245
Colombo,2001,Yala,26.633791,34.09,23.19,581.82,84.500984,20.725817,4.9037256
Colombo,2002,Maha,26.741463,35.54,19.44,963.25,77.867836,20.405943,4.031038
Colombo,2002,Yala,26.77915,33.71,23.53,597.53,84.33202,20.830065,4.9267974
Colombo,2003,Maha,26.301369,32.65,19.91,800.58,80.90637,20.836319,4.127123
Colombo,2003,Yala,26.97549,34.03,24.1,577.01,84.319016,19.692352,4.833595
Colombo,2004,Maha,26.70474,35.54,19.13,971.14,78.262955,20.338875,4.1916904
Colombo,2004,Yala,26.991373,33.7,23.91,568.51,82.46889,20.260326,5.4057517
Colombo,2005,Maha,26.012548,32.67,19.9,1207.68,82.817505,19.854057,4.153349
Colombo,2005,Yala,26.900982,31.36,24.04,604.55,84.95425,20.690197,5.0081043
Colombo,2006,Maha,25.728018,30.68,18.18,1590.48,84.47575,19.790236,4.025
Colombo,2006,Yala,26.552221,30.74,23.4,638.61,85.161896,19.725687,4.944248
Colombo,2007,Maha,25.773819,33.36,19.14,965.63,81.68698,20.28467,4.0696697
Colombo,2007,Yala,26.607712,31.31,23.51,788.47,85.767914,19.848953,4.685033
Colombo,2008,Maha,25.88249,30.56,19.75,1108.77,82.781265,20.311266,3.7677934
Colombo,2008,Yala,26.224445,29.96,23.49,921.68,86.98471,19.489868,4.847582
Colombo,2009,Maha,26.114765,33.94,19.15,1144.8,80.2942,20.992218,3.6920753
Colombo,2009,Yala,26.591568,32.05,23.82,821.47003,86.454315,19.912025,5.16549
Colombo,2010,Maha,25.84236,33.34,19.68,1546.26,83.0309,19.929104,3.9357076
Colombo,2010,Yala,26.606928,31.62,23.32,1302.99,87.22523,19.03647,4.7719607
Colombo,2011,Maha,25.790188,30.29,19.52,1350.6,84.37406,19.872925,4.0082073
Colombo,2011,Yala,26.313595,30.51,23.65,919.83,87.01105,20.631243,4.7691503
Colombo,2012,Maha,26.021408,31.48,19.44,1586.73,81.906105,20.139437,3.463521
Colombo,2012,Yala,26.57804,30.38,23.77,852.86,85.22314,20.345295,5.1415033
Colombo,2013,Maha,25.91382,31.22,20.1,1195.06,83.58519,19.992546,4.0284433
Colombo,2013,Yala,26.350653,30.91,23.98,1019.34,87.65673,19.676666,5.0867977
Colombo,2014,Maha,26.126698,34.26,19.05,1501.33,81.75288,20.104906,3.6612263
Colombo,2014,Yala,26.797321,32.95,23.7,877.31,85.97575,20.044706,4.9115686
Colombo,2015,Maha,26.098112,31.94,19.84,1628.72,83.53066,20.272972,3.5582078
Colombo,2015,Yala,26.868694,31.13,24.17,812.15,85.926735,20.583792,4.5452943
Colombo,2016,Maha,26.37507,32.48,19.06,742.93,81.25192,21.120516,3.9415963
Colombo,2016,Yala,27.030914,32.63,24.02,898.1,85.5151,20.809086,4.9473205
Colombo,2017,Maha,26.173773,32.3,18.93,1229.75,81.03014,20.089293,3.881321
Colombo,2017,Yala,27.01817,32.15,24.34,609.47,84.60667,20.908497,5.015294
Colombo,2018,Maha,26.114481,32.29,19.19,1035.35,81.28019,20.062923,3.399481
Colombo,2018,Yala,26.48294,32.9,23.44,1008.66,86.91784,19.501503,4.7442484
Colombo,2019,Maha,26.430376,33.57,20.02,1637.12,81.82245,20.018162,3.3667924
Colombo,2019,Yala,27.428236,33.47,23.35,739.9,82.45791,19.43464,4.9402614
Colombo,2020,Maha,26.547558,33.26,20.43,1017.42,81.55897,20.664928,3.7881691
Colombo,2020,Yala,27.153334,33.88,23.69,944.45,84.21771,19.993334,4.4479084
Colombo,2021,Maha,26.143444,31.62,20.45,1567.23,83.74113,19.594717,3.9289622
Colombo,2021,Yala,26.76523,32.02,24.11,1204.58,86.560196,20.304314,4.8368626
Colombo,2022,Maha,26.045284,31.4,20.07,1269.62,83.03736,20.031038,4.083255
Colombo,2022,Yala,26.509542,30.69,23.62,1166.22,86.996346,19.238693,5.1188235
Colombo,2023,Maha,26.199339,30.95,19.25,2146.87,84.2242,18.734812,3.9473586
Colombo,2023,Yala,27.232157,31.81,24.05,814.73,84.86438,20.756733,4.6383004
Colombo,2024,Maha,26.780657,33.53,20.52,1066.72,83.09864,19.97202,3.8738499
Colombo,2024,Yala,27.589151,34.02,24.04,925.27,85.077644,18.588432,4.6083007
Colombo,2025,Maha,26.219952,31.74,20.62,1937.93,84.02576,19.436838,4.073302
Colombo,2025,Yala,26.868364,30.92,24.1,852.15,87.21706,19.986666,4.816144
Galle,2000,Maha,27.065119,30.9,24.03,707.17,79.890335,17.644695,4.405352
Galle,2000,Yala,27.344116,30.08,24.82,549.74,83.46203,17.902681,6.748366
Galle,2001,Maha,27.121273,31.44,24.1,697.26,79.61382,18.427925,4.3474526
Galle,2001,Yala,27.474836,30.35,24.64,512.64,83.96764,18.332941,6.093529
Galle,2002,Maha,27.462593,32.05,24.18,1001.59,78.73934,18.484386,4.1290092
Galle,2002,Yala,27.526405,30.99,25.09,574.04,83.80059,18.039085,5.9414377
Galle,2003,Maha,27.252642,30.79,24.22,822.78,80.39373,18.695189,4.1773114
Galle,2003,Yala,27.844053,30.94,25.43,653.77,83.44112,17.89255,5.9847713
Galle,2004,Maha,27.326525,31.29,24.16,1091.73,79.658966,17.95695,3.8979814
Galle,2004,Yala,27.741243,30.33,25.63,598.45,82.97595,18.217909,6.6615033
Galle,2005,Maha,27.099102,30.19,24.0,1053.35,81.51896,18.10481,4.841792
Galle,2005,Yala,27.729805,30.43,25.41,600.18,84.02693,18.552092,6.059804
Galle,2006,Maha,26.979292,29.76,23.56,1550.42,81.43354,17.389246,3.8009906
Galle,2006,Yala,27.511501,29.76,25.56,670.54,84.12144,18.299608,6.0931373
Galle,2007,Maha,26.916319,29.73,23.74,1144.42,80.11495,18.339859,4.2275944
Galle,2007,Yala,27.559149,29.76,25.35,930.15,84.46784,18.00111,5.8107843
Galle,2008,Maha,27.060093,29.45,24.01,1093.96,80.2362,18.024038,3.7637088
Galle,2008,Yala,27.306797,29.02,25.82,937.36,84.340454,17.413857,5.9244447
Galle,2009,Maha,27.0875,30.06,24.05,1151.15,79.8358,18.588396,3.9179716
Galle,2009,Yala,27.64974,30.11,25.49,953.45,84.2115,17.791634,6.4869933
Galle,2010,Maha,27.066227,30.72,24.11,1631.08,80.78019,17.923443,4.5375943
Galle,2010,Yala,27.7151,30.26,25.81,1335.14,84.494446,17.381046,5.965883
Galle,2011,Maha,27.005568,29.63,23.8,1612.62,81.75679,17.338963,4.1381135
Galle,2011,Yala,27.444313,29.08,25.81,928.04,84.30255,18.328629,5.9146404
Galle,2012,Maha,27.048733,29.47,23.56,1742.28,80.085815,18.221548,3.561925
Galle,2012,Yala,27.631111,29.63,25.59,949.27,82.878365,18.433006,6.064771
Galle,2013,Maha,27.127405,30.07,24.26,1330.36,80.61788,17.755472,3.9229717
Galle,2013,Yala,27.416603,29.96,25.58,1054.9,85.195755,17.491241,6.2028756
Galle,2014,Maha,27.068161,30.32,23.54,1560.61,80.87585,17.86467,4.0214148
Galle,2014,Yala,27.708824,29.93,25.86,928.55,84.3783,18.092354,6.1136603
Galle,2015,Maha,27.240896,29.79,24.39,1873.79,80.81118,18.084717,3.631604
Galle,2015,Yala,27.975426,29.66,25.8,941.04,83.199936,18.444706,5.537778
Galle,2016,Maha,27.410658,30.7,24.49,991.36,80.14972,18.919483,4.08108
Galle,2016,Yala,27.992155,30.92,25.44,987.56,83.72202,18.437319,6.047647
Galle,2017,Maha,27.143208,30.04,23.49,1536.83,80.08344,18.11099,3.975236
Galle,2017,Yala,27.850197,29.83,26.21,796.82,83.96451,18.685947,6.175033
Galle,2018,Maha,27.096603,29.65,23.6,1330.89,80.44326,18.640047,3.5976415
Galle,2018,Yala,27.443203,30.18,24.78,1084.97,85.27516,17.365294,5.817909
Galle,2019,Maha,27.32269,30.36,24.07,1840.87,80.96943,17.979057,3.497453
Galle,2019,Yala,28.241438,30.39,25.38,883.51,81.84497,18.209085,5.732484
Galle,2020,Maha,27.545164,30.22,24.87,1150.59,80.45573,19.064741,4.13831
Galle,2020,Yala,28.12379,30.72,25.38,951.91,82.716934,18.449411,5.623922
