district,year,month,temperature_avg_c,temperature_max_c,temperature_min_c,rainfall_mm_total,humidity_percent,solar_radiation_mj_m2_day,wind_speed_m_s
Ampara,2013,6,28.154,31.34,25.73,54.55,78.25167,19.092999,4.977667
Ampara,2013,7,28.213871,32.42,25.65,58.53,74.99838,20.181614,4.8332257
Ampara,2013,8,28.748388,33.81,25.81,52.57,72.52807,21.879354,4.0219355
Ampara,2013,9,28.806667,34.18,25.84,71.31,72.489334,20.931,3.843
Ampara,2013,10,28.687096,33.61,25.31,95.409996,73.65226,21.13129,3.0616128
Ampara,2013,11,27.294,29.87,25.17,190.39,79.61633,17.654667,3.494
Ampara,2013,12,26.110323,28.73,24.18,215.2,82.98646,12.189032,5.236774
Ampara,2014,1,25.930645,28.01,23.99,165.13,81.9313,14.099355,5.463548
Ampara,2014,2,26.634287,29.36,23.82,50.56,74.137505,19.835714,4.672143
Ampara,2014,3,27.69129,31.53,25.36,31.87,74.21194,21.92742,4.55129
Ampara,2014,4,28.894335,32.74,25.96,88.340004,75.09534,21.852333,3.0946665
Ampara,2014,5,29.061611,34.34,26.63,163.7,78.77775,21.223549,3.1735482
Ampara,2014,6,29.787333,33.8,26.86,13.93,71.621666,21.105999,4.645
Ampara,2014,7,29.900644,34.08,26.97,8.49,67.772255,21.2,5.225806
Ampara,2014,8,29.098064,33.78,25.73,79.6,70.271286,20.73903,3.6706452
Ampara,2014,9,29.151001,35.08,26.13,81.5,71.91067,21.199001,3.6996665
Ampara,2014,10,27.833227,32.81,25.19,334.32,79.27775,18.792582,2.5416129
Ampara,2014,11,26.882,29.93,24.11,403.13,82.51833,13.882334,3.9046667
Ampara,2014,12,26.44387,28.3,24.69,866.01,87.590645,10.91,4.539677
Ampara,2015,1,25.922903,28.21,24.14,30.619999,80.88516,18.26258,4.517742
Ampara,2015,2,26.4625,28.45,24.71,139.75,80.41679,17.539642,4.7153573
Ampara,2015,3,27.408066,29.91,25.28,86.24,78.35613,21.93,3.522258
Ampara,2015,4,28.267,30.64,26.63,163.09,79.85567,21.983667,2.8216667
Ampara,2015,5,28.695484,31.86,26.6,196.12,81.67968,20.686773,3.4780645
Ampara,2015,6,28.838335,32.13,26.24,107.95,78.63933,21.253,3.8196669
Ampara,2015,7,28.781935,32.73,26.02,53.02,76.17387,21.286451,4.375484
Ampara,2015,8,29.075485,33.26,26.29,65.98,74.35516,21.630322,4.254194
Ampara,2015,9,28.301666,33.2,25.57,198.55,78.920006,21.062,4.07
Ampara,2015,10,27.76097,30.97,24.75,413.03,81.823875,17.369356,3.2441936
Ampara,2015,11,27.113335,29.54,25.57,421.72,84.765,14.674666,3.5006666
Ampara,2015,12,27.16258,28.63,25.88,264.2,84.02775,14.227419,4.514516
Ampara,2016,1,26.82,28.57,25.0,69.97,79.68097,17.20387,5.057742
Ampara,2016,2,27.31276,29.32,25.19,65.17,78.76069,18.930344,4.7172413
Ampara,2016,3,28.155483,32.52,25.25,47.940002,75.26387,22.946129,3.477742
Ampara,2016,4,29.929667,34.02,27.34,63.11,75.56266,23.209333,3.4329998
Ampara,2016,5,29.41613,33.42,26.74,483.68002,78.45612,19.124193,3.9245162
Ampara,2016,6,28.971998,32.55,26.54,33.37,75.81734,19.939,5.0220003
Ampara,2016,7,29.087097,34.55,25.94,46.04,71.87,20.689032,4.379678
Ampara,2016,8,29.7,34.55,25.87,20.16,68.69225,22.28774,4.164839
Ampara,2016,9,30.017334,35.56,25.69,24.29,64.93833,22.649332,3.3643334
Ampara,2016,10,29.19871,35.19,25.92,105.32,68.82226,20.719032,2.8645163
Ampara,2016,11,27.459665,31.33,25.31,193.33,79.652,13.838667,3.892
Ampara,2016,12,26.778387,30.49,23.77,85.6,80.00129,17.01097,4.704516
Ampara,2017,1,26.206774,28.53,23.59,114.39,76.79581,16.845161,5.3419356
Ampara,2017,2,26.719286,29.65,24.16,108.17,73.72465,19.731428,4.702143
Ampara,2017,3,27.52129,30.79,25.41,140.64,78.26194,22.185484,3.3419354
Ampara,2017,4,29.313334,33.74,26.41,37.7,73.40034,23.050333,2.5789998
Ampara,2017,5,29.433872,34.81,27.05,152.37,75.30839,20.75,3.5890324
Ampara,2017,6,29.437666,34.15,26.59,31.970001,73.30367,21.001001,4.23
Ampara,2017,7,29.710646,34.82,26.61,37.260002,70.133865,21.433872,3.316129
Ampara,2017,8,29.436451,34.41,26.21,89.96,71.43742,21.470966,3.4870968
Ampara,2017,9,28.622334,34.22,25.98,118.25,75.552666,19.924665,3.4143333
Ampara,2017,10,28.394516,32.85,26.03,209.01,77.85129,20.075485,2.926129
Ampara,2017,11,27.167334,30.29,24.37,347.66998,84.03333,15.283999,4.189
Ampara,2017,12,26.659355,28.97,24.76,132.29,81.03871,16.473549,4.3545165
Ampara,2018,1,25.834192,28.29,23.06,50.469997,79.95419,16.944195,4.646129
Ampara,2018,2,26.459286,28.87,24.4,107.39,79.7125,18.075,4.702143
Ampara,2018,3,27.690647,31.12,25.24,119.96,77.55742,20.98613,3.6348388
Ampara,2018,4,28.501333,31.77,26.32,142.1,79.152336,21.392334,3.131
Ampara,2018,5,28.417742,32.07,26.32,297.73,82.24129,19.424194,3.3429031
Ampara,2018,6,28.458668,31.51,25.91,67.94,79.68033,20.860332,4.2776666
Ampara,2018,7,28.427097,32.79,25.66,32.79,75.22419,20.602257,4.6880646
Ampara,2018,8,28.664194,33.03,25.92,39.04,72.30161,20.568386,4.815484
Ampara,2018,9,28.715,33.4,25.37,63.41,73.041,21.682335,3.4886665
Ampara,2018,10,27.440323,30.78,25.58,250.03,80.72322,17.987097,3.3864517
Ampara,2018,11,27.105333,30.04,24.74,237.11,82.83667,15.080667,3.836
Ampara,2018,12,26.570969,28.33,24.41,104.79,83.17,14.755161,4.532258
Ampara,2019,1,26.033224,28.27,24.15,57.2,80.51451,16.982903,5.3793545
Ampara,2019,2,27.275358,30.28,25.42,92.64,79.83143,18.015001,4.6285715
Ampara,2019,3,28.188389,32.71,25.55,17.67,73.32161,23.95,3.835484
Ampara,2019,4,29.456667,34.33,26.58,74.13,72.02433,21.945667,3.2136667
Ampara,2019,5,30.420322,34.51,27.31,33.26,72.47,22.58742,3.8177419
Ampara,2019,6,30.522667,36.43,27.27,56.79,69.665,20.631666,4.0846667
Ampara,2019,7,29.693226,35.02,26.5,42.05,70.99,20.57387,4.1529036
Ampara,2019,8,29.054193,34.35,25.69,98.7,72.437744,18.677742,4.6303225
Ampara,2019,9,28.129,33.72,25.58,205.01,79.460335,19.657331,3.7566667
Ampara,2019,10,27.280968,30.2,25.52,352.31,82.20452,16.551935,2.8535483
Ampara,2019,11,27.692999,30.18,25.95,260.21,81.35334,17.073668,3.251
Ampara,2019,12,27.068064,28.51,25.35,343.6,82.839355,13.796452,4.8341937
Ampara,2020,1,26.939354,28.9,24.91,59.68,78.616455,18.98871,4.813871
Ampara,2020,2,26.840345,28.87,24.66,28.19,78.012405,19.755861,5.15
Ampara,2020,3,27.880968,30.93,25.36,14.12,74.00903,23.400644,3.7090323
Ampara,2020,4,29.115,33.0,25.62,95.62,76.10533,22.504333,3.4783332
Ampara,2020,5,29.660645,33.41,27.33,150.84,76.324196,19.087097,3.4480646
Ampara,2020,6,29.598667,33.73,26.28,81.29,72.55533,20.259666,3.7916667
Ampara,2020,7,28.59645,32.58,25.75,106.840004,76.04258,19.07,3.820968
Ampara,2020,8,29.07742,34.2,25.92,39.55,72.93516,20.777098,3.887097
Ampara,2020,9,28.532665,32.66,26.04,147.82,74.43533,18.391333,3.6516669
Ampara,2020,10,28.824194,33.21,25.45,61.57,73.33839,20.773548,3.3351612
Ampara,2020,11,27.536001,31.59,25.28,247.42,82.691666,16.375334,3.5566666
Ampara,2020,12,26.750647,29.32,25.05,439.23,84.05129,14.076451,4.6229033
Ampara,2021,1,26.45387,28.33,24.72,305.13,84.15323,13.755484,4.5709677
Ampara,2021,2,26.676786,28.85,24.55,68.32,80.244644,19.33143,4.8871427
Ampara,2021,3,27.404192,31.28,25.43,99.57,78.72258,19.99,3.5167744
Ampara,2021,4,28.492668,31.7,25.57,86.049995,77.951004,22.663334,2.601
Ampara,2021,5,28.85355,32.1,26.6,163.59999,80.13903,19.084192,3.7396774
Ampara,2021,6,28.762,32.12,26.34,84.93,77.50566,21.798334,3.701
Ampara,2021,7,28.713224,32.76,26.09,86.07,76.98322,20.570969,4.38
Ampara,2021,8,28.617743,33.06,25.61,105.17,75.38613,19.295162,3.8783872
Ampara,2021,9,28.542334,32.56,26.13,173.03,78.323,20.494,3.349
Ampara,2021,10,27.94,31.31,25.9,356.16,80.56581,18.103226,3.508387
Ampara,2021,11,27.274666,30.12,25.27,583.36,82.499664,15.884667,3.514
Ampara,2021,12,27.001612,29.42,24.51,117.21,80.00419,17.000322,4.3983874
Ampara,2022,1,26.542904,28.64,23.13,123.54,81.172264,17.736452,4.6674194
Ampara,2022,2,26.619999,29.5,24.17,170.9,80.571785,18.939285,4.6835713
Ampara,2022,3,27.691612,30.59,25.24,137.22,81.02581,20.817741,3.9651613
Ampara,2022,4,28.413,31.36,26.27,255.65,80.17033,21.799665,2.6213334
Ampara,2022,5,28.95129,32.13,26.8,168.34,80.90742,20.890001,4.0141935
Ampara,2022,6,28.347002,31.68,25.87,74.59,79.80867,20.201,3.5743334
Ampara,2022,7,28.250322,31.85,25.78,102.59,77.201614,18.582258,4.05129
Ampara,2022,8,28.09,32.71,25.19,170.15001,77.31678,20.085485,4.064516
Ampara,2022,9,28.305332,32.02,25.32,65.520004,77.03066,21.851002,3.1016667
Ampara,2022,10,27.869032,31.86,25.66,263.22,77.44032,18.159678,3.4067743
Ampara,2022,11,26.803333,29.62,23.9,280.36002,81.63734,16.700666,3.6636665
Ampara,2022,12,26.375807,29.18,22.46,394.56,84.19549,12.881614,5.177097
Ampara,2023,1,25.909033,27.55,23.81,140.52,80.91515,16.092258,5.7870965
Ampara,2023,2,26.375715,28.51,23.82,109.06,80.25429,18.040358,5.238214
Ampara,2023,3,27.620646,30.96,26.12,66.36,79.39774,20.381935,3.8316128
Ampara,2023,4,29.101665,32.75,26.75,109.25,75.570335,22.409,2.9480002
Ampara,2023,5,28.974194,32.61,25.94,209.72,79.68355,20.133549,3.586129
Ampara,2023,6,29.333334,32.61,26.84,81.21,77.569,21.220667,3.6916666
Ampara,2023,7,29.188065,34.8,26.2,48.62,74.228386,20.23613,4.2551613
Ampara,2023,8,29.59258,34.63,26.14,56.629997,72.68033,22.810646,3.6567743
Ampara,2023,9,28.383,32.59,26.02,223.12,79.90666,18.843666,4.463333
Ampara,2023,10,27.615807,30.53,25.96,547.18,82.517746,18.151613,3.2374194
Ampara,2023,11,27.605333,29.91,25.91,309.8,83.208,16.956667,3.0966668
Ampara,2023,12,27.482258,29.36,26.06,476.07,86.300644,13.1958065,4.910968
Ampara,2024,1,26.986774,29.18,24.74,244.97,81.396774,15.825161,4.68129
Ampara,2024,2,27.486551,29.63,25.54,31.199999,80.81931,19.997585,5.207241
Ampara,2024,3,28.06,31.51,25.5,35.64,77.21097,22.604193,3.7925806
Ampara,2024,4,29.757332,32.98,27.58,69.1,76.73667,22.603333,3.1866667
Ampara,2024,5,29.815163,33.51,27.6,182.86,79.287094,18.992905,3.8009677
Ampara,2024,6,29.589333,33.58,27.17,60.59,76.187996,19.566,4.306
Ampara,2024,7,29.806452,34.23,26.34,35.57,71.37129,20.583227,4.6325808
Ampara,2024,8,29.417742,33.96,26.68,101.33,74.88742,20.215483,3.7193549
Ampara,2024,9,29.739666,34.79,26.34,57.68,72.87034,21.566668,3.8730001
Ampara,2024,10,28.393549,32.77,26.04,286.43,79.6471,18.345806,2.508387
Ampara,2024,11,27.698334,30.32,25.93,416.93,83.956,15.3306675,4.6023335
Ampara,2024,12,27.155483,29.93,24.68,290.83,84.074196,16.505161,3.6541934
Ampara,2025,1,26.364193,28.22,23.32,346.58002,84.813225,11.748065,5.500645
Ampara,2025,2,27.096786,29.19,25.07,78.61,77.130714,20.710358,4.8175
Ampara,2025,3,27.913872,30.03,25.63,125.73,79.58064,21.14258,3.518387
Ampara,2025,4,28.684334,31.78,26.66,201.06,79.78233,21.208,2.6483333
Ampara,2025,5,29.121937,32.11,26.41,133.12,76.95484,20.130322,3.405484
Ampara,2025,6,28.796,32.02,25.53,45.56,78.35466,21.153666,4.1080003
Ampara,2025,7,29.049677,33.84,26.22,14.349999,73.67355,20.183872,5.3296776
Ampara,2025,8,29.027418,33.67,26.18,72.93,72.20549,22.101292,3.6374195
Ampara,2025,9,29.367,34.32,26.29,97.97,71.72834,20.961334,3.4453332
Ampara,2025,10,28.275806,33.11,26.21,261.73,78.49516,19.384516,3.0032258
Ampara,2025,11,27.336334,30.95,24.33,511.99,82.551,15.318,4.037667
Ampara,2025,12,26.581934,29.32,24.75,164.12,83.12871,14.26871,4.7141933
Anuradhapura,2000,1,24.90258,32.2,16.7,33.71,79.19258,16.233871,4.7316127
Anuradhapura,2000,2,26.636553,34.61,18.82,67.21,74.457245,18.951723,3.473793
Anuradhapura,2000,3,28.34258,38.09,19.42,7.37,65.82452,22.556774,3.3280644
Anuradhapura,2000,4,29.532335,40.16,23.43,56.11,67.46,22.723,3.531
Anuradhapura,2000,5,29.710323,39.87,24.5,47.23,66.575485,21.658709,5.3616133
Anuradhapura,2000,6,27.696999,35.01,23.76,32.88,72.79867,19.501333,7.3066664
Anuradhapura,2000,7,28.30613,38.09,23.66,100.05,68.589035,21.71226,6.7403226
Anuradhapura,2000,8,26.957743,34.07,23.13,35.31,75.75484,19.168388,6.8780646
Anuradhapura,2000,9,27.498333,36.06,23.26,83.2,75.156334,19.794668,5.1683335
Anuradhapura,2000,10,26.881613,35.49,19.09,62.64,75.939674,19.572903,4.5793552
Anuradhapura,2000,11,26.171667,35.05,20.5,329.19,79.40433,15.042334,4.069667
Anuradhapura,2000,12,24.405483,30.4,19.1,144.56,85.355484,14.485162,4.41129
Anuradhapura,2001,1,24.125484,29.26,18.58,87.47,86.95258,14.5161295,4.326129
Anuradhapura,2001,2,24.294285,34.47,15.01,44.0,81.16679,21.102858,3.1417859
